drug pairs 
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00814    object:Trandolapril precipitant: Meloxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00722    object:Lisinopril precipitant: Piroxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB00177    object:Enalapril precipitant: Valsartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB00678    object:Ramipril precipitant: Losartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB00999    object:Hydrochlorothiazide precipitant: Meloxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB01197    object:Captopril precipitant: Rofecoxib 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB00573    object:Ramipril precipitant: Fenoprofen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00999    object:Hydrochlorothiazide precipitant: Lisinopril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01124-http://bio2rdf.org/drugbank:DB00178    object:Tolbutamide precipitant: Ramipril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB00573    object:Enalapril precipitant: Fenoprofen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB00328    object:Captopril precipitant: Indomethacin 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB06695-http://bio2rdf.org/drugbank:DB00959    object:Dabigatran etexilate precipitant: Methylprednisolone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB01029    object:Captopril precipitant: Irbesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB00328    object:Enalapril precipitant: Indomethacin 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB06605-http://bio2rdf.org/drugbank:DB00959    object:Apixaban precipitant: Methylprednisolone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00492-http://bio2rdf.org/drugbank:DB01016    object:Glyburide precipitant: Fosinopril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00461-http://bio2rdf.org/drugbank:DB00999    object:Hydrochlorothiazide precipitant: Nabumetone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00573    object:Lisinopril precipitant: Fenoprofen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01120-http://bio2rdf.org/drugbank:DB00542    object:Gliclazide precipitant: Benazepril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB00672    object:Chlorpropamide precipitant: Enalapril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00784-http://bio2rdf.org/drugbank:DB00489    object:Mefenamic acid precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00678-http://bio2rdf.org/drugbank:DB00584    object:Enalapril precipitant: Losartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00482    object:Celecoxib precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB00489    object:Nimesulide precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00542-http://bio2rdf.org/drugbank:DB00876    object:Benazepril precipitant: Eprosartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB00999    object:Hydrochlorothiazide precipitant: Flurbiprofen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00275-http://bio2rdf.org/drugbank:DB00722    object:Lisinopril precipitant: Olmesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00860-http://bio2rdf.org/drugbank:DB06695    object:Dabigatran etexilate precipitant: Prednisolone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB00573    object:Quinapril precipitant: Fenoprofen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00586-http://bio2rdf.org/drugbank:DB00489    object:Diclofenac precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB00584    object:Enalapril precipitant: Nimesulide 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00584    object:Enalapril precipitant: Valdecoxib 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00999    object:Hydrochlorothiazide precipitant: Piroxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB00788    object:Enalapril precipitant: Naproxen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00796-http://bio2rdf.org/drugbank:DB00492    object:Fosinopril precipitant: Candesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB00678    object:Quinapril precipitant: Losartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00448    object:Lansoprazole precipitant: Ketoconazole 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB00672    object:Chlorpropamide precipitant: Quinapril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00275-http://bio2rdf.org/drugbank:DB00519    object:Trandolapril precipitant: Olmesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB00784    object:Enalapril precipitant: Mefenamic acid 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB00177    object:Ramipril precipitant: Valsartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00860-http://bio2rdf.org/drugbank:DB06605    object:Apixaban precipitant: Prednisolone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00542-http://bio2rdf.org/drugbank:DB00177    object:Benazepril precipitant: Valsartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01234-http://bio2rdf.org/drugbank:DB06228    object:Rivaroxaban precipitant: Dexamethasone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB00489    object:Rofecoxib precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00881    object:Quinapril precipitant: Acetylsalicylic acid 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB06605-http://bio2rdf.org/drugbank:DB00635    object:Apixaban precipitant: Prednisone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01120-http://bio2rdf.org/drugbank:DB00178    object:Gliclazide precipitant: Ramipril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB00999    object:Hydrochlorothiazide precipitant: Enalapril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00966-http://bio2rdf.org/drugbank:DB00584    object:Enalapril precipitant: Telmisartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00542-http://bio2rdf.org/drugbank:DB01016    object:Glyburide precipitant: Benazepril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB00788    object:Quinapril precipitant: Naproxen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB00373    object:Timolol precipitant: Escitalopram 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00573    object:Trandolapril precipitant: Fenoprofen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB00542    object:Benazepril precipitant: Flurbiprofen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB01124    object:Tolbutamide precipitant: Enalapril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB00749    object:Enalapril precipitant: Etodolac 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00542-http://bio2rdf.org/drugbank:DB00784    object:Benazepril precipitant: Mefenamic acid 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00373-http://bio2rdf.org/drugbank:DB00554    object:Piroxicam precipitant: Timolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB01197    object:Captopril precipitant: Valdecoxib 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB00612    object:Rofecoxib precipitant: Bisoprolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB06605-http://bio2rdf.org/drugbank:DB01234    object:Apixaban precipitant: Dexamethasone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB00489    object:Naproxen precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00612-http://bio2rdf.org/drugbank:DB00788    object:Naproxen precipitant: Bisoprolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB00492    object:Fosinopril precipitant: Nimesulide 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00275-http://bio2rdf.org/drugbank:DB00584    object:Enalapril precipitant: Olmesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00678-http://bio2rdf.org/drugbank:DB00519    object:Trandolapril precipitant: Losartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00796-http://bio2rdf.org/drugbank:DB00178    object:Ramipril precipitant: Candesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB00222    object:Glimepiride precipitant: Captopril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00542-http://bio2rdf.org/drugbank:DB00814    object:Benazepril precipitant: Meloxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB00373    object:Meloxicam precipitant: Timolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB00178    object:Ramipril precipitant: Etodolac 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB00749    object:Quinapril precipitant: Etodolac 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00966-http://bio2rdf.org/drugbank:DB00492    object:Fosinopril precipitant: Telmisartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00275-http://bio2rdf.org/drugbank:DB00542    object:Benazepril precipitant: Olmesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB00966    object:Quinapril precipitant: Telmisartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00461-http://bio2rdf.org/drugbank:DB00489    object:Nabumetone precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB08822    object:Ramipril precipitant: Azilsartan medoxomil 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00542    object:Benazepril precipitant: Piroxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00580    object:Lisinopril precipitant: Valdecoxib 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB04743    object:Trandolapril precipitant: Nimesulide 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00586    object:Lisinopril precipitant: Diclofenac 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00573    object:Fenoprofen precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB00712    object:Ramipril precipitant: Flurbiprofen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB00489    object:Etodolac precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00461    object:Lisinopril precipitant: Nabumetone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB00328    object:Quinapril precipitant: Indomethacin 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00672    object:Chlorpropamide precipitant: Lisinopril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00492-http://bio2rdf.org/drugbank:DB00712    object:Fosinopril precipitant: Flurbiprofen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00586-http://bio2rdf.org/drugbank:DB00492    object:Fosinopril precipitant: Diclofenac 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00860-http://bio2rdf.org/drugbank:DB06228    object:Rivaroxaban precipitant: Prednisolone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB01197    object:Captopril precipitant: Meloxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00443-http://bio2rdf.org/drugbank:DB06695    object:Dabigatran etexilate precipitant: Betamethasone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00178    object:Ramipril precipitant: Piroxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01120-http://bio2rdf.org/drugbank:DB00722    object:Gliclazide precipitant: Lisinopril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB00584    object:Enalapril precipitant: Meloxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00722    object:Lisinopril precipitant: Celecoxib 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00222    object:Glimepiride precipitant: Lisinopril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB08822    object:Captopril precipitant: Azilsartan medoxomil 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00492    object:Fosinopril precipitant: Acetylsalicylic acid 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB01016    object:Glyburide precipitant: Ramipril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00542-http://bio2rdf.org/drugbank:DB01124    object:Tolbutamide precipitant: Benazepril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB01029    object:Ramipril precipitant: Irbesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00796-http://bio2rdf.org/drugbank:DB00722    object:Lisinopril precipitant: Candesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB00461    object:Ramipril precipitant: Nabumetone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB08822-http://bio2rdf.org/drugbank:DB00492    object:Fosinopril precipitant: Azilsartan medoxomil 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00586-http://bio2rdf.org/drugbank:DB01197    object:Captopril precipitant: Diclofenac 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB00612    object:Meloxicam precipitant: Bisoprolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00678-http://bio2rdf.org/drugbank:DB00492    object:Fosinopril precipitant: Losartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB00489    object:Flurbiprofen precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00876-http://bio2rdf.org/drugbank:DB00722    object:Lisinopril precipitant: Eprosartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01016-http://bio2rdf.org/drugbank:DB00519    object:Glyburide precipitant: Trandolapril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01124-http://bio2rdf.org/drugbank:DB00492    object:Tolbutamide precipitant: Fosinopril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB00178    object:Ramipril precipitant: Rofecoxib 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00612    object:Indomethacin precipitant: Bisoprolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB00554    object:Quinapril precipitant: Piroxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB01029    object:Lisinopril precipitant: Irbesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00620-http://bio2rdf.org/drugbank:DB06228    object:Rivaroxaban precipitant: Triamcinolone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00373-http://bio2rdf.org/drugbank:DB00328    object:Indomethacin precipitant: Timolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB01067    object:Glipizide precipitant: Trandolapril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB00814    object:Ramipril precipitant: Meloxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00586-http://bio2rdf.org/drugbank:DB00881    object:Quinapril precipitant: Diclofenac 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00573-http://bio2rdf.org/drugbank:DB00612    object:Fenoprofen precipitant: Bisoprolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00542    object:Benazepril precipitant: Valdecoxib 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00672-http://bio2rdf.org/drugbank:DB00178    object:Chlorpropamide precipitant: Ramipril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00492-http://bio2rdf.org/drugbank:DB00554    object:Fosinopril precipitant: Piroxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB00876    object:Quinapril precipitant: Eprosartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00328    object:Trandolapril precipitant: Indomethacin 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00966-http://bio2rdf.org/drugbank:DB00722    object:Lisinopril precipitant: Telmisartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00554    object:Piroxicam precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00881    object:Quinapril precipitant: Celecoxib 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00796    object:Trandolapril precipitant: Candesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB00542    object:Benazepril precipitant: Naproxen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00542    object:Benazepril precipitant: Acetylsalicylic acid 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
