drug pairs 
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB01083    object:CYCLOSPORINE precipitant: Orlistat 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01264-http://bio2rdf.org/drugbank:DB06287    object:Darunavir precipitant: TEMSIROLIMUS 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB00726    object:Trimipramine precipitant: Duloxetine 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB01200    object:Bromocriptine precipitant: ERYTHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01319-http://bio2rdf.org/drugbank:DB00683    object:MIDAZOLAM precipitant: Fosamprenavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01224-http://bio2rdf.org/drugbank:DB01026    object:Ketoconazole precipitant: QUETIAPINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB00802    object:Voriconazole precipitant: ALFENTANIL 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB01118    object:PHENYTOIN precipitant: AMIODARONE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB00273    object:ETHINYL ESTRADIOL precipitant: Topiramate 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00559-http://bio2rdf.org/drugbank:DB01016    object:BOSENTAN precipitant: GLYBURIDE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01039-http://bio2rdf.org/drugbank:DB00175    object:Fenofibrate precipitant: PRAVASTATIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00976-http://bio2rdf.org/drugbank:DB00091    object:CYCLOSPORINE precipitant: TELITHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00976-http://bio2rdf.org/drugbank:DB01268    object:Sunitinib precipitant: TELITHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00811-http://bio2rdf.org/drugbank:DB00495    object:Ribavirin precipitant: ZIDOVUDINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB00977    object:ETHINYL ESTRADIOL precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00976-http://bio2rdf.org/drugbank:DB04855    object:Dronedarone precipitant: TELITHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01045    object:RIFAMPICIN precipitant: SIMVASTATIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB01072    object:Atazanavir precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00343-http://bio2rdf.org/drugbank:DB00683    object:MIDAZOLAM precipitant: Diltiazem 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00512-http://bio2rdf.org/drugbank:DB00684    object:Vancomycin precipitant: Tobramycin 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00953-http://bio2rdf.org/drugbank:DB01175    object:Rizatriptan precipitant: ESCITALOPRAM 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
