drug pairs 
http://bio2rdf.org/drugbank:DB00320-http://bio2rdf.org/drugbank:DB00224    object:Dihydroergotamine precipitant: Indinavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB01026    object:Methylergometrine precipitant: Ketoconazole 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00738-http://bio2rdf.org/drugbank:DB00489    object:Sotalol precipitant: Pentamidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00641    object:Simvastatin precipitant: Clarithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00391-http://bio2rdf.org/drugbank:DB01169    object:Sulpiride precipitant: Arsenic trioxide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00218-http://bio2rdf.org/drugbank:DB00199    object:Moxifloxacin precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01264-http://bio2rdf.org/drugbank:DB00641    object:Simvastatin precipitant: Darunavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00762-http://bio2rdf.org/drugbank:DB00582    object:Irinotecan precipitant: Voriconazole 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00391    object:Sulpiride precipitant: Chlorpromazine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB05294    object:Arsenic trioxide precipitant: Vandetanib 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB01264    object:Darunavir precipitant: Rifabutin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB01118    object:Amiodarone precipitant: Clarithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00932-http://bio2rdf.org/drugbank:DB00564    object:Tipranavir precipitant: Carbamazepine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB00391    object:Dofetilide precipitant: Sulpiride 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00218-http://bio2rdf.org/drugbank:DB01100    object:Pimozide precipitant: Moxifloxacin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01026    object:Simvastatin precipitant: Ketoconazole 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00218-http://bio2rdf.org/drugbank:DB01184    object:Moxifloxacin precipitant: Domperidone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00261-http://bio2rdf.org/drugbank:DB00489    object:Anagrelide precipitant: Sotalol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB01232    object:Saquinavir precipitant: Carbamazepine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01218-http://bio2rdf.org/drugbank:DB00477    object:Halofantrine precipitant: Chlorpromazine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB04855    object:Dronedarone precipitant: Dofetilide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00696-http://bio2rdf.org/drugbank:DB00701    object:Ergotamine precipitant: Amprenavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB01072    object:Atazanavir precipitant: Lansoprazole 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB00738    object:Pentamidine precipitant: Pimozide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB04855    object:Amiodarone precipitant: Dronedarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB01184    object:Pimozide precipitant: Domperidone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01104-http://bio2rdf.org/drugbank:DB01037    object:Sertraline precipitant: Selegiline 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB01601    object:Methylergometrine precipitant: Lopinavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB00204    object:Vandetanib precipitant: Dofetilide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB01211    object:Erythromycin precipitant: Clarithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00908    object:Clarithromycin precipitant: Quinidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01218-http://bio2rdf.org/drugbank:DB00218    object:Moxifloxacin precipitant: Halofantrine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB00738    object:Vandetanib precipitant: Pentamidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB00353    object:Methylergometrine precipitant: Saquinavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00762    object:Irinotecan precipitant: Ritonavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB01169    object:Arsenic trioxide precipitant: Amiodarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB01118    object:Erythromycin precipitant: Amiodarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00261    object:Erythromycin precipitant: Anagrelide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00908    object:Quinidine precipitant: Chlorpromazine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00218-http://bio2rdf.org/drugbank:DB01175    object:Moxifloxacin precipitant: Escitalopram 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB01100    object:Pimozide precipitant: Vandetanib 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01037-http://bio2rdf.org/drugbank:DB00715    object:Paroxetine precipitant: Selegiline 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00391-http://bio2rdf.org/drugbank:DB00908    object:Sulpiride precipitant: Quinidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01264-http://bio2rdf.org/drugbank:DB01045    object:Darunavir precipitant: Rifampicin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00450    object:Droperidol precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00450    object:Droperidol precipitant: Haloperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00762-http://bio2rdf.org/drugbank:DB01026    object:Irinotecan precipitant: Ketoconazole 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00641    object:Simvastatin precipitant: Ritonavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB01218    object:Halofantrine precipitant: Amiodarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00489    object:Quinidine precipitant: Sotalol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00696-http://bio2rdf.org/drugbank:DB00224    object:Ergotamine precipitant: Indinavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04855-http://bio2rdf.org/drugbank:DB00738    object:Dronedarone precipitant: Pentamidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB00738    object:Droperidol precipitant: Pentamidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00696-http://bio2rdf.org/drugbank:DB01264    object:Ergotamine precipitant: Darunavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00738    object:Quinidine precipitant: Pentamidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00489    object:Sotalol precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB01169    object:Quinidine precipitant: Arsenic trioxide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB01218    object:Vandetanib precipitant: Halofantrine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB01118    object:Droperidol precipitant: Amiodarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB04855    object:Sotalol precipitant: Dronedarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00261-http://bio2rdf.org/drugbank:DB04855    object:Dronedarone precipitant: Anagrelide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00762    object:Irinotecan precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00199    object:Haloperidol precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB00477    object:Chlorpromazine precipitant: Escitalopram 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01264-http://bio2rdf.org/drugbank:DB00320    object:Dihydroergotamine precipitant: Darunavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00320    object:Dihydroergotamine precipitant: Ketoconazole 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB00976    object:Simvastatin precipitant: Telithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB01218    object:Droperidol precipitant: Halofantrine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB00391    object:Sulpiride precipitant: Domperidone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB01169    object:Arsenic trioxide precipitant: Sotalol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00615    object:Ritonavir precipitant: Rifabutin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00320-http://bio2rdf.org/drugbank:DB00932    object:Dihydroergotamine precipitant: Tipranavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB01211    object:Clarithromycin precipitant: Droperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00762-http://bio2rdf.org/drugbank:DB00976    object:Irinotecan precipitant: Telithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00696-http://bio2rdf.org/drugbank:DB00976    object:Ergotamine precipitant: Telithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00696    object:Ergotamine precipitant: Clarithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01218-http://bio2rdf.org/drugbank:DB01169    object:Halofantrine precipitant: Arsenic trioxide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00701-http://bio2rdf.org/drugbank:DB01045    object:Amprenavir precipitant: Rifampicin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00696-http://bio2rdf.org/drugbank:DB01232    object:Ergotamine precipitant: Saquinavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00738-http://bio2rdf.org/drugbank:DB00261    object:Pentamidine precipitant: Anagrelide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00261-http://bio2rdf.org/drugbank:DB01169    object:Anagrelide precipitant: Arsenic trioxide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00641    object:Simvastatin precipitant: Atazanavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB01175    object:Escitalopram precipitant: Arsenic trioxide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00218    object:Moxifloxacin precipitant: Amiodarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB00976    object:Methylergometrine precipitant: Telithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00641    object:Simvastatin precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01037-http://bio2rdf.org/drugbank:DB06204    object:Tapentadol precipitant: Selegiline 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB01218    object:Halofantrine precipitant: Sotalol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04855-http://bio2rdf.org/drugbank:DB01218    object:Halofantrine precipitant: Dronedarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00199    object:Quinidine precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB01211    object:Clarithromycin precipitant: Vandetanib 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB00477    object:Chlorpromazine precipitant: Dofetilide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB01184    object:Quinidine precipitant: Domperidone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00502    object:Chlorpromazine precipitant: Haloperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00696    object:Ergotamine precipitant: Ritonavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB05294    object:Vandetanib precipitant: Haloperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00353    object:Methylergometrine precipitant: Atazanavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00218    object:Moxifloxacin precipitant: Chlorpromazine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00932-http://bio2rdf.org/drugbank:DB00696    object:Ergotamine precipitant: Tipranavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00738-http://bio2rdf.org/drugbank:DB01169    object:Pentamidine precipitant: Arsenic trioxide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB04855    object:Domperidone precipitant: Dronedarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB01100    object:Droperidol precipitant: Pimozide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB01072    object:Atazanavir precipitant: Rifabutin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB01184    object:Domperidone precipitant: Droperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01037-http://bio2rdf.org/drugbank:DB00726    object:Trimipramine precipitant: Selegiline 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB01169    object:Arsenic trioxide precipitant: Pimozide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01037-http://bio2rdf.org/drugbank:DB00813    object:Fentanyl precipitant: Selegiline 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB00391    object:Pimozide precipitant: Sulpiride 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00218-http://bio2rdf.org/drugbank:DB00489    object:Sotalol precipitant: Moxifloxacin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00391-http://bio2rdf.org/drugbank:DB01175    object:Escitalopram precipitant: Sulpiride 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB01175    object:Erythromycin precipitant: Escitalopram 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01218-http://bio2rdf.org/drugbank:DB00502    object:Halofantrine precipitant: Haloperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB01169    object:Arsenic trioxide precipitant: Clarithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB00908    object:Pimozide precipitant: Quinidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01129-http://bio2rdf.org/drugbank:DB01072    object:Atazanavir precipitant: Rabeprazole 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00641    object:Simvastatin precipitant: Verapamil 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01218-http://bio2rdf.org/drugbank:DB00738    object:Pentamidine precipitant: Halofantrine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01218-http://bio2rdf.org/drugbank:DB00261    object:Anagrelide precipitant: Halofantrine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB01100    object:Pimozide precipitant: Amiodarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00738-http://bio2rdf.org/drugbank:DB00477    object:Chlorpromazine precipitant: Pentamidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB01037    object:Amitriptyline precipitant: Selegiline 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00218    object:Moxifloxacin precipitant: Haloperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00391    object:Sotalol precipitant: Sulpiride 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB00615    object:Saquinavir precipitant: Rifabutin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00932-http://bio2rdf.org/drugbank:DB00641    object:Simvastatin precipitant: Tipranavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00477    object:Erythromycin precipitant: Chlorpromazine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB04855    object:Dronedarone precipitant: Escitalopram 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04855-http://bio2rdf.org/drugbank:DB00477    object:Chlorpromazine precipitant: Dronedarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB01218    object:Quinidine precipitant: Halofantrine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB01211    object:Clarithromycin precipitant: Pimozide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB04855    object:Dronedarone precipitant: Arsenic trioxide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB00477    object:Vandetanib precipitant: Chlorpromazine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00502    object:Quinidine precipitant: Haloperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01218-http://bio2rdf.org/drugbank:DB01100    object:Halofantrine precipitant: Pimozide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00391-http://bio2rdf.org/drugbank:DB00738    object:Pentamidine precipitant: Sulpiride 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB01100    object:Chlorpromazine precipitant: Pimozide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
