drug pairs 
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB00601    object:Paroxetine precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00497-http://bio2rdf.org/drugbank:DB01211    object:Oxycodone precipitant: CLARITHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00530-http://bio2rdf.org/drugbank:DB00501    object:Erlotinib precipitant: Cimetidine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00343-http://bio2rdf.org/drugbank:DB01100    object:Diltiazem precipitant: Pimozide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB06713    object:NORELGESTROMIN precipitant: PHENOBARBITAL 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00619-http://bio2rdf.org/drugbank:DB01045    object:RIFAMPICIN precipitant: Imatinib 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00794-http://bio2rdf.org/drugbank:DB00717    object:NORETHINDRONE precipitant: PRIMIDONE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00091    object:CYCLOSPORINE precipitant: RIFAMPICIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB01232    object:SAQUINAVIR precipitant: Carbamazepine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00678-http://bio2rdf.org/drugbank:DB01345    object:Losartan precipitant: POTASSIUM 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00327-http://bio2rdf.org/drugbank:DB01037    object:Hydromorphone precipitant: SELEGILINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00537-http://bio2rdf.org/drugbank:DB00252    object:PHENYTOIN precipitant: CIPROFLOXACIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB00586    object:CYCLOSPORINE precipitant: DICLOFENAC 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00529-http://bio2rdf.org/drugbank:DB00479    object:FOSCARNET precipitant: Amikacin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00955-http://bio2rdf.org/drugbank:DB00887    object:Bumetanide precipitant: NETILMICIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00494-http://bio2rdf.org/drugbank:DB01037    object:SELEGILINE precipitant: Entacapone 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00912-http://bio2rdf.org/drugbank:DB01211    object:Repaglinide precipitant: CLARITHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01137-http://bio2rdf.org/drugbank:DB00860    object:LEVOFLOXACIN precipitant: Prednisolone 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01601-http://bio2rdf.org/drugbank:DB01394    object:Lopinavir precipitant: COLCHICINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB00738    object:Pentamidine precipitant: VANDETANIB 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00208-http://bio2rdf.org/drugbank:DB00252    object:PHENYTOIN precipitant: Ticlopidine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00813    object:Ritonavir precipitant: Fentanyl 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB01211    object:CLARITHROMYCIN precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00695-http://bio2rdf.org/drugbank:DB00542    object:Furosemide precipitant: Benazepril 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00998-http://bio2rdf.org/drugbank:DB01175    object:ESCITALOPRAM precipitant: Frovatriptan 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB01023    object:PHENYTOIN precipitant: Felodipine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00877-http://bio2rdf.org/drugbank:DB00564    object:SIROLIMUS precipitant: Carbamazepine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00877-http://bio2rdf.org/drugbank:DB01045    object:SIROLIMUS precipitant: RIFAMPICIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB05521    object:Telaprevir precipitant: Methylergometrine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00704-http://bio2rdf.org/drugbank:DB00813    object:Naltrexone precipitant: Fentanyl 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00277    object:CLARITHROMYCIN precipitant: THEOPHYLLINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00916-http://bio2rdf.org/drugbank:DB01008    object:METRONIDAZOLE precipitant: Busulfan 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00794-http://bio2rdf.org/drugbank:DB00783    object:PRIMIDONE precipitant: Estradiol 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00927-http://bio2rdf.org/drugbank:DB01254    object:Famotidine precipitant: DASATINIB 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00966-http://bio2rdf.org/drugbank:DB01356    object:TELMISARTAN precipitant: LITHIUM 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB06287    object:RIFAMPICIN precipitant: TEMSIROLIMUS 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB00252    object:PHENYTOIN precipitant: DIAZEPAM 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB05294    object:Haloperidol precipitant: VANDETANIB 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB01211    object:CLARITHROMYCIN precipitant: Fentanyl 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00773-http://bio2rdf.org/drugbank:DB00091    object:CYCLOSPORINE precipitant: Etoposide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00277-http://bio2rdf.org/drugbank:DB00199    object:THEOPHYLLINE precipitant: ERYTHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB01356    object:LITHIUM precipitant: Flurbiprofen 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04868-http://bio2rdf.org/drugbank:DB05351    object:TAK-390MR precipitant: Nilotinib 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00625-http://bio2rdf.org/drugbank:DB01100    object:Pimozide precipitant: Efavirenz 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB01174    object:ETHINYL ESTRADIOL precipitant: PHENOBARBITAL 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01367-http://bio2rdf.org/drugbank:DB00802    object:Rasagiline precipitant: ALFENTANIL 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00625-http://bio2rdf.org/drugbank:DB04835    object:MARAVIROC precipitant: Efavirenz 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00448    object:Ketoconazole precipitant: Lansoprazole 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00555-http://bio2rdf.org/drugbank:DB00503    object:Lamotrigine precipitant: Ritonavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01037-http://bio2rdf.org/drugbank:DB00715    object:SELEGILINE precipitant: Paroxetine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01234-http://bio2rdf.org/drugbank:DB01059    object:DEXAMETHASONE precipitant: Norfloxacin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00503    object:Carbamazepine precipitant: Ritonavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00876-http://bio2rdf.org/drugbank:DB01345    object:Eprosartan precipitant: POTASSIUM 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00563-http://bio2rdf.org/drugbank:DB00461    object:Nabumetone precipitant: METHOTREXATE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00649-http://bio2rdf.org/drugbank:DB00495    object:ZIDOVUDINE precipitant: Stavudine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01406-http://bio2rdf.org/drugbank:DB00641    object:SIMVASTATIN precipitant: Danazol 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00479-http://bio2rdf.org/drugbank:DB00214    object:Torasemide precipitant: Amikacin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB00371    object:MEPROBAMATE precipitant: CLOZAPINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB01406    object:CYCLOSPORINE precipitant: Danazol 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB00363    object:PETHIDINE precipitant: CLOZAPINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00887-http://bio2rdf.org/drugbank:DB00178    object:Ramipril precipitant: Bumetanide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB04855    object:Voriconazole precipitant: Dronedarone 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01592-http://bio2rdf.org/drugbank:DB01059    object:Iron precipitant: Norfloxacin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00468-http://bio2rdf.org/drugbank:DB00199    object:ERYTHROMYCIN precipitant: Quinine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00115-http://bio2rdf.org/drugbank:DB00736    object:CYANOCOBALAMIN precipitant: ESOMEPRAZOLE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB00726    object:Trimipramine precipitant: Duloxetine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01259-http://bio2rdf.org/drugbank:DB00976    object:TELITHROMYCIN precipitant: Lapatinib 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05351-http://bio2rdf.org/drugbank:DB00530    object:Erlotinib precipitant: TAK-390MR 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00734-http://bio2rdf.org/drugbank:DB00715    object:Paroxetine precipitant: Risperidone 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB00802    object:Voriconazole precipitant: ALFENTANIL 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB01118    object:PHENYTOIN precipitant: AMIODARONE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00734-http://bio2rdf.org/drugbank:DB01235    object:Risperidone precipitant: L-DOPA 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00559-http://bio2rdf.org/drugbank:DB01016    object:BOSENTAN precipitant: GLYBURIDE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01039-http://bio2rdf.org/drugbank:DB00175    object:Fenofibrate precipitant: PRAVASTATIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00421    object:Spironolactone precipitant: LISINOPRIL 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00363    object:Alprazolam precipitant: CLOZAPINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00976-http://bio2rdf.org/drugbank:DB04855    object:Dronedarone precipitant: TELITHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01601-http://bio2rdf.org/drugbank:DB00252    object:PHENYTOIN precipitant: Lopinavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB01394    object:Ketoconazole precipitant: COLCHICINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00343-http://bio2rdf.org/drugbank:DB00683    object:MIDAZOLAM precipitant: Diltiazem 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00594-http://bio2rdf.org/drugbank:DB00178    object:Ramipril precipitant: Amiloride 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00373-http://bio2rdf.org/drugbank:DB00328    object:INDOMETHACIN precipitant: TIMOLOL 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB06287-http://bio2rdf.org/drugbank:DB01026    object:Ketoconazole precipitant: TEMSIROLIMUS 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00177-http://bio2rdf.org/drugbank:DB01345    object:Valsartan precipitant: POTASSIUM 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB00594    object:Quinapril precipitant: Amiloride 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00594-http://bio2rdf.org/drugbank:DB00177    object:Valsartan precipitant: Amiloride 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00683    object:MIDAZOLAM precipitant: CLARITHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00802    object:Ketoconazole precipitant: ALFENTANIL 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB00091    object:CYCLOSPORINE precipitant: Voriconazole 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB00908    object:QUINIDINE precipitant: Pimozide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00563-http://bio2rdf.org/drugbank:DB00440    object:TRIMETHOPRIM precipitant: METHOTREXATE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00490-http://bio2rdf.org/drugbank:DB00661    object:Buspirone precipitant: Verapamil 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00783-http://bio2rdf.org/drugbank:DB00252    object:PHENYTOIN precipitant: Estradiol 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00563-http://bio2rdf.org/drugbank:DB00448    object:Lansoprazole precipitant: METHOTREXATE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB06713-http://bio2rdf.org/drugbank:DB00400    object:NORELGESTROMIN precipitant: Griseofulvin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01223-http://bio2rdf.org/drugbank:DB01045    object:RIFAMPICIN precipitant: AMINOPHYLLINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00794-http://bio2rdf.org/drugbank:DB01264    object:PRIMIDONE precipitant: Darunavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01104-http://bio2rdf.org/drugbank:DB00458    object:Imipramine precipitant: SERTRALINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01067-http://bio2rdf.org/drugbank:DB00489    object:GLIPIZIDE precipitant: Sotalol 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00708-http://bio2rdf.org/drugbank:DB00704    object:Naltrexone precipitant: Sufentanil 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00277    object:RIFAMPICIN precipitant: THEOPHYLLINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04868-http://bio2rdf.org/drugbank:DB00927    object:Famotidine precipitant: Nilotinib 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB01232    object:SAQUINAVIR precipitant: QUINIDINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00877-http://bio2rdf.org/drugbank:DB00343    object:SIROLIMUS precipitant: Diltiazem 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00738-http://bio2rdf.org/drugbank:DB00479    object:Pentamidine precipitant: Amikacin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01356-http://bio2rdf.org/drugbank:DB00275    object:Olmesartan precipitant: LITHIUM 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01015-http://bio2rdf.org/drugbank:DB00563    object:Sulfamethoxazole precipitant: METHOTREXATE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB01356    object:HYDROCHLOROTHIAZIDE precipitant: LITHIUM 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01258-http://bio2rdf.org/drugbank:DB01029    object:Irbesartan precipitant: Aliskiren 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00802-http://bio2rdf.org/drugbank:DB00196    object:Fluconazole precipitant: ALFENTANIL 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01367-http://bio2rdf.org/drugbank:DB00295    object:Rasagiline precipitant: MORPHINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00503    object:QUINIDINE precipitant: Ritonavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00635-http://bio2rdf.org/drugbank:DB01045    object:RIFAMPICIN precipitant: Prednisone 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00601-http://bio2rdf.org/drugbank:DB01104    object:SERTRALINE precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01254-http://bio2rdf.org/drugbank:DB00585    object:NIZATIDINE precipitant: DASATINIB 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00921    object:Buprenorphine precipitant: Ritonavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04835-http://bio2rdf.org/drugbank:DB00976    object:TELITHROMYCIN precipitant: MARAVIROC 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00726-http://bio2rdf.org/drugbank:DB00715    object:Paroxetine precipitant: Trimipramine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB00588    object:SAQUINAVIR precipitant: FLUTICASONE PROPIONATE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00530-http://bio2rdf.org/drugbank:DB00503    object:Erlotinib precipitant: Ritonavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00373-http://bio2rdf.org/drugbank:DB00672    object:TIMOLOL precipitant: Chlorpropamide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB00199    object:ERYTHROMYCIN precipitant: VANDETANIB 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00601-http://bio2rdf.org/drugbank:DB00726    object:Trimipramine precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB01319    object:ETHINYL ESTRADIOL precipitant: Fosamprenavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00367-http://bio2rdf.org/drugbank:DB00400    object:Griseofulvin precipitant: Levonorgestrel 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00927    object:Ketoconazole precipitant: Famotidine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00563    object:Probenecid precipitant: METHOTREXATE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00328    object:INDOMETHACIN precipitant: Trandolapril 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00776-http://bio2rdf.org/drugbank:DB06713    object:NORELGESTROMIN precipitant: Oxcarbazepine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01033-http://bio2rdf.org/drugbank:DB00437    object:Allopurinol precipitant: MERCAPTOPURINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB00673    object:Pimozide precipitant: Aprepitant 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00594-http://bio2rdf.org/drugbank:DB00722    object:LISINOPRIL precipitant: Amiloride 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB00690    object:Flurazepam precipitant: CLOZAPINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB01104    object:Amitriptyline precipitant: SERTRALINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00820-http://bio2rdf.org/drugbank:DB00503    object:Tadalafil precipitant: Ritonavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB00328    object:INDOMETHACIN precipitant: Ramipril 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB00218    object:Moxifloxacin precipitant: Dofetilide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
