id	affectingdrug	affectingatc	affecteddrug	affectedatc	effect	significance	evidence	comment
130	ANTACIDS	A02A	SALICYLATES	N02BA12	I	1	F	With high doses of aspirin (3g/day)
131	ANTACIDS	A02A	SALICYLATES	N02BA16	I	1	F	With high doses of aspirin (3g/day)
132	ANTACIDS	A02A	SALICYLATES	N02BA51	I	1	F	With high doses of aspirin (3g/day)
133	ANTACIDS	A02A	SALICYLATES	N02BA71	I	1	F	With high doses of aspirin (3g/day)
134	ANTACIDS	A02A	SALICYLATES	P02DA	I	1	F	With high doses of aspirin (3g/day)
135	ANTACIDS	A02A	SALICYLATES	S01BC08	I	1	F	With high doses of aspirin (3g/day)
136	ANTACIDS	A02A	ASPIRIN	A01AD05	I	1	F	With high doses of aspirin (3g/day)
137	ANTACIDS	A02A	ASPIRIN	B01AC06	I	1	F	With high doses of aspirin (3g/day)
141	ANTACIDS	A02A	ASPIRIN	M01BA03	I	1	F	With high doses of aspirin (3g/day)
142	ANTACIDS	A02A	TETRACYCLINE	A01AB13	I	2	F	
143	ANTACIDS	A02A	TETRACYCLINE	D06AA04	I	2	F	
144	ANTACIDS	A02A	TETRACYCLINE	J01AA07	I	2	F	
145	ANTACIDS	A02A	TETRACYCLINE	S01AA09	I	2	F	
146	ANTACIDS	A02A	TETRACYCLINE	S02AA08	I	2	F	
147	ANTACIDS	A02A	TETRACYCLINE	S03AA02	I	2	F	
148	ANTACIDS	A02A	THEOPHYLLINE	R03DA04	A	1	 	
149	ANTACIDS	A02A	THYROXINE	H03AA01	I	1	P	
150	ANTACIDS	A02A	THYROXINE	C10AX01	I	1	P	
151	ANTACIDS	A02A	THYROXINE	H03AA03	I	1	P	
152	ANTACIDS	A02A	VALPROIC ACID	N03AG01	A	1	 	
153	ANTACIDS	A02A	WARFARIN	B01AA03	N	 	G	
155	ALPRAZOLAM	N05BA12	ETHANOL	D08AX08	A	2	G	
156	ALPRAZOLAM	N05BA12	ETHANOL	V03AB16	A	2	G	
157	ALPRAZOLAM	N05BA12	ETHANOL	V03AZ01	A	2	G	
160	ALPRAZOLAM	N05BA12	LEVODOPA	N04BA01	I	1	P	
161	ALPRAZOLAM	N05BA12	LITHIUM	N05AN	A	1	 	
162	ALPRAZOLAM	N05BA12	LITHIUM	N05AN01	A	1	 	
163	ALPRAZOLAM	N05BA12	NSAIDS	S01BC	N	 	P	
164	ALPRAZOLAM	N05BA12	NSAIDS	M01A	N	 	P	
167	ALPRAZOLAM	N05BA12	DICLOFENAC	M01AB05	N	 	P	
168	ALPRAZOLAM	N05BA12	DICLOFENAC	M02AA15	N	 	P	
169	ALPRAZOLAM	N05BA12	DICLOFENAC	S01BC03	N	 	P	
173	ALPRAZOLAM	N05BA12	IBUPROFIN	G02CC01	N	 	P	
174	ALPRAZOLAM	N05BA12	IBUPROFIN	M01AE01	N	 	P	
175	ALPRAZOLAM	N05BA12	IBUPROFIN	M01AE51	N	 	P	
179	ALPRAZOLAM	N05BA12	INDOMETHACIN	M01AB01	N	 	P	
180	ALPRAZOLAM	N05BA12	INDOMETHACIN	M01AB51	N	 	P	
181	ALPRAZOLAM	N05BA12	INDOMETHACIN	S01BC01	N	 	P	
185	ALPRAZOLAM	N05BA12	NAPROXEN	G02CC02	N	 	P	
186	ALPRAZOLAM	N05BA12	NAPROXEN	M01AE02	N	 	P	
187	ALPRAZOLAM	N05BA12	NAPROXEN	M02AA12	N	 	P	
191	ALPRAZOLAM	N05BA12	TRICYCLIC ANTIDEPRESSANTS	N06AA09	A	2	P	
192	ALPRAZOLAM	N05BA12	TRICYCLIC ANTIDEPRESSANTS	N06AA01	A	2	P	
193	ALPRAZOLAM	N05BA12	TRICYCLIC ANTIDEPRESSANTS	N06AA02	A	2	P	
194	ALPRAZOLAM	N05BA12	TRICYCLIC ANTIDEPRESSANTS	N06AA10	A	2	P	
199	BETA BLOCKERS	C07A	ACETAMINOPHEN	N02BE01	A	1	 	
200	BETA BLOCKERS	C07A	ALLOPURINOL	M04AA01	N	 	P	
202	BETA BLOCKERS	C07A	BENZODIAZEPINE, LONG ACTING	N05BA01	A	1	P	
203	BETA BLOCKERS	C07A	BENZODIAZEPINE, LONG ACTING	N05BA12	A	1	P	
204	BETA BLOCKERS	C07A	BENZODIAZEPINE, LONG ACTING	N05CD01	A	1	P	
206	BETA BLOCKERS	C07A	CAPTOPRIL	C09AA01	N	 	F	
208	BETA BLOCKERS	C07A	CHOLESTYRAMINE	C10AC01	N	 	P	
210	BETA BLOCKERS	C07A	DILTIAZEM	C08DB01	A	2	F	
211	BETA BLOCKERS	C07A	ENALAPRIL	C09AA02	N	 	F	
213	BETA BLOCKERS	C07A	ETHANOL	D08AX08	N	 	P	
214	BETA BLOCKERS	C07A	ETHANOL	V03AB16	N	 	P	
215	BETA BLOCKERS	C07A	ETHANOL	V03AZ01	N	 	P	
223	BETA BLOCKERS	C07A	GLYBURIDE	A10BB01	A	2	F	Delays recovery from hypoglycemia; may mask hypoglycemic symptoms
224	BETA BLOCKERS	C07A	INSULIN	A10A	A	2	G	Delays recovery from hypoglycemia; may mask hypoglycemic symptoms
225	BETA BLOCKERS	C07A	LEVODOPA	N04BA01	A	1	P	Potentiate anti-tremor effect; inhibit inotropic effect
226	BETA BLOCKERS	C07A	LEVODOPA	N04BA01	I	1	P	Potentiate anti-tremor effect; inhibit inotropic effect
227	BETA BLOCKERS	C07A	LIDOCAINE	C01BB01	A	2	F	
228	BETA BLOCKERS	C07A	LIDOCAINE	C05AD01	A	2	F	
229	BETA BLOCKERS	C07A	LIDOCAINE	D04AB01	A	2	F	
230	BETA BLOCKERS	C07A	LIDOCAINE	N01BB02	A	2	F	
231	BETA BLOCKERS	C07A	LIDOCAINE	R02AD02	A	2	F	
232	BETA BLOCKERS	C07A	LIDOCAINE	S01HA07	A	2	F	
233	BETA BLOCKERS	C07A	LIDOCAINE	S02DA01	A	2	F	
234	BETA BLOCKERS	C07A	LITHIUM	N05AN	A	1	 	
235	BETA BLOCKERS	C07A	LITHIUM	N05AN01	A	1	 	
236	BETA BLOCKERS	C07A	LORAZEPAM	N05BA06	N	 	P	
238	BETA BLOCKERS	C07A	LOVASTATIN	C10AA02	I	1	 	
239	BETA BLOCKERS	C07A	METOCLOPRAMIDE	A03FA01	N	 	P	
241	BETA BLOCKERS	C07A	NIFEDIPINE	C08CA05	A	2	F	
242	BETA BLOCKERS	C07A	OXAZEPAM	N05BA04	A	1	P	
243	BETA BLOCKERS	C07A	RANITIDINE	A02BA02	N	 	P	
245	BETA BLOCKERS	C07A	SALBUTAMOL	R03AC02	I	2	P	
246	BETA BLOCKERS	C07A	SALBUTAMOL	R03CC02	I	2	P	
247	BETA BLOCKERS	C07A	SALICYLATES	J04AA01	A	1	 	
248	BETA BLOCKERS	C07A	SALICYLATES	J04AA02	A	1	 	
249	BETA BLOCKERS	C07A	SALICYLATES	J04AA03	A	1	 	
250	BETA BLOCKERS	C07A	SALICYLATES	N02BA	A	1	 	
251	BETA BLOCKERS	C07A	SALICYLATES	M02AC	A	1	 	
252	BETA BLOCKERS	C07A	SALICYLATES	N02BA01	A	1	 	
253	BETA BLOCKERS	C07A	SALICYLATES	N02BA03	A	1	 	
254	BETA BLOCKERS	C07A	SALICYLATES	N02BA04	A	1	 	
255	BETA BLOCKERS	C07A	SALICYLATES	N02BA08	A	1	 	
256	BETA BLOCKERS	C07A	SALICYLATES	N02BA12	A	1	 	
257	BETA BLOCKERS	C07A	SALICYLATES	N02BA16	A	1	 	
258	BETA BLOCKERS	C07A	SALICYLATES	N02BA51	A	1	 	
259	BETA BLOCKERS	C07A	SALICYLATES	N02BA71	A	1	 	
260	BETA BLOCKERS	C07A	SALICYLATES	P02DA	A	1	 	
261	BETA BLOCKERS	C07A	SALICYLATES	S01BC08	A	1	 	
262	BETA BLOCKERS	C07A	ASPIRIN	A01AD05	A	1	 	
263	BETA BLOCKERS	C07A	ASPIRIN	B01AC06	A	1	 	
267	BETA BLOCKERS	C07A	ASPIRIN	M01BA03	A	1	 	
268	BETA BLOCKERS	C07A	THEOPHYLLINE	R03DA04	I	2	F	Beta blockers may antagonize bronchodilation. Propranolol may increase theophylline serum levels
269	BETA BLOCKERS	C07A	THEOPHYLLINE	R03DA04	A	2	F	Beta blockers may antagonize bronchodilation. Propranolol may increase theophylline serum levels
270	BETA BLOCKERS	C07A	THIAZIDES	C03AA	A	1	P	May increase serum glucose in Type 2 Diabetics
271	BETA BLOCKERS	C07A	CHLORTHALIDONE	C03BA04	A	1	P	
272	BETA BLOCKERS	C07A	CHLORTHALIDONE	C03BB04	A	1	P	
273	BETA BLOCKERS	C07A	HYDROCHLOROTHIAZIDE	C03AA03	A	1	P	
274	BETA BLOCKERS	C07A	THYROXINE	H03AA01	I	1	P	
275	BETA BLOCKERS	C07A	THYROXINE	C10AX01	I	1	P	
276	BETA BLOCKERS	C07A	THYROXINE	H03AA03	I	1	P	
277	BETA BLOCKERS	C07A	TRICYCLIC ANTIDEPRESSANTS	N06AA09	I	1	P	
278	BETA BLOCKERS	C07A	TRICYCLIC ANTIDEPRESSANTS	N06AA01	I	1	P	
279	BETA BLOCKERS	C07A	TRICYCLIC ANTIDEPRESSANTS	N06AA02	I	1	P	
280	BETA BLOCKERS	C07A	TRICYCLIC ANTIDEPRESSANTS	N06AA10	I	1	P	
285	BETA BLOCKERS	C07A	VERAPAMIL	C08DA01	A	2	G	Augments coronary vasoconstriction
286	BETA BLOCKERS	C07A	WARFARIN	B01AA03	A	1	 	
287	METOPRALOL	C07AB02	ACETAMINOPHEN	N02BE01	A	1	 	
288	METOPRALOL	C07AB52	ACETAMINOPHEN	N02BE01	A	1	 	
289	METOPRALOL	C07BB02	ACETAMINOPHEN	N02BE01	A	1	 	
290	METOPRALOL	C07BB52	ACETAMINOPHEN	N02BE01	A	1	 	
291	METOPRALOL	C07CB02	ACETAMINOPHEN	N02BE01	A	1	 	
292	METOPRALOL	C07FB02	ACETAMINOPHEN	N02BE01	A	1	 	
293	METOPRALOL	C07AB02	ALLOPURINOL	M04AA01	N	 	P	
294	METOPRALOL	C07AB52	ALLOPURINOL	M04AA01	N	 	P	
295	METOPRALOL	C07BB02	ALLOPURINOL	M04AA01	N	 	P	
296	METOPRALOL	C07BB52	ALLOPURINOL	M04AA01	N	 	P	
297	METOPRALOL	C07CB02	ALLOPURINOL	M04AA01	N	 	P	
298	METOPRALOL	C07FB02	ALLOPURINOL	M04AA01	N	 	P	
305	METOPRALOL	C07AB02	BENZODIAZEPINE, LONG ACTING	N05BA01	A	1	P	
306	METOPRALOL	C07AB02	BENZODIAZEPINE, LONG ACTING	N05BA12	A	1	P	
307	METOPRALOL	C07AB02	BENZODIAZEPINE, LONG ACTING	N05CD01	A	1	P	
308	METOPRALOL	C07AB52	BENZODIAZEPINE, LONG ACTING	N05BA01	A	1	P	
309	METOPRALOL	C07AB52	BENZODIAZEPINE, LONG ACTING	N05BA12	A	1	P	
310	METOPRALOL	C07AB52	BENZODIAZEPINE, LONG ACTING	N05CD01	A	1	P	
311	METOPRALOL	C07BB02	BENZODIAZEPINE, LONG ACTING	N05BA01	A	1	P	
312	METOPRALOL	C07BB02	BENZODIAZEPINE, LONG ACTING	N05BA12	A	1	P	
313	METOPRALOL	C07BB02	BENZODIAZEPINE, LONG ACTING	N05CD01	A	1	P	
314	METOPRALOL	C07BB52	BENZODIAZEPINE, LONG ACTING	N05BA01	A	1	P	
315	METOPRALOL	C07BB52	BENZODIAZEPINE, LONG ACTING	N05BA12	A	1	P	
316	METOPRALOL	C07BB52	BENZODIAZEPINE, LONG ACTING	N05CD01	A	1	P	
317	METOPRALOL	C07CB02	BENZODIAZEPINE, LONG ACTING	N05BA01	A	1	P	
318	METOPRALOL	C07CB02	BENZODIAZEPINE, LONG ACTING	N05BA12	A	1	P	
319	METOPRALOL	C07CB02	BENZODIAZEPINE, LONG ACTING	N05CD01	A	1	P	
320	METOPRALOL	C07FB02	BENZODIAZEPINE, LONG ACTING	N05BA01	A	1	P	
321	METOPRALOL	C07FB02	BENZODIAZEPINE, LONG ACTING	N05BA12	A	1	P	
322	METOPRALOL	C07FB02	BENZODIAZEPINE, LONG ACTING	N05CD01	A	1	P	
329	METOPRALOL	C07AB02	CAPTOPRIL	C09AA01	N	 	F	
330	METOPRALOL	C07AB52	CAPTOPRIL	C09AA01	N	 	F	
331	METOPRALOL	C07BB02	CAPTOPRIL	C09AA01	N	 	F	
332	METOPRALOL	C07BB52	CAPTOPRIL	C09AA01	N	 	F	
333	METOPRALOL	C07CB02	CAPTOPRIL	C09AA01	N	 	F	
334	METOPRALOL	C07FB02	CAPTOPRIL	C09AA01	N	 	F	
341	METOPRALOL	C07AB02	CHOLESTYRAMINE	C10AC01	N	 	P	
342	METOPRALOL	C07AB52	CHOLESTYRAMINE	C10AC01	N	 	P	
343	METOPRALOL	C07BB02	CHOLESTYRAMINE	C10AC01	N	 	P	
344	METOPRALOL	C07BB52	CHOLESTYRAMINE	C10AC01	N	 	P	
345	METOPRALOL	C07CB02	CHOLESTYRAMINE	C10AC01	N	 	P	
346	METOPRALOL	C07FB02	CHOLESTYRAMINE	C10AC01	N	 	P	
353	METOPRALOL	C07AB02	DILTIAZEM	C08DB01	A	2	F	
354	METOPRALOL	C07AB52	DILTIAZEM	C08DB01	A	2	F	
355	METOPRALOL	C07BB02	DILTIAZEM	C08DB01	A	2	F	
356	METOPRALOL	C07BB52	DILTIAZEM	C08DB01	A	2	F	
357	METOPRALOL	C07CB02	DILTIAZEM	C08DB01	A	2	F	
358	METOPRALOL	C07FB02	DILTIAZEM	C08DB01	A	2	F	
359	METOPRALOL	C07AB02	ENALAPRIL	C09AA02	N	 	F	
360	METOPRALOL	C07AB52	ENALAPRIL	C09AA02	N	 	F	
361	METOPRALOL	C07BB02	ENALAPRIL	C09AA02	N	 	F	
362	METOPRALOL	C07BB52	ENALAPRIL	C09AA02	N	 	F	
363	METOPRALOL	C07CB02	ENALAPRIL	C09AA02	N	 	F	
364	METOPRALOL	C07FB02	ENALAPRIL	C09AA02	N	 	F	
371	METOPRALOL	C07AB02	ETHANOL	D08AX08	N	 	P	
372	METOPRALOL	C07AB02	ETHANOL	V03AB16	N	 	P	
373	METOPRALOL	C07AB02	ETHANOL	V03AZ01	N	 	P	
374	METOPRALOL	C07AB52	ETHANOL	D08AX08	N	 	P	
375	METOPRALOL	C07AB52	ETHANOL	V03AB16	N	 	P	
376	METOPRALOL	C07AB52	ETHANOL	V03AZ01	N	 	P	
377	METOPRALOL	C07BB02	ETHANOL	D08AX08	N	 	P	
378	METOPRALOL	C07BB02	ETHANOL	V03AB16	N	 	P	
379	METOPRALOL	C07BB02	ETHANOL	V03AZ01	N	 	P	
380	METOPRALOL	C07BB52	ETHANOL	D08AX08	N	 	P	
381	METOPRALOL	C07BB52	ETHANOL	V03AB16	N	 	P	
382	METOPRALOL	C07BB52	ETHANOL	V03AZ01	N	 	P	
383	METOPRALOL	C07CB02	ETHANOL	D08AX08	N	 	P	
384	METOPRALOL	C07CB02	ETHANOL	V03AB16	N	 	P	
385	METOPRALOL	C07CB02	ETHANOL	V03AZ01	N	 	P	
386	METOPRALOL	C07FB02	ETHANOL	D08AX08	N	 	P	
387	METOPRALOL	C07FB02	ETHANOL	V03AB16	N	 	P	
388	METOPRALOL	C07FB02	ETHANOL	V03AZ01	N	 	P	
431	METOPRALOL	C07AB02	GLYBURIDE	A10BB01	A	2	F	Delays recovery from hypoglycemia; may mask hypoglycemic symptoms
432	METOPRALOL	C07AB52	GLYBURIDE	A10BB01	A	2	F	Delays recovery from hypoglycemia; may mask hypoglycemic symptoms
433	METOPRALOL	C07BB02	GLYBURIDE	A10BB01	A	2	F	Delays recovery from hypoglycemia; may mask hypoglycemic symptoms
434	METOPRALOL	C07BB52	GLYBURIDE	A10BB01	A	2	F	Delays recovery from hypoglycemia; may mask hypoglycemic symptoms
435	METOPRALOL	C07CB02	GLYBURIDE	A10BB01	A	2	F	Delays recovery from hypoglycemia; may mask hypoglycemic symptoms
436	METOPRALOL	C07FB02	GLYBURIDE	A10BB01	A	2	F	Delays recovery from hypoglycemia; may mask hypoglycemic symptoms
437	METOPRALOL	C07AB02	INSULIN	A10A	A	2	G	Delays recovery from hypoglycemia; may mask hypoglycemic symptoms
438	METOPRALOL	C07AB52	INSULIN	A10A	A	2	G	Delays recovery from hypoglycemia; may mask hypoglycemic symptoms
439	METOPRALOL	C07BB02	INSULIN	A10A	A	2	G	Delays recovery from hypoglycemia; may mask hypoglycemic symptoms
440	METOPRALOL	C07BB52	INSULIN	A10A	A	2	G	Delays recovery from hypoglycemia; may mask hypoglycemic symptoms
441	METOPRALOL	C07CB02	INSULIN	A10A	A	2	G	Delays recovery from hypoglycemia; may mask hypoglycemic symptoms
442	METOPRALOL	C07FB02	INSULIN	A10A	A	2	G	Delays recovery from hypoglycemia; may mask hypoglycemic symptoms
443	METOPRALOL	C07AB02	LEVODOPA	N04BA01	A	1	P	Potentiate anti-tremor effect; inhibit inotropic effect
444	METOPRALOL	C07AB52	LEVODOPA	N04BA01	A	1	P	Potentiate anti-tremor effect; inhibit inotropic effect
445	METOPRALOL	C07BB02	LEVODOPA	N04BA01	A	1	P	Potentiate anti-tremor effect; inhibit inotropic effect
446	METOPRALOL	C07BB52	LEVODOPA	N04BA01	A	1	P	Potentiate anti-tremor effect; inhibit inotropic effect
447	METOPRALOL	C07CB02	LEVODOPA	N04BA01	A	1	P	Potentiate anti-tremor effect; inhibit inotropic effect
448	METOPRALOL	C07FB02	LEVODOPA	N04BA01	A	1	P	Potentiate anti-tremor effect; inhibit inotropic effect
449	METOPRALOL	C07AB02	LEVODOPA	N04BA01	I	1	P	Potentiate anti-tremor effect; inhibit inotropic effect
450	METOPRALOL	C07AB52	LEVODOPA	N04BA01	I	1	P	Potentiate anti-tremor effect; inhibit inotropic effect
451	METOPRALOL	C07BB02	LEVODOPA	N04BA01	I	1	P	Potentiate anti-tremor effect; inhibit inotropic effect
452	METOPRALOL	C07BB52	LEVODOPA	N04BA01	I	1	P	Potentiate anti-tremor effect; inhibit inotropic effect
453	METOPRALOL	C07CB02	LEVODOPA	N04BA01	I	1	P	Potentiate anti-tremor effect; inhibit inotropic effect
454	METOPRALOL	C07FB02	LEVODOPA	N04BA01	I	1	P	Potentiate anti-tremor effect; inhibit inotropic effect
455	METOPRALOL	C07AB02	LIDOCAINE	C01BB01	A	2	F	
456	METOPRALOL	C07AB02	LIDOCAINE	C05AD01	A	2	F	
457	METOPRALOL	C07AB02	LIDOCAINE	D04AB01	A	2	F	
458	METOPRALOL	C07AB02	LIDOCAINE	N01BB02	A	2	F	
459	METOPRALOL	C07AB02	LIDOCAINE	R02AD02	A	2	F	
