Drug 1 ATC Code	Drug 1 Name	Drug 1 RxCUI	Drug 1 Class Name	Drug 1 Code	Drug 2 ATC Code	Drug 2 Name	Drug 2 RxCUI	Drug 2 Class Name	Drug 2 Code	Clinical Source	Source File	Description	Severity	Comment
N02AE01	BUPRENORPHINE	1819						BENZODIAZEPINES AND RELATED	N05-001	ANSM	100-BUPRENORPHINE.html	With the buprenorphine used in opioid replacement therapy: increased risk of respiratory depression which could be fatal.	Take into account	Evaluate carefully the risk/benefits relationship of administering these substances together. Inform the patient of the necessity of adhering to the prescribed dosages.
N07BC01	BUPRENORPHINE	1819						BENZODIAZEPINES AND RELATED	N05-001	ANSM	100-BUPRENORPHINE.html	With the buprenorphine used in opioid replacement therapy: increased risk of respiratory depression which could be fatal.	Take into account	Evaluate carefully the risk/benefits relationship of administering these substances together. Inform the patient of the necessity of adhering to the prescribed dosages.
N07BC51	BUPRENORPHINE	1819						BENZODIAZEPINES AND RELATED	N05-001	ANSM	100-BUPRENORPHINE.html	With the buprenorphine used in opioid replacement therapy: increased risk of respiratory depression which could be fatal.	Take into account	Evaluate carefully the risk/benefits relationship of administering these substances together. Inform the patient of the necessity of adhering to the prescribed dosages.
N02AE01	BUPRENORPHINE	1819						RITONAVIR BOOSTED PROTEASE INHIBITORS	J05AE-002	ANSM	100-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to both inhibition and acceleration of its metabolism by the protease inhibitor	Take into account	
N07BC01	BUPRENORPHINE	1819						RITONAVIR BOOSTED PROTEASE INHIBITORS	J05AE-002	ANSM	100-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to both inhibition and acceleration of its metabolism by the protease inhibitor	Take into account	
N07BC51	BUPRENORPHINE	1819						RITONAVIR BOOSTED PROTEASE INHIBITORS	J05AE-002	ANSM	100-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to both inhibition and acceleration of its metabolism by the protease inhibitor	Take into account	
N02AE01	BUPRENORPHINE	1819			J02AC02	ITRACONAZOLE	28031			ANSM	100-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buprenorphine during the treatment with the inhibitor and, if the situation requires, after it is stopped.
N07BC01	BUPRENORPHINE	1819			J02AC02	ITRACONAZOLE	28031			ANSM	100-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buprenorphine during the treatment with the inhibitor and, if the situation requires, after it is stopped.
N07BC51	BUPRENORPHINE	1819			J02AC02	ITRACONAZOLE	28031			ANSM	100-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buprenorphine during the treatment with the inhibitor and, if the situation requires, after it is stopped.
N02AE01	BUPRENORPHINE	1819			D01AC08	KETOCONAZOLE	6135			ANSM	100-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buprenorphine during the treatment with the inhibitor and, if the situation requires, after it is stopped.
N02AE01	BUPRENORPHINE	1819			G01AF11	KETOCONAZOLE	6135			ANSM	100-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buprenorphine during the treatment with the inhibitor and, if the situation requires, after it is stopped.
N02AE01	BUPRENORPHINE	1819			J02AB02	KETOCONAZOLE	6135			ANSM	100-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buprenorphine during the treatment with the inhibitor and, if the situation requires, after it is stopped.
N07BC01	BUPRENORPHINE	1819			D01AC08	KETOCONAZOLE	6135			ANSM	100-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buprenorphine during the treatment with the inhibitor and, if the situation requires, after it is stopped.
N07BC01	BUPRENORPHINE	1819			G01AF11	KETOCONAZOLE	6135			ANSM	100-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buprenorphine during the treatment with the inhibitor and, if the situation requires, after it is stopped.
N07BC01	BUPRENORPHINE	1819			J02AB02	KETOCONAZOLE	6135			ANSM	100-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buprenorphine during the treatment with the inhibitor and, if the situation requires, after it is stopped.
N07BC51	BUPRENORPHINE	1819			D01AC08	KETOCONAZOLE	6135			ANSM	100-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buprenorphine during the treatment with the inhibitor and, if the situation requires, after it is stopped.
N07BC51	BUPRENORPHINE	1819			G01AF11	KETOCONAZOLE	6135			ANSM	100-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buprenorphine during the treatment with the inhibitor and, if the situation requires, after it is stopped.
N07BC51	BUPRENORPHINE	1819			J02AB02	KETOCONAZOLE	6135			ANSM	100-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buprenorphine during the treatment with the inhibitor and, if the situation requires, after it is stopped.
N02AE01	BUPRENORPHINE	1819			J05AE04	NELFINAVIR	134527			ANSM	100-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to both inhibition and acceleration of its metabolism by the protease inhibitor	Take into account	
N07BC01	BUPRENORPHINE	1819			J05AE04	NELFINAVIR	134527			ANSM	100-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to both inhibition and acceleration of its metabolism by the protease inhibitor	Take into account	
N07BC51	BUPRENORPHINE	1819			J05AE04	NELFINAVIR	134527			ANSM	100-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to both inhibition and acceleration of its metabolism by the protease inhibitor	Take into account	
N06AX12	BUPROPION	42347			N06AA04	CLOMIPRAMINE	2597			ANSM	101-BUPROPION.html	Risk of increase of the undesirable effects of the cloripramine due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the clomipramine during the treatment with the bupropion.
N06AX12	BUPROPION	42347			N06AA01	DESIPRAMINE	3247			ANSM	101-BUPROPION.html	Risk of increase of the undesirable effects of the desipramine due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the desipramine during the treatment with the bupropion.
N06AX12	BUPROPION	42347			C01BC04	FLECAINIDE	4441			ANSM	101-BUPROPION.html	Risk of increase of the undesirable effects of the flecainide due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the flecainide during the treatment with the bupropion.
N06AX12	BUPROPION	42347						IRREVERSIBLE MONOAMINE OXIDASE INHIBITORS (MAOI)	N06AF0	ANSM	101-BUPROPION.html	Risk of hypertensive crises. From the fact of the length of action of the MAOI, this interaction is still theoretically possible two weeks after it is stopped	Contraindication	
N06AX12	BUPROPION	42347						REVERSIBLE MAOI-A, INCLUDING LINEZOLIDE AND METHYLENE BLUE	NO6AG-001	ANSM	101-BUPROPION.html	Risk of hypertensive crises	Contraindication	
N06AX12	BUPROPION	42347						MAOI-B 	N04BD0-001	ANSM	101-BUPROPION.html	Risk of hypertensive crises	Contraindication	
N06AX12	BUPROPION	42347			R06AD07	MEQUITAZINE	29528			ANSM	101-BUPROPION.html	Risk of increase of the undesirable effects of the mequitazine, due to inhibition of its metabolism by the enzyme inhibitor	Not recommended	
N06AX12	BUPROPION	42347			C07AB02	METOPROLOL	6918			ANSM	101-BUPROPION.html	With the metoprolol used for heart failure: risk of increase of the undesirable effects of the metoprolol due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the metoprolol during the treatment with the bupropion
N06AX12	BUPROPION	42347			C07FB02	METOPROLOL	6918			ANSM	101-BUPROPION.html	With the metoprolol used for heart failure: risk of increase of the undesirable effects of the metoprolol due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the metoprolol during the treatment with the bupropion
N06AX12	BUPROPION	42347			C07CB02	METOPROLOL	6918			ANSM	101-BUPROPION.html	With the metoprolol used for heart failure: risk of increase of the undesirable effects of the metoprolol due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the metoprolol during the treatment with the bupropion
N06AX12	BUPROPION	42347			C07BB02	METOPROLOL	6918			ANSM	101-BUPROPION.html	With the metoprolol used for heart failure: risk of increase of the undesirable effects of the metoprolol due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the metoprolol during the treatment with the bupropion
N06AX12	BUPROPION	42347			C07BB52	METOPROLOL	6918			ANSM	101-BUPROPION.html	With the metoprolol used for heart failure: risk of increase of the undesirable effects of the metoprolol due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the metoprolol during the treatment with the bupropion
N06AX12	BUPROPION	42347			C07AB52	METOPROLOL	6918			ANSM	101-BUPROPION.html	With the metoprolol used for heart failure: risk of increase of the undesirable effects of the metoprolol due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the metoprolol during the treatment with the bupropion
N06AX12	BUPROPION	42347			N06AA10	NORTRIPTYLINE	7531			ANSM	101-BUPROPION.html	Risk of increase of the undesirable effects of the nortriptyline due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the nortriptyline during the treatment with the bupropion.
N06AX12	BUPROPION	42347			C01BC03	PROPAFENONE	8754			ANSM	101-BUPROPION.html	Risk of increase of the undesirable effects of the propafenone due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the propafenone during the treatment with the bupropion.
N06AX12	BUPROPION	42347			L02BA01	TAMOXIFEN	10324			ANSM	101-BUPROPION.html	Risk of reduction of the effectiveness of the tamoxifen, due to inhibition of the formation of its active metabolite by the terbinafine [sic]	Not recommended	
N06AX12	BUPROPION	42347			N02AX02	TRAMADOL	10689			ANSM	101-BUPROPION.html	Increase of the plasma concentrations of the tramadol due to decrease of its hepatic metabolism by the bupropion. In addition, risk of convulsions due to addition of the effects of the two medications	Take into account	
N06AX12	BUPROPION	42347			N02AX52	TRAMADOL	10689			ANSM	101-BUPROPION.html	Increase of the plasma concentrations of the tramadol due to decrease of its hepatic metabolism by the bupropion. In addition, risk of convulsions due to addition of the effects of the two medications	Take into account	
N06AX12	BUPROPION	42347			L01XE15	VEMURAFENIB	1147220			ANSM	101-BUPROPION.html	Risk of decrease of the concentrations of the bupropion, with increase of its active metabolite and increased toxicity	Take into account	
N05BE01	BUSPIRONE	1827				GRAPEFRUIT JUICE				ANSM	102-BUSPIRONE.html	Risk of increase of the undesirable effects of the buspirone due to decrease of its metabolism by the grapefruit juice	Take into account	
N05BE01	BUSPIRONE	1827			N05BA01	DIAZEPAM	3322			ANSM	102-BUSPIRONE.html	Risk of increase of the undesirable effects of the buspirone	Take into account	
N05BE01	BUSPIRONE	1827			C08DB01	DILTIAZEM	3443			ANSM	102-BUSPIRONE.html	Increase of the plasma concentrations of the buspirone due to decrease of its hepatic metabolism by the diltiazem, with increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buspirone if necessary.
N05BE01	BUSPIRONE	1827			D10AF02	ERYTHROMYCIN	4053			ANSM	102-BUSPIRONE.html	Increase of the plasma concentrations of the buspirone due to decrease of its hepatic metabolism, with substantial increase of sedation	Not recommended	
N05BE01	BUSPIRONE	1827			D10AF52	ERYTHROMYCIN	4053			ANSM	102-BUSPIRONE.html	Increase of the plasma concentrations of the buspirone due to decrease of its hepatic metabolism, with substantial increase of sedation	Not recommended	
N05BE01	BUSPIRONE	1827			J01FA01	ERYTHROMYCIN	4053			ANSM	102-BUSPIRONE.html	Increase of the plasma concentrations of the buspirone due to decrease of its hepatic metabolism, with substantial increase of sedation	Not recommended	
N05BE01	BUSPIRONE	1827			S01AA17	ERYTHROMYCIN	4053			ANSM	102-BUSPIRONE.html	Increase of the plasma concentrations of the buspirone due to decrease of its hepatic metabolism, with substantial increase of sedation	Not recommended	
N05BE01	BUSPIRONE	1827			J02AC02	ITRACONAZOLE	28031			ANSM	102-BUSPIRONE.html	Increase of the plasma concentrations of the buspirone due to decrease of its hepatic metabolism, with substantial increase of sedation	Not recommended	
N05BE01	BUSPIRONE	1827			J04AB02	RIFAMPICIN	9384			ANSM	102-BUSPIRONE.html	Decrease of the plasma concentrations of the buspirone due to increase of its hepatic metabolism by the rifampicin	Precaution for use	Clinical monitoring and possible adjustment of the dosage of the buspirone during the treatment with rifampicin and after it is stopped.
N05BE01	BUSPIRONE	1827			J04AM02	RIFAMPICIN	9384			ANSM	102-BUSPIRONE.html	Decrease of the plasma concentrations of the buspirone due to increase of its hepatic metabolism by the rifampicin	Precaution for use	Clinical monitoring and possible adjustment of the dosage of the buspirone during the treatment with rifampicin and after it is stopped.
N05BE01	BUSPIRONE	1827			J04AM05	RIFAMPICIN	9384			ANSM	102-BUSPIRONE.html	Decrease of the plasma concentrations of the buspirone due to increase of its hepatic metabolism by the rifampicin	Precaution for use	Clinical monitoring and possible adjustment of the dosage of the buspirone during the treatment with rifampicin and after it is stopped.
N05BE01	BUSPIRONE	1827			J04AM06	RIFAMPICIN	9384			ANSM	102-BUSPIRONE.html	Decrease of the plasma concentrations of the buspirone due to increase of its hepatic metabolism by the rifampicin	Precaution for use	Clinical monitoring and possible adjustment of the dosage of the buspirone during the treatment with rifampicin and after it is stopped.
N05BE01	BUSPIRONE	1827			C08DA01	VERAPAMIL	11170			ANSM	102-BUSPIRONE.html	Increase of the plasma concentrations of the buspirone due to decrease of its hepatic metabolism by the verapamil, with increase of its undesirable effects.	Precaution for use	Clinical monitoring and adjustment of the dosage of the buspirone if necessary.
N05BE01	BUSPIRONE	1827			C08DA51	VERAPAMIL	11170			ANSM	102-BUSPIRONE.html	Increase of the plasma concentrations of the buspirone due to decrease of its hepatic metabolism by the verapamil, with increase of its undesirable effects.	Precaution for use	Clinical monitoring and adjustment of the dosage of the buspirone if necessary.
N05BE01	BUSPIRONE	1827			C09BB10	VERAPAMIL	11170			ANSM	102-BUSPIRONE.html	Increase of the plasma concentrations of the buspirone due to decrease of its hepatic metabolism by the verapamil, with increase of its undesirable effects.	Precaution for use	Clinical monitoring and adjustment of the dosage of the buspirone if necessary.
L01AB01	BUSULFAN	1828			V03AC03	DEFERASIROX	614373			ANSM	103-BUSULFAN.html	Risk of increase of the toxicity of the busulfan due to decrease of its clearance by the deferasirox	Take into account	
L01AB01	BUSULFAN	1828			J02AC02	ITRACONAZOLE	28031			ANSM	103-BUSULFAN.html	With the busulfan in large doses: doubling of the concentrations of busulfan by the itraconazole	Not recommended	
L01AB01	BUSULFAN	1828			A02BD08	METRONIDAZOLE	6922			ANSM	103-BUSULFAN.html	With the busulfan in large doses: doubling of the concentrations of busulfan by the metronidazole	Not recommended	
L01AB01	BUSULFAN	1828			A02BD03	METRONIDAZOLE	6922			ANSM	103-BUSULFAN.html	With the busulfan in large doses: doubling of the concentrations of busulfan by the metronidazole	Not recommended	
L01AB01	BUSULFAN	1828			A02BD02	METRONIDAZOLE	6922			ANSM	103-BUSULFAN.html	With the busulfan in large doses: doubling of the concentrations of busulfan by the metronidazole	Not recommended	
L01AB01	BUSULFAN	1828			A01AB17	METRONIDAZOLE	6922			ANSM	103-BUSULFAN.html	With the busulfan in large doses: doubling of the concentrations of busulfan by the metronidazole	Not recommended	
L01AB01	BUSULFAN	1828			D06BX01	METRONIDAZOLE	6922			ANSM	103-BUSULFAN.html	With the busulfan in large doses: doubling of the concentrations of busulfan by the metronidazole	Not recommended	
L01AB01	BUSULFAN	1828			G01AF01	METRONIDAZOLE	6922			ANSM	103-BUSULFAN.html	With the busulfan in large doses: doubling of the concentrations of busulfan by the metronidazole	Not recommended	
L01AB01	BUSULFAN	1828			J01XD01	METRONIDAZOLE	6922			ANSM	103-BUSULFAN.html	With the busulfan in large doses: doubling of the concentrations of busulfan by the metronidazole	Not recommended	
L01AB01	BUSULFAN	1828			P01AB01	METRONIDAZOLE	6922			ANSM	103-BUSULFAN.html	With the busulfan in large doses: doubling of the concentrations of busulfan by the metronidazole	Not recommended	
L01AB01	BUSULFAN	1828			A02BD01	METRONIDAZOLE	6922			ANSM	103-BUSULFAN.html	With the busulfan in large doses: doubling of the concentrations of busulfan by the metronidazole	Not recommended	
L01CD04	CABAZITAXEL	996051						ENZYMATIC INDUCERS	N03-J05-001	ANSM	104-CABAZITAXEL.html	Decrease of the concentrations of the cytotoxic due to increase of its metabolism by the inducer, with risk of lower effectiveness	Take into account	
L01CD04	CABAZITAXEL	996051						STRONG INHIBITORS OF CYP3A4	J02-J05	ANSM	104-CABAZITAXEL.html	Risk of increase of the undesirable dose dependent effects of the cabazitaxel due to inhibition of its metabolism by the enzyme inhibitor	Precaution for use	Clinical monitoring and possible adjustment of the dosage of the cabazitaxel during the treatment with the enzyme inhibitor.
N06BC01	CAFFEINE 	1886			J01MA02	CIPROFLOXACIN	2551			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to decrease of its hepatic metabolism	Take into account	
N06BC01	CAFFEINE 	1886			S01AE03	CIPROFLOXACIN	2551			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to decrease of its hepatic metabolism	Take into account	
N06BC01	CAFFEINE 	1886			S02AA15	CIPROFLOXACIN	2551			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to decrease of its hepatic metabolism	Take into account	
N06BC01	CAFFEINE 	1886			S03AA07	CIPROFLOXACIN	2551			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to decrease of its hepatic metabolism	Take into account	
V04CG30	CAFFEINE 	1886			J01MA02	CIPROFLOXACIN	2551			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to decrease of its hepatic metabolism	Take into account	
V04CG30	CAFFEINE 	1886			S01AE03	CIPROFLOXACIN	2551			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to decrease of its hepatic metabolism	Take into account	
V04CG30	CAFFEINE 	1886			S02AA15	CIPROFLOXACIN	2551			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to decrease of its hepatic metabolism	Take into account	
V04CG30	CAFFEINE 	1886			S03AA07	CIPROFLOXACIN	2551			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to decrease of its hepatic metabolism	Take into account	
N06BC01	CAFFEINE 	1886			B01AC07	DIPYRIDAMOLE	3521			ANSM	105-CAFFEINE.html	With dipyridamole by injection: reduction of the vasodilator effect of the dipyridamole by the caffeine	Precaution for use	Interrupt a caffeine based treatment at least 5 days before myocardial perfusion imaging with the dipyridamole and avoid consuming coffee, tea, chocolate, or cola during the 24 hours that precede the test.
V04CG30	CAFFEINE 	1886			B01AC07	DIPYRIDAMOLE	3521			ANSM	105-CAFFEINE.html	With dipyridamole by injection: reduction of the vasodilator effect of the dipyridamole by the caffeine	Precaution for use	Interrupt a caffeine based treatment at least 5 days before myocardial perfusion imaging with the dipyridamole and avoid consuming coffee, tea, chocolate, or cola during the 24 hours that precede the test.
N06BC01	CAFFEINE 	1886			J01MA04	ENOXACIN	3925			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, which can lead to agitation and hallucinations, due to decrease of its hepatic metabolism	Not recommended	
V04CG30	CAFFEINE 	1886			J01MA04	ENOXACIN	3925			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, which can lead to agitation and hallucinations, due to decrease of its hepatic metabolism	Not recommended	
N06BC01	CAFFEINE 	1886			D11AX04	LITHIUM	6448			ANSM	105-CAFFEINE.html	In case of sudden discontinuation of consumption of coffee or of medications containing caffeine, risk of increase of the lithemia	Take into account	
V04CG30	CAFFEINE 	1886			D11AX04	LITHIUM	6448			ANSM	105-CAFFEINE.html	In case of sudden discontinuation of consumption of coffee or of medications containing caffeine, risk of increase of the lithemia	Take into account	
N06BC01	CAFFEINE 	1886			C01BB02	MEXILETINE	6926			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to inhibition of its hepatic metabolism by the mexiletine	Take into account	
V04CG30	CAFFEINE 	1886			C01BB02	MEXILETINE	6926			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to inhibition of its hepatic metabolism by the mexiletine	Take into account	
N06BC01	CAFFEINE 	1886			J01MA06	NORFLOXACINE	7517			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to decrease of the hepatic metabolism of the caffeine	Take into account	
N06BC01	CAFFEINE 	1886			S01AE02	NORFLOXACINE	7517			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to decrease of the hepatic metabolism of the caffeine	Take into account	
V04CG30	CAFFEINE 	1886			J01MA06	NORFLOXACINE	7517			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to decrease of the hepatic metabolism of the caffeine	Take into account	
V04CG30	CAFFEINE 	1886			S01AE02	NORFLOXACINE	7517			ANSM	105-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to decrease of the hepatic metabolism of the caffeine	Take into account	
N06BC01	CAFFEINE 	1886			N03AX17	STIRIPENTOL	37119			ANSM	105-CAFFEINE.html	Possible increase of the plasma concentrations of the caffeine, with risk of overdose, due to inhibition of its hepatic metabolism	Precaution for use	Clinical monitoring and possible adjustment of the dosage of caffeine.
V04CG30	CAFFEINE 	1886			N03AX17	STIRIPENTOL	37119			ANSM	105-CAFFEINE.html	Possible increase of the plasma concentrations of the caffeine, with risk of overdose, due to inhibition of its hepatic metabolism	Precaution for use	Clinical monitoring and possible adjustment of the dosage of caffeine.
H05BA	CALCITONIN	36118			D11AX04	LITHIUM	6448			ANSM	106-CALCITONIN.html	Risk of reduction of the effectiveness of the lithium due to increase of its renal elimination by the calcitonin	Precaution for use	Regular clinical monitoring and laboratory tests, especially at the beginning of the administration of the two substances together.
H05BA03	CALCITONIN	36118			D11AX04	LITHIUM	6448			ANSM	106-CALCITONIN.html	Risk of reduction of the effectiveness of the lithium due to increase of its renal elimination by the calcitonin	Precaution for use	Regular clinical monitoring and laboratory tests, especially at the beginning of the administration of the two substances together.
H05BA02	CALCITONIN	36118			D11AX04	LITHIUM	6448			ANSM	106-CALCITONIN.html	Risk of reduction of the effectiveness of the lithium due to increase of its renal elimination by the calcitonin	Precaution for use	Regular clinical monitoring and laboratory tests, especially at the beginning of the administration of the two substances together.
H05BA01	CALCITONIN	36118			D11AX04	LITHIUM	6448			ANSM	106-CALCITONIN.html	Risk of reduction of the effectiveness of the lithium due to increase of its renal elimination by the calcitonin	Precaution for use	Regular clinical monitoring and laboratory tests, especially at the beginning of the administration of the two substances together.
A12AA	CALCIUM	1428011						BISPHOSPHONATES	M05B-001	ANSM	107-CALCIUM.html	For calcium salts administered via oral route: decrease of the digestive absorption of the bisphosphonates	Precaution for use	Take the calcium salts and antacids at a different time from the bisphosphonates 
A12AA	CALCIUM	1428011						TETRACYCLINE ANTIBIOTICS	D06AA-J01AA	ANSM	107-CALCIUM.html	Decrease of the digestive absorption of the tetracycline antibiotics	Precaution for use	Take the calcium salts at a different time from the tetracycline antibiotics (more than two hours apart if possible).
A12AA	CALCIUM	1428011						DIGITALIS GLYCOSIDES	C01AA0	ANSM	107-CALCIUM.html	Risk of serious arrhythmias, even lethal ones with the calcium salts administered by IV route 	Contraindication	-with calcium salts via IV aside from parenteral supplementation
