Drug Interaction ID	Drug 1 Name	Drug 1 RxCUI	Drug 1 Class Name	Drug 1 Code	Drug 2 Name	Drug 2 RxCUI	Drug 2 Class Name	Drug 2 Code	Clinical Source	Source File	Description	Severity	Comment
17	BUPROPION	42347			DESIPRAMINE	3247			ANSM	104-BUPROPION.html	Risk of increase of the undesirable effects of the desipramine due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the desipramine during the treatment with the bupropion.
18	BUPROPION	42347			FLECAINIDE	4441			ANSM	104-BUPROPION.html	Risk of increase of the undesirable effects of the flecainide due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the flecainide during the treatment with the bupropion.
19	BUPROPION	42347					IRREVERSIBLE MONOAMINE OXIDASE INHIBITORS (MAOI)	N06AF0	ANSM	104-BUPROPION.html	Risk of hypertensive crises. From the fact of the length of action of the MAOI, this interaction is still theoretically possible two weeks after it is stopped	CONTRAINDICATION	
20	BUPROPION	42347					REVERSIBLE MAOI-A, INCLUDING LINEZOLIDE AND METHYLENE BLUE	NO6AG-001	ANSM	104-BUPROPION.html	Risk of hypertensive crises	CONTRAINDICATION	
21	BUPROPION	42347					MAOI-B	N04BD0-001	ANSM	104-BUPROPION.html	Risk of hypertensive crises	CONTRAINDICATION	
22	BUPROPION	42347			MEQUITAZINE	29528			ANSM	104-BUPROPION.html	Risk of increase of the undesirable effects of the mequitazine, due to inhibition of its metabolism by the enzyme inhibitor	Not recommended	
23	BUPROPION	42347			METOPROLOL	6918			ANSM	104-BUPROPION.html	With the metoprolol used for heart failure: risk of increase of the undesirable effects of the metoprolol due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the metoprolol during the treatment with the bupropion
24	BUPROPION	42347			NORTRIPTYLINE	7531			ANSM	104-BUPROPION.html	Risk of increase of the undesirable effects of the nortriptyline due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the nortriptyline during the treatment with the bupropion.
25	BUPROPION	42347			PROPAFENONE	8754			ANSM	104-BUPROPION.html	Risk of increase of the undesirable effects of the propafenone due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the propafenone during the treatment with the bupropion.
26	BUPROPION	42347			TAMOXIFEN	10324			ANSM	104-BUPROPION.html	Risk of reduction of the effectiveness of the tamoxifen, due to inhibition of the formation of its active metabolite by the terbinafine [sic]	Not recommended	
27	BUPROPION	42347			TRAMADOL	10689			ANSM	104-BUPROPION.html	Increase of the plasma concentrations of the tramadol due to decrease of its hepatic metabolism by the bupropion. In addition, risk of convulsions due to addition of the effects of the two medications	Take into account	
28	BUPROPION	42347			VEMURAFENIB	1147220			ANSM	104-BUPROPION.html	Risk of decrease of the concentrations of the bupropion, with increase of its active metabolite and increased toxicity	Take into account	
29	BUSPIRONE	1827			DIAZEPAM	3322			ANSM	105-BUSPIRONE.html	Risk of increase of the undesirable effects of the buspirone	Take into account	
30	BUSPIRONE	1827			DILTIAZEM	3443			ANSM	105-BUSPIRONE.html	Increase of the plasma concentrations of the buspirone due to decrease of its hepatic metabolism by the diltiazem, with increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buspirone if necessary.
31	BUSPIRONE	1827			ERYTHROMYCIN	4053			ANSM	105-BUSPIRONE.html	Increase of the plasma concentrations of the buspirone due to decrease of its hepatic metabolism, with substantial increase of sedation	Not recommended	
32	BUSPIRONE	1827			ITRACONAZOLE	28031			ANSM	105-BUSPIRONE.html	Increase of the plasma concentrations of the buspirone due to decrease of its hepatic metabolism, with substantial increase of sedation	Not recommended	
33	BUSPIRONE	1827			GRAPEFRUIT (JUICE AND FRUIT)				ANSM	105-BUSPIRONE.html	Rick of increase of the undesirable effects of the buspirone due to decrease of its metabolism by the grapefruit	Take into account	
34	BUSPIRONE	1827			RIFAMPICIN	9384			ANSM	105-BUSPIRONE.html	Decrease of the plasma concentrations of the buspirone due to increase of its hepatic metabolism by the rifampicin	Precaution for use	Clinical monitoring and possible adjustment of the dosage of the buspirone during the treatment with rifampicin and after it is stopped.
35	BUSPIRONE	1827			VERAPAMIL	11170			ANSM	105-BUSPIRONE.html	Increase of the plasma concentrations of the buspirone due to decrease of its hepatic metabolism by the verapamil, with increase of its undesirable effects.	Precaution for use	Clinical monitoring and adjustment of the dosage of the buspirone if necessary.
36	BUSULFAN	1828			DEFERASIROX	614373			ANSM	106-BUSULFAN.html	Risk of increase of the toxicity of the busulfan due to decrease of its clearance by the deferasirox	Take into account	
37	BUSULFAN	1828			ITRACONAZOLE	28031			ANSM	106-BUSULFAN.html	With the busulfan in large doses: doubling of the concentrations of busulfan by the itraconazole	Not recommended	
38	BUSULFAN	1828			METRONIDAZOLE	6922			ANSM	106-BUSULFAN.html	With the busulfan in large doses: doubling of the concentrations of busulfan by the metronidazole	Not recommended	
39	CABAZITAXEL	996051					ENZYMATIC INDUCERS	N03-J05-001	ANSM	107-CABAZITAXEL.html	Decrease of the concentrations of the cytotoxic by increase of its metabolism by the inducer, with risk of lower effectiveness	Take into account	
40	CABAZITAXEL	996051					STRONG INHIBITORS OF CYP3A4	J02-J05	ANSM	107-CABAZITAXEL.html	Risk of increase of the undesirable dose dependent effects of the cabazitaxel due to inhibition of its metabolism by the enzymatic inducer	Precaution for use	Clinical monitoring and possible adjustment of the dosage of the cabazitaxel during the treatment with the enzymatic inhibitor.
41	CAFFEINE	1886			CIPROFLOXACIN	2551			ANSM	108-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to decrease of its hepatic metabolism	Take into account	
42	CAFFEINE	1886			DIPYRIDAMOLE	3521			ANSM	108-CAFFEINE.html	With the dipyridamole by injection: reduction of the vasodilator effect of the dipyridamole by the caffeine	Precaution for use	Interrupt a caffeine based treatment at least 5 days before myocardial perfusion imaging with the dipyridamole and avoid consuming coffee, tea, chocolate, or cola during the 24 hours that precede the test.
43	CAFFEINE	1886			ENOXACIN	3925			ANSM	108-CAFFEINE.html	Increase of the plasma concentrations of caffeine, which can lead to agitation and hallucinations, due to decrease of its hepatic metabolism	Not recommended	
44	CAFFEINE	1886			LITHIUM	6448			ANSM	108-CAFFEINE.html	In case of sudden discontinuation of consumption of coffee or of medications containing caffeine, risk of increase of the lithemia	Take into account	
45	CAFFEINE	1886			MEXILETINE	6926			ANSM	108-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to inhibition of its hepatic metabolism by the mexiletine	Take into account	
46	CAFFEINE	1886			NORFLOXACINE	7517			ANSM	108-CAFFEINE.html	Increase of the plasma concentrations of caffeine, due to decrease of the hepatic metabolism of the caffeine	Take into account	
47	CAFFEINE	1886			STIRIPENTOL	37119			ANSM	108-CAFFEINE.html	Possible increase of the plasma concentrations of the caffeine, with risk of overdose, due to inhibition of its hepatic metabolism	Precaution for use	Clinical monitoring and possible adjustment of the dosage of caffeine.
48	CALCITONIN	36118			LITHIUM	6448			ANSM	109-CALCITONIN.html	Risk of reduction of the effectiveness of the lithium due to increase of its renal elimination by the calcitonin	Precaution for use	Regular clinical and biological monitoring, especially at the beginning of the administration of the two substances together.
49	NICOTINIC ACID	446722			ALCOHOL (DRINK OR INGREDIENT)				ANSM	11-NICOTINIC-ACID.html	Risk of rash, redness, and heat linked to an increase of the vasodilator effect	Take into account	
50	CALCIUM	1428011					BISPHOSPHONATES	M05B-001	ANSM	110-CALCIUM.html	For the calcium salts administered via oral route: decrease of the digestive absorption of the bisphosphonates	Precaution for use	Take calcium salts and antacids at a different time from the bisphosphonates (from 30 minutes minimum to more than 2 hours apart, if possible, depending on the bisphosphonate).
51	CALCIUM	1428011					TETRACYCLINE ANTIBIOTICS	J01AA	ANSM	110-CALCIUM.html	Decrease of the digestive absorption of the tetracycline antibiotics	Precaution for use	Take the calcium salts at a different time from the tetracycline antibiotics (more than two hours apart if possible).
52	CALCIUM	1428011			DIGOXIN	3407			ANSM	110-CALCIUM.html	Risk of serious arrhythmias, even lethal ones, with the calcium salts administered by IV route.	Contraindication	-with the calcium salts via IV, except for parenteral supplementation
53	CALCIUM	1428011					THIAZIDE DIURETICS AND RELATED	C03-003	ANSM	110-CALCIUM.html	Risk of hypercalcemia due to decrease of the urinary elimination of the calcium.	Take into account	
54	CALCIUM	1428011			ESTRAMUSTINE	4089			ANSM	110-CALCIUM.html	Decrease of the digestive absorption of the estramustine	Precaution for use	Take the calcium salts at a different time from the estramustine (more than 2 hours apart, if possible).
55	CALCIUM	1428011			IRON	1431589			ANSM	110-CALCIUM.html	With the iron salts by oral route: decrease of the digestive absorption of the iron salts	Precaution for use	Take the iron salts at a different time from meals and in the absence of calcium.
56	CALCIUM	1428011					THYROID HORMONES	H03AA	ANSM	110-CALCIUM.html	Decrease of the absorption of the thyroid hormones	Precaution for use	Take the calcium salts at a different time from the thyroid hormones (more than 2 hours apart, if possible).
57	CALCIUM	1428011			STRONTIUM	81638			ANSM	110-CALCIUM.html	With the calcium salts administered by oral route: decrease of the digestive absorption of the strontium	Precaution for use	Take the strontium at a different time from the calcium salts (more than two hours apart, if possible).
58	CALCIUM	1428011			ZINC				ANSM	110-CALCIUM.html	Decrease of the digestive absorption of the zinc by the calcium	Precaution for use	Take the calcium salts at a different time from the zinc (more than 2 hours apart, if possible).
59	CANAKINUMAB	853491					ANTI-TNF ALPHA	4ABO	ANSM	111-CANAKINUMAB.html	Risk of increase of serious infections	Not recommended	
60	CARBAMAZEPINE	2002			ACETAZOLAMIDE	167			ANSM	112-CARBAMAZEPINE.html	Increase of the plasma concentrations of carbamazepine with signs of overdose.	Precaution for use	Clinical monitoring, and, if needed, testing of the plasma concentrations of carbamazepine and possible reduction of its dosage
61	CARBAMAZEPINE	2002			CIMETIDINE	2541			ANSM	112-CARBAMAZEPINE.html	With the cimetidine used in doses greater than or equal to 800 mg/day: at the beginning of treatment, increase of the plasma concentrations of carbamazepine due to inhibition of its hepatic metabolism by the cimetidine	Precaution for use	Clinical monitoring and possible reduction of the dosage of the carbamazepine, especially during the first days of treatment with the cimetidine
62	CARBAMAZEPINE	2002			CLARITHROMYCIN	21212			ANSM	112-CARBAMAZEPINE.html	Increase of the plasma concentrations of carbamazepine with signs of overdose, due to inhibition of its hepatic metabolism	Precaution for use	Clinical monitoring and possible reduction of the dosage of the carbamazepine.
63	CARBAMAZEPINE	2002			CLONAZEPAM	2598			ANSM	112-CARBAMAZEPINE.html	Increase of the plasma concentrations of the active metabolite of the carbamazepine. In addition, decrease of the plasma concentrations of the clonazepam due to increase of its hepatic metabolism by the carbamazepine	Precaution for use	Clinincal monitoring, plasma dosages, and possible adjustment of the dosages of the two anticonvulsants
64	CARBAMAZEPINE	2002			CLOZAPINE	2626			ANSM	112-CARBAMAZEPINE.html	Risk of increase of the serious hematological effects	Not recommended	
65	CARBAMAZEPINE	2002			DANAZOL	3102			ANSM	112-CARBAMAZEPINE.html	Increase of the plasma concentrations of carbamazepine, with signs of overdose	Precaution for use	Clinical monitoring and possible reduction of the dosage of the carbamazepine.
66	CARBAMAZEPINE	2002			DIGOXIN	3407			ANSM	112-CARBAMAZEPINE.html	Increase of the plasma concentrations of carbamazepine and decrease of the digoxinemia	Precaution for use	Exercise caution in the interpretation of the plasma concentrations.
67	CARBAMAZEPINE	2002					POTASSIUM LOWERING DIURETICS	C03	ANSM	112-CARBAMAZEPINE.html	Risk of symptomatic hyponatremia	Precaution for use	Clinical and biological monitoring. If possible, use another class of diuretics.
68	CARBAMAZEPINE	2002			ERYTHROMYCIN	4053			ANSM	112-CARBAMAZEPINE.html	Increase of the plasma concentrations of carbamazepine with signs of overdose, due to inhibition of its hepatic metabolism	Not recommended	
69	CARBAMAZEPINE	2002			ETHOSUXIMIDE	4135			ANSM	112-CARBAMAZEPINE.html	Decrease of the plasma concentrations of ethosuximide	Precaution for use	Clinical monitoring, plasma dosage of the ethosuximide and possible increase of its dosage.
70	CARBAMAZEPINE	2002			FELBAMATE	24812			ANSM	112-CARBAMAZEPINE.html	Increase of the plasma concentrations of the active metabolite of the carbamazepine. In addition, decrease of the plasma concentrations of felbamate due to increase of its hepatic metabolism by the carbamazepine	Precaution for use	Clinical monitoring, plasma dosages, and possible adjustment of the dosages of the two anticonvulsants.
71	CARBAMAZEPINE	2002			FLUCONAZOLE	4450			ANSM	112-CARBAMAZEPINE.html	For doses of fluconazole >=200 mg per day: possible increase of the undesirable effects of the carbamazepine	Precaution for use	Adjust the dosage of carbamazepine, during the antifungal treatmentand after it is stopped.
72	CARBAMAZEPINE	2002			FLUOXETINE	4493			ANSM	112-CARBAMAZEPINE.html	Increase of the plasma concentrations of carbamazepine with signs of overdose	Precaution for use	Clinical monitoring, testing of the plasma concentrations of carbamazepine, and possible reduction of the dosage of the carbamazepine during the treatment with the serotoninergic antidepressant and after it is stopped.
73	CARBAMAZEPINE	2002			FLUVOXAMINE	42355			ANSM	112-CARBAMAZEPINE.html	Increase of the plasma concentrations of carbamazepine with signs of overdose	Precaution for use	Clinical monitoring, testing of the plasma concentrations of carbamazepine, and possible reduction of the dosage of the carbamazepine during the treatment with the serotoninergic antidepressant and after it is stopped.
74	CARBAMAZEPINE	2002			ISONIAZID	6038			ANSM	112-CARBAMAZEPINE.html	Increase of the plasma concentrations of carbamazepine with signs of overdose due to inhibition of its hepatic metabolism	Not recommended	
75	CARBAMAZEPINE	2002			JOSAMYCIN	6084			ANSM	112-CARBAMAZEPINE.html	Increase of the plasma concentrations of carbamazepine with signs of overdose, due to decrease of its hepatic metabolism	Precaution for use	Clinical monitoring and. if needed, plasma dosage and possible reduction of the dosage of the carbamazepine.
76	CARBAMAZEPINE	2002			LAMOTRIGINE	28439			ANSM	112-CARBAMAZEPINE.html	Risk of increase of the neurological effects (vertigo, ataxia, diplopia) of the carbamazepine when the lamotrigine is introduced	Precaution for use	Clinical monitoring and possible reduction of the dosage of the carbamazepine.
77	CARBAMAZEPINE	2002			LITHIUM	6448			ANSM	112-CARBAMAZEPINE.html	Risk of neurotoxicity manifesting as disorders of the cerebellum, confusion, drowsiness, ataxia. These disorders are reversible when the treatment with lithium is stopped.	Not recommended	
78	CARBAMAZEPINE	2002			ST JOHN'S WORT	258326			ANSM	112-CARBAMAZEPINE.html	Risk of decrease of the plasma concentrations and of the effectiveness of the carbamazepine	Not recommended	
79	CARBAMAZEPINE	2002			NINTEDANIB	1592737			ANSM	112-CARBAMAZEPINE.html	Decrease of the plasma concentrations of nintedanib due to decrease of its absorption by the carbamazepine	Precaution for use	Clinical monitoring during the administration of these substances together.
80	CARBAMAZEPINE	2002			OLANZAPINE	61381			ANSM	112-CARBAMAZEPINE.html	Risk of decrease of the plasma concentrations of the olanzapine and of its therapeutic effectiveness, due to increase of its hepatic metabolism by the carbamazepine	Precaution for use	Clinical monitoring, and if needed, adjustment of the dosage of the olanzapine.
81	CARBAMAZEPINE	2002			GRAPEFRUIT (JUICE AND FRUIT)				ANSM	112-CARBAMAZEPINE.html	Increase of the plasma concentrations of carbamazepine, with risk of overdose, due to inhibition of its metabolism by the grapefruit	Not recommended	
82	CARBAMAZEPINE	2002			PAROXETINE	32937			ANSM	112-CARBAMAZEPINE.html	Increase of the plasma concentrations of carbamazepine with signs of overdose	Precaution for use	Clinical monitoring, testing of the plasma concentrations of carbamazepine and possible reduction of the dosage of the carbamazepine during the treatment with the serotoninergic antidepressant and after it is stopped.
83	CARBAMAZEPINE	2002					PHENOBARBITAL (AND, BY EXTRAPOLATION, PRIMIDONE)	N03AA-001	ANSM	112-CARBAMAZEPINE.html	Progressive decrease of the plasma concentrations of carbamazepine and of its active metabolite without apparent modification of its anticonvulsive effectiveness	Take into account	Use prudence with respect to the interpretation of the plasma concentrations.
84	CARBAMAZEPINE	2002					PHENYTOIN (AND, BY EXTRAPOLATION, FOSPHENYTOIN)	N03AB	ANSM	112-CARBAMAZEPINE.html	Reciprocal reduction of the plasma concentrations (increase of the metabolism without apparent modification of the anticonvulsive effectiveness)	Take into account	Use prudence in the interpretation of the plasma concentrations.
85	CARBAMAZEPINE	2002			RIFAMPICIN	9384			ANSM	112-CARBAMAZEPINE.html	Decrease of the plasma concentrations and of the effectiveness of the carbamazepine due to increase of its hepatic metabolism by the rifampicin	Precaution for use	Clinical monitoring, testing of the plasma concentrations, and adjustment of the dosage of the carbamazepine during the treatment with the refampicin and after it is stopped.
86	CARBAMAZEPINE	2002			RISPERIDONE	35636			ANSM	112-CARBAMAZEPINE.html	Risk of decrease of the active fraction of the risperidone and of its therapeutic effectiveness due to increase of its hepatic metabolism by the carbamazepine	Precaution for use	Clinical monitoring, and, if needed, adjustment of the dosage of the risperidone.
87	CARBAMAZEPINE	2002			SIMVASTATIN	36567			ANSM	112-CARBAMAZEPINE.html	Large decrease of the plasma concentrations of simvastatin, due to increase of its hepatic metabolism	Not recommended	
88	CARBAMAZEPINE	2002			TOPIRAMATE	38404			ANSM	112-CARBAMAZEPINE.html	Decrease of the concentrations of the topiramate with risk of lower effectiveness, due to increase of its hepatic metabolism by the carbamazepine	Precaution for use	Clinical monitoring, and if needed, adjustment of the dosage of the topiramate during the treatment with the carbamazepine and after it is stopped.
89	CARBAMAZEPINE	2002					VALPROIC (ACID) AND, BY EXTRAPOLATION, VALPROMIDE	N03AG0	ANSM	112-CARBAMAZEPINE.html	Increase of the plasma concentrations of the active metabolite of the carbamazepine with signs of overdose. In addition, decrease of the plasma concentrations of valproic acid due to increase of its hepatic metabolism by the carbamazepine	Precaution for use	Clinical monitoring, plasma dosages, and adjustment of the dosage of the two anticonvulsants.
90	CARMUSTINE	2105			CIMETIDINE	2541			ANSM	113-CARMUSTINE.html	With the cimetidine used in doses greater than or equal to 800 mg/day: increased bone marrow toxicity (inhibition of the metabolism of the carmustine)	Not recommended	
91	CARVEDILOL	20352			CIMETIDINE	2541			ANSM	114-CARVEDILOL.html	With the cimetidine used in doses greater than or equal to 800 mg/day: increase of the concentrations of the carvedilol, which can be dangerous in the case of treatment for heart failure due to decrease of its hepatic metabolism by the cimetidine	CONTRAINDICATION	Use another gastric H2 receptor antagonist.
92	CARVEDILOL	20352			RIFAMPICIN	9384			ANSM	114-CARVEDILOL.html	Large decrease of the plasma concentrations of the carvedilol, due to increase of its hepatic metabolism by the rifampicin	Precaution for use	Regular clinical monitoring and adjustment of the dosage of the carvedilol during the treatment with the rifampicin. When the rifampicin is stopped, risk of large increase of the plasma concentrations of carvedilol imposing a reduction of the dosage and strict clinical monitoring.
93	SODIUM POLYSTYRENE CALCIUM				SORBITOL	9945			ANSM	115-SODIUM POLYSTYRENE CALCIUM.html	With the resin administered by oral and rectal routes: risk of colonic necrosis, possibly fatal	CONTRAINDICATION	
94	SODIUM POLYSTYRENE SULFONATE	56512			SORBITOL	9945			ANSM	116-SODIUM POLYSTYRENE SULFONATE.html	With the resin administered by oral and rectal routes: risk of colonic necrosis, possibly fatal	Not recommended	
95	CEFALOTIN	2236					AMINOGLYCOSIDES	J01GB-001	ANSM	117-CEFALOTIN.html	Increase of the nephrotoxicity of the aminoglycosides by the cefalotin is under discussion	Precaution for use	Monitoring of renal function.
96	CEFAMANDOLE	2178					VITAMIN K ANTAGONISTS	B01AA-001	ANSM	118-CEFAMANDOLE.html	Increase of the effect of the vitamin K antagonist and of the risk of hemorrhage	Precaution for use	More frequent testing of the INR. Possible adjustment of the dosage of the vitamin K antagonist during the treatment with the cephalosporin and after it is stopped.
97	CEFOPERAZONE	2184					VITAMIN K ANTAGONISTS	B01AA-001	ANSM	119-CEFOPERAZONE.html	Increase of the effect of the vitamin K antagonist and of the risk of hemorrhage	Precaution for use	More frequent testing of the INR. Possible adjustment of the dosage of the vitamin K antagonist during the treatment with the cephalosporin and after it is stopped.
98			BILE ACIDS	A05AA-001	CICLOSPORIN	3008			ANSM	12-BILE-ACIDS.html	Risk of variation of the blood concentrations of ciclosporin	Take into account	
99	CEFOTETAN	2187					VITAMIN K ANTAGONISTS	B01AA-001	ANSM	120-CEFOTETAN.html	Increase of the effect of the vitamin K antagonist and of the risk of hemorrhage	Precaution for use	More frequent testing of the INR. Possible adjustment of the dosage of the vitamin K antagonist during the treatment with the cephalosporin and after it is stopped.
100	CEFTRIAXONE	2193					VITAMIN K ANTAGONISTS	B01AA-001	ANSM	121-CEFTRIAXONE.html	Increase of the effect of the vitamin K antagonist and of the risk of hemorrhage	Precaution for use	More frequent testing of the INR. Possible adjustment of the dosage of the vitamin K antagonist during the treatment with the cephalosporin and after it is stopped.
101	CHLORDIAZEPOXIDE	2356			CIMETIDINE	2541			ANSM	122-CHLORDIAZEPOXIDE.html	With the cimetidine used in doses greater than or equal to 800 mg/day: accrued risk of drowsiness	Precaution for use	Warn patients of the increase of risk when driving an automobile or using machinery.
102	CHLOROQUINE	2393			CICLOSPORIN	3008			ANSM	123-CHLOROQUINE.html	Risk of increase of the blood concentrations of ciclosporin and of the creatinemia	Precaution for use	Blood concentration dosage of ciclosporin, testing of the renal function, and adjustment of the dosage during the administration of the substances together and after the chloroquine is stopped.
103	CHLOROQUINE	2393			CIMETIDINE	2541			ANSM	123-CHLOROQUINE.html	Slowing of the elimination of the chloroquine and risk of overdose	Take into account	
104	CHLOROQUINE	2393					THYROID HORMONES	H03AA	ANSM	123-CHLOROQUINE.html	Risk of clinical hypothyroidism in patients taking thyroid hormones in substitution therapy	Precaution for use	Monitoring of serum concentrations of T3 and T4 and adjustment, if needed, of the dosage of the thyroid hormone during the treatment with the antimalarial and after it is stopped.
105	CHLORPROMAZINE	2403			INSULIN				ANSM	124-CHLORPROMAZINE.html	With strong doses (100 mg per day of chlorpromazine): elevation of glycemia (decrease of the freeing of insulin)	Precaution for use	Inform the patient and reinforce self monitoring of blood glucose. Possible adjustment of the dosage of the insulin durin the treatment with the neuroleptic and after it is stopped.
106	CHLORPROMAZINE						BLOOD GLUCOSE LOWERING SULFONAMIDES	A10BB	ANSM	124-CHLORPROMAZINE.html	With strong doses (100 mg per day of chlorpromazine): elevation of glycemia (decrease of the freeing of insulin)	Precaution for use	Inform the patient and reinforce self monitoring of blood glucose. Possible adjustment of the dosage of the insulin durin the treatment with the neuroleptic and after it is stopped.
107	CICLOSPORIN	3008					BILE ACIDS	A05AA-001	ANSM	125-CICLOSPORIN.html	Risk of variation of the blood concentrations of ciclosporin	Take into account	
108	CICLOSPORIN	3008			AFATINIB	1430438			ANSM	125-CICLOSPORIN.html	Increase of the plasma concentrations of afatinib due to increase of its absorption by the ciclosporin	Precaution for use	It is recommended that the ciclosporin be administered as far from the afatinib as possible, preferably an interval of 6 to 12 hours away from the administration of the dose of afatinib.
109	CICLOSPORIN	3008			ALISKIREN	325646			ANSM	125-CICLOSPORIN.html	Increase by nearly 5 times the plasma concentrations of aliskiren and increase of the risk of its undesirable effects.	CONTRAINDICATION	
110	CICLOSPORIN	3008			AMBRISENTAN	358274			ANSM	125-CICLOSPORIN.html	Doubling of the concentrations of ambrisentan, with increase of the vasodilator effect (severe headaches )	Take into account	
111	CICLOSPORIN	3008					AMINOGLYCOSIDES	J01GB-001	ANSM	125-CICLOSPORIN.html	Larger increase of the creatinemia than with ciclosporin alone, with increase of the nephrotoxic risk	Take into account	
