Drug Name	RxNorm	Source File	Clinical Source	Class Name	Class Code
Tapentadol 	787390	3	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
Tramadol	10689	3	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
Epinephrine	3992	4	ANSM	ALPHA AND BETA SYMPATHOMIMETICS (IM AND IV ROUTES)	C01CA
Dopamine	3628	4	ANSM	ALPHA AND BETA SYMPATHOMIMETICS (IM AND IV ROUTES)	C01CA
Norepinephrine	7512	4	ANSM	ALPHA AND BETA SYMPATHOMIMETICS (IM AND IV ROUTES)	C01CA
Alfuzosin	17300	5	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
Doxazosin	49276	5	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
Prazosin	8629	5	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
Silodosin	720825	5	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
Tamsulosin	77492	5	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
Terazosin	37798	5	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
Etilefrine	4169	6	ANSM	ALPHA-SYMPATHOMIMETICS-(ORAL-AND/OR-NASAL)	R01AA
Midodrine	6963	6	ANSM	ALPHA-SYMPATHOMIMETICS-(ORAL-AND/OR-NASAL)	R01AA
Naphazoline	7247	6	ANSM	ALPHA-SYMPATHOMIMETICS-(ORAL-AND/OR-NASAL)	R01AA
Oxymetazoline	7812	6	ANSM	ALPHA-SYMPATHOMIMETICS-(ORAL-AND/OR-NASAL)	R01AA
Phenylephrine	8163	6	ANSM	ALPHA-SYMPATHOMIMETICS-(ORAL-AND/OR-NASAL)	R01AA
Synephrine	10288	6	ANSM	ALPHA-SYMPATHOMIMETICS-(ORAL-AND/OR-NASAL)	R01AA
Tetryzoline	37935	6	ANSM	ALPHA-SYMPATHOMIMETICS-(ORAL-AND/OR-NASAL)	R01AA
Tuaminoheptane	179753	6	ANSM	ALPHA-SYMPATHOMIMETICS-(ORAL-AND/OR-NASAL)	R01AA
Tymazoline	236191	6	ANSM	ALPHA-SYMPATHOMIMETICS-(ORAL-AND/OR-NASAL)	R01AA
Aluminum Hydroxide / magnesium carbonate	17384	7	ANSM	ALUMINUM (SALTS)	A02AD0-001
Hydrotalcite	27221	7	ANSM	ALUMINUM (SALTS)	A02AD0-001
Magaldrate	29151	7	ANSM	ALUMINUM (SALTS)	A02AD0-001
Amikacin 	641	8	ANSM	AMINOGLYCOSIDES	J01GB-001
Dibekacin 	3328	8	ANSM	AMINOGLYCOSIDES	J01GB-001
Gentamicin	142438	8	ANSM	AMINOGLYCOSIDES	J01GB-001
Isepamicin	51522	8	ANSM	AMINOGLYCOSIDES	J01GB-001
Kanamycin 	6099	8	ANSM	AMINOGLYCOSIDES	J01GB-001
Netilmicin	7337	8	ANSM	AMINOGLYCOSIDES	J01GB-001
Streptomycin 	10109	8	ANSM	AMINOGLYCOSIDES	J01GB-001
Tobramycin	10627	8	ANSM	AMINOGLYCOSIDES	J01GB-001
Amoxicillin	723	9	ANSM	AMINOPENICILLINS	J01CA
Ampicillin	733	9	ANSM	AMINOPENICILLINS	J01CA
Bacampicillin	18687	9	ANSM	AMINOPENICILLINS	J01CA
Pivampicillin	8372	9	ANSM	AMINOPENICILLINS	J01CA
Ticarcillin	10591	9	ANSM	AMINOPENICILLINS	J01CA
Amprenavir	228656	10	ANSM	AMPRENAVIR (AND, BY EXTRAPOLATION, FOSAMPRENAVIR)	J05AE0-001
Fosamprenavir	358262	10	ANSM	AMPRENAVIR (AND, BY EXTRAPOLATION, FOSAMPRENAVIR)	J05AE0-001
Androstanolone	10031	11	ANSM	ANDROGENS	A14AA0
Norethandrolone	7513	11	ANSM	ANDROGENS	A14AA0
Testosterone	10379	11	ANSM	ANDROGENS	A14AA0
Benazepril	18867	12	ANSM	ANGIOTENSIN CONVERTING ENZYME INHIBITORS (ACE INHIBITORS)	C09AA
Captopril	1998	12	ANSM	ANGIOTENSIN CONVERTING ENZYME INHIBITORS (ACE INHIBITORS)	C09AA
Cilazapril	21102	12	ANSM	ANGIOTENSIN CONVERTING ENZYME INHIBITORS (ACE INHIBITORS)	C09AA
Enalapril	3827	12	ANSM	ANGIOTENSIN CONVERTING ENZYME INHIBITORS (ACE INHIBITORS)	C09AA
Fosinopril	50166	12	ANSM	ANGIOTENSIN CONVERTING ENZYME INHIBITORS (ACE INHIBITORS)	C09AA
Imidapril	60245	12	ANSM	ANGIOTENSIN CONVERTING ENZYME INHIBITORS (ACE INHIBITORS)	C09AA
Lisinopril	29046	12	ANSM	ANGIOTENSIN CONVERTING ENZYME INHIBITORS (ACE INHIBITORS)	C09AA
Moexipril	30131	12	ANSM	ANGIOTENSIN CONVERTING ENZYME INHIBITORS (ACE INHIBITORS)	C09AA
Perindopril tert-butylamine	54552	12	ANSM	ANGIOTENSIN CONVERTING ENZYME INHIBITORS (ACE INHIBITORS)	C09AA
Quinapril	35208	12	ANSM	ANGIOTENSIN CONVERTING ENZYME INHIBITORS (ACE INHIBITORS)	C09AA
Ramipril	35296	12	ANSM	ANGIOTENSIN CONVERTING ENZYME INHIBITORS (ACE INHIBITORS)	C09AA
Spirapril	36908	12	ANSM	ANGIOTENSIN CONVERTING ENZYME INHIBITORS (ACE INHIBITORS)	C09AA
Trandolapril	38454	12	ANSM	ANGIOTENSIN CONVERTING ENZYME INHIBITORS (ACE INHIBITORS)	C09AA
Zofenopril	39990	12	ANSM	ANGIOTENSIN CONVERTING ENZYME INHIBITORS (ACE INHIBITORS)	C09AA
Azilsartan	1091643	13	ANSM	ANGIOTENSIN II RECEPTOR ANTAGONISTS or ANGIOTENSIN RECEPTOR BLOCKERS (ARBs)	C09CA0-001
Candesartan cilexetil	214354	13	ANSM	ANGIOTENSIN II RECEPTOR ANTAGONISTS or ANGIOTENSIN RECEPTOR BLOCKERS (ARBs)	C09CA0-001
Eprosartan	83515	13	ANSM	ANGIOTENSIN II RECEPTOR ANTAGONISTS or ANGIOTENSIN RECEPTOR BLOCKERS (ARBs)	C09CA0-001
Irbesartan	83818	13	ANSM	ANGIOTENSIN II RECEPTOR ANTAGONISTS or ANGIOTENSIN RECEPTOR BLOCKERS (ARBs)	C09CA0-001
Losartan	52175	13	ANSM	ANGIOTENSIN II RECEPTOR ANTAGONISTS or ANGIOTENSIN RECEPTOR BLOCKERS (ARBs)	C09CA0-001
Olmesartan	321064	13	ANSM	ANGIOTENSIN II RECEPTOR ANTAGONISTS or ANGIOTENSIN RECEPTOR BLOCKERS (ARBs)	C09CA0-001
Telmisartan	73494	13	ANSM	ANGIOTENSIN II RECEPTOR ANTAGONISTS or ANGIOTENSIN RECEPTOR BLOCKERS (ARBs)	C09CA0-001
Valsartan	69749	13	ANSM	ANGIOTENSIN II RECEPTOR ANTAGONISTS or ANGIOTENSIN RECEPTOR BLOCKERS (ARBs)	C09CA0-001
Cefamandole	2178	14	ANSM	ANTABUSE (REACTION)	123-ANT
Disulfiram	3554	14	ANSM	ANTABUSE (REACTION)	123-ANT
Furazolidone 	4601	14	ANSM	ANTABUSE (REACTION)	123-ANT
Glibenclamide	4815	14	ANSM	ANTABUSE (REACTION)	123-ANT
Glipizide	4821	14	ANSM	ANTABUSE (REACTION)	123-ANT
Griseofulvin	5021	14	ANSM	ANTABUSE (REACTION)	123-ANT
Ketoconazole	6135	14	ANSM	ANTABUSE (REACTION)	123-ANT
Metronidazole	6922	14	ANSM	ANTABUSE (REACTION)	123-ANT
Ornidazole	7701	14	ANSM	ANTABUSE (REACTION)	123-ANT
Procarbazine	8702	14	ANSM	ANTABUSE (REACTION)	123-ANT
Secnidazole 	36314	14	ANSM	ANTABUSE (REACTION)	123-ANT
Tenonitrozole	236186	14	ANSM	ANTABUSE (REACTION)	123-ANT
Tinidazole 	10612	14	ANSM	ANTABUSE (REACTION)	123-ANT
Tolbutamide	10635	14	ANSM	ANTABUSE (REACTION)	123-ANT
Antilymphocyte immunoglobulin (horse)	1431182	21	ANSM	ANTI-LYMPHOCYTE GLOBULINS	L04AA0-001
Rabbit anti-human T-lymphocyte globulin	107044	21	ANSM	ANTI-LYMPHOCYTE GLOBULINS	L04AA0-001
adalimumab	327361	26	ANSM	ANTI-TNF ALPHA	LO4AB
certolizumab	709271	26	ANSM	ANTI-TNF ALPHA	LO4AB
etanercept	214555	26	ANSM	ANTI-TNF ALPHA	LO4AB
olimumab	819300	26	ANSM	ANTI-TNF ALPHA	LO4AB
infliximab	191831	26	ANSM	ANTI-TNF ALPHA	LO4AB
Amiodarone	703	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Cibenzoline	21099	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Diltiazem 	3443	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Disopyramide	3541	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Dofetilide	49247	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Dronedarone	233698	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Flecainide	4441	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Hydroquinidine	27220	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Ibutilide	41289	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Lidocaine	6387	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Mexiletine	6926	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Propafenone	8754	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Quinidine	9068	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Sotalol	9947	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Verapamil	11170	15	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
Acetylsulfafurazol		16	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
Sulfacetamide	10169	16	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
Sulfadiazine	10171	16	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
Sulfadoxine	10173	16	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
Sulfafurazole 	10207	16	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
Sulfaguanidine	10174	16	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
Sulfamethizole 	10179	16	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
Sulfamethoxazole	10180	16	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
Sulfamoxole	10183	16	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
Carbamazepine	2002	17	ANSM	ANTICONVULSANT ENZYMATIC INDUCERS	N03A-001
Fosphenytoin	72236	17	ANSM	ANTICONVULSANT ENZYMATIC INDUCERS	N03A-001
Phenobarbital	8134	17	ANSM	ANTICONVULSANT ENZYMATIC INDUCERS	N03A-001
Phenytoin	8183	17	ANSM	ANTICONVULSANT ENZYMATIC INDUCERS	N03A-001
Primidone	8691	17	ANSM	ANTICONVULSANT ENZYMATIC INDUCERS	N03A-001
Alizapride	17311	18	ANSM	ANTIEMITIC NEUROLEPTICS	A03FA-001
Metoclopramide	6915	18	ANSM	ANTIEMITIC NEUROLEPTICS	A03FA-001
Doxazosin	49276	19	ANSM	ANTIHYPERTENSIVE ALPHA BLOCKERS	C02CA0-001
Prazosin	8629	19	ANSM	ANTIHYPERTENSIVE ALPHA BLOCKERS	C02CA0-001
Urapidil	39230	19	ANSM	ANTIHYPERTENSIVE ALPHA BLOCKERS	C02CA0-001
Acebutolol 	149	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Aliskiren	325646	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Altizide	17599	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Amiloride	644	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Amlodipine	17767	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Atenolol	1202	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Azilsartan	1091643	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Barnidipine 	39879	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Befunolol	18849	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Benazepril	18867	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Bendroflumethiazide	1369	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Betaxolol	1520	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Bisoprolol	19484	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Bumetanide	1808	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Candesartan cilexetil	214354	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Potassium canrenoate	618970	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Captopril	1998	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Carteolol	2116	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Celiprolol	20498	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Chlortalidone		20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Cicletanine	21914	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Cilazapril	21102	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Clevidipine	233603	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Clonidine	2599	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Clopamide	2603	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Cyclothiazide	22033	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Dihydralazine	3409	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Diltiazem 	3443	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Enalapril	3827	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Eplerenone	298869	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Eprosartan	83515	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Felodipine 	4316	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Fosinopril	50166	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Furosemide	460	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Hydrochlorothiazide	5487	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Imidapril	60245	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Indapamide	5764	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Irbesartan	83818	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Isradipine 	33910	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Labetalol	6185	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Lacidipine 	28382	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Lercanidipine	135056	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Levobunolol	1813	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Lisinopril	29046	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Losartan	52175	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Manidipine 	29275	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Methyclothiazide	6860	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Methyldopa	6876	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Metipranolol	10824	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Metoprolol	6918	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Moexipril	30131	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Moxonidin	30257	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Nadolol	7226	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Nadoxolol	31462	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Nebivolol	31555	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Nicardipine	7396	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Nifedipine	7417	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Nimodipine	7426	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Nitrendipine 	7441	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Olmesartan	321064	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Oxprenolol	7801	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Perindopril tert-butylamine		20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Pindolol	8332	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Piretanide	33770	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Propranolol	8787	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Quinapril	35208	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Ramipril	35296	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Rilmenidine	55679	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Sotalol	9947	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Spirapril	36908	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Spironolactone	9997	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Telmisartan	73494	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Tertatolol	37840	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Timolol	10600	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Torasemide	38413	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Trandolapril	38454	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Triamterene	10763	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Valsartan	69749	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Verapamil	11170	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Xipamide	11371	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Zofenopril	39990	20	ANSM	ANTIHYPERTENSIVES EXCEPT ALPHA BLOCKERS	C0-001
Chloroquine	2393	22	ANSM	ANTIPARASITICS THAT TEND TO INDUCE TORSADES DE POINTES	P01B-001
Halofantrine	50749	22	ANSM	ANTIPARASITICS THAT TEND TO INDUCE TORSADES DE POINTES	P01B-001
Lumefantrine	847728	22	ANSM	ANTIPARASITICS THAT TEND TO INDUCE TORSADES DE POINTES	P01B-001
Pentamidine	7994	22	ANSM	ANTIPARASITICS THAT TEND TO INDUCE TORSADES DE POINTES	P01B-001
Biperiden	1589	23	ANSM	ANTIPARKINSONIAN ANTICHOLINERGICS	N04AA-001
Trihexyphenidyl	10811	23	ANSM	ANTIPARKINSONIAN ANTICHOLINERGICS	N04AA-001
Tropatepine	38876	23	ANSM	ANTIPARKINSONIAN ANTICHOLINERGICS	N04AA-001
Amantadine 	620	24	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
Apomorphine	1043	24	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
Bromocriptine 	1760	24	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
Entacapone 	60307	24	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
Lisuride	6446	24	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
Pergolide	8047	24	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
Piribedil 	8353	24	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
Pramipexole	746741	24	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
Rasagiline 	134748	24	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
Ropinirole 	72302	24	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
Rotigotine	616739	24	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
Selegiline	9639	24	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
Tolcapone	72937	24	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
Amisulpride	46303	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Aripiprazole	89013	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Asenapine	784649	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Carpipramine	20342	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Chlorpromazine 	2403	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Cyamemazine	21877	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Droperidol	3648	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Flupentixol	4495	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Fluphenazine	4496	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Haloperidol	5093	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Levomepromazine	6852	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Loxapine	6475	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Olanzapine 	61381	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Paliperidone	679314	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Penfluridol	7974	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Perphenazine	8076	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Pimozide	8331	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Pipamperone	33739	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Pipotiazine	8348	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Prochlorperazine	8704	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Propericiazine		25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Risperidone 	35636	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Sulpiride	10239	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Sultopride	37416	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
Thioproperazine	10498	25	ANSM	ANTIPSYCHOTIC NEUROLEPTICS (EXCEPT CLOZAPINE)	N05A-001
