ATC Code	Drug Name
R03DA05	AMINOPHYLLINE 
C02CA01	PRAZOSIN
R07AX02	IVACAFTOR
C03DA04	EPLERENONE
CODE	DOPAMINERGIC ALKALOIDS OF 
J01FA13	DIRITHROMYCIN
V08AB07	IOVERSOL 
A10AD01	INSULIN
C09XA54	HYDROCHLOROTHIAZIDE
C01BD07	DRONEDARONE
J02AB01	MICONAZOLE
D06BB03	ACICLOVIR
N06AB10	ESCITALOPRAM
C05AD03	BENZOCAINE
L01XE27	IBRUTINIB 
J01FG01	PRISTINAMYCIN
D05BB02	ACITRETIN 
G04BD10	DARIFENACIN 
G04CA02	TAMSULOSIN
J01EE01	TRIMETHOPRIM
C03DA02	POTASSIUM CANRENOATE
J01XD03	ORNIDAZOLE
A11GB	ASCORBIC ACID
C03BX03	CICLETANINE
J01AA02	DOXYCYCLINE
N02BE71	PARACETAMOL
C09AA16	IMIDAPRIL
V03AB17	METHYLTHIONINIUM CHLORIDE
N04BC0	APOMORPHINE
N02AE01	BUPRENORPHINE
N02AC52	METHADONE 
C03DA04	EPLERENONE 
L01CA01	VINBLASTINE
A10AC03	INSULIN
D11AX04	LITHIUM
S01CA08	METHYLPREDNISOLONE 
S01AE03	CIPROFLOXACIN
C01EB18	RANOLAZINE
C02CA04	DOXAZOSIN
R06AA09	DOXYLAMINE
J01CF04	OXACILLIN
G03AB06	ETHINYLESTRADIOL
L01AA01	CYCLOPHOSPHAMIDE
D04AA22	ISOTHIPENDYL
M01CB05	SODIUM AUROTHIO-PROPANOL-SULFONATE
A02BA06	ROXATIDINE
L01XX23	MITOTANE
N02CC05	ALMOTRIPTAN
C09CA04	IRBESARTAN
46680	SODIUM AUROTHIOPROPANOL-SULFONATE
N07BC51	BUPRENORPHINE
R02AD02	LIDOCAINE
C07AB09	ESMOLOL 
J05AX14	DACLATASVIR
C09CA07	TELMISARTAN
J05AR08	TENOFOVIR DISOPROXIL
N06AX17	MILNACIPRAN
R05DA09	DEXTROMETHORPHANE 
C01BC04	FLECAINIDE
L04AX05	PIRFENIDONE
D01AC52	MICONAZOLE 
202912	INTERFERON ALFA
N06AA12	DOXEPIN
L01CD04	CABAZITAXEL
N07BC02	METHADONE 
N02CA52	ERGOTAMINE
C08DB01	DILTIAZEM 
M04AB01	PROBENECID
N06AA17	AMOXAPINE
G03FA17	DROSPIRENONE 
C02AB02	METHYLDOPA
N05BA09	CLOBAZAM
B05XA	ZINC
M01AB02	SULINDAC
B03AC07	INJECTABLR IRON SALTS
C07AA16	TERTATOLOL 
A10BD13	METFORMIN
A11GA	ASCORBIC ACID
J01XX08	LINEZOLIDE
V03AC03	DEFERASIROX
A07AA04	STREPTOMYCIN
A02BD01	OMEPRAZOLE
C08CA05	NIFEDIPINE
V03AC02	DEFERIPRONE
J05AF05	LAMIVUDINE
S01BA04	PREDNISOLONE
G03AA07	ETHINYLESTRADIOL
C08CA02	FELODIPINE 
C01BA01	QUINIDINE
N05AB04	PROCHLORPERAZINE
M03BX01	BACLOFEN
J04AB02	RIFAMPICIN 
N02BA51	ACETYLSALICYLIC ACID
R01AA06	TETRYZOLINE
A10BD07	SITAGLIPTIN
V03AB02	NALORPHINE
M04AA01	ALLOPURINOL
L04AD02	TACROLIMUS
S01BB02	PREDNISOLONE
A11CC03	ALFACALCIDOL
J05AX11	ELVITEGRAVIR
A07BC05	DIOSMECTITE
N06AX01	OXITRIPTAN 
P02CA02	TIABENDAZOLE
N02CA72	ERGOTAMINE
G03DB06	CHLORMADINONE
L01XA03	OXALIPLATIN
N03AA01	METHYLPHENOBARBITAL
N06AX11	MIRTAZAPINE
D07AC16	HYDROCORTISONE
N03AA02	PHENOBARBITAL
P01BF01	LUMEFANTRINE
N06AG02	MOCLOBOMIDE 
L03AX03	BCG VACCINE
C03CA02	BUMETANIDE
N05BA08	BROMAZEPAM
L01XE18	RUXOLITINIB
A04AA04	DOLASETRON
S02CA03	HYDROCORTISONE
N05CD09	BROTIZOLAM
CLASS	FLUOROQUINOLONES
J01FG02	DALFOPRISTIN
S03AA07	CIPROFLOXACIN
N06AA01	DESIPRAMINE
L01AA05	CHLORMETHINE
J01FG02	QUINUPRISTINE
C02LF01	GUANETHIDINE
J01XB02	POLYMYXIN B
L01XX47	IDELALISIB
38404	TOPIRAMATE
L04AA06	MYCOPHENOLATE MOFETIL
C02LA71	RESERPINE
J01EA01	TRIMETHOPRIM
S01XA03	SODIUM CHLORIDE
N02CC02	NARATRIPTAN
J05AE10	DARUNAVIR
N03AF01	CARBAMAZEPINE 
A02BD04	CLARITHROMYCIN
A10BB06	CARBUTAMIDE
G01AA10	CLINDAMYCIN
J05AB04	RIBAVIRIN
C02LB	METHYLDOPA
G01AF05	ECONAZOLE
J04AM05	RIFAMPICIN
J04AM02	RIFAMPICIN
S01CB01	DEXAMETHASONE
J01DD54	CEFTRIAXONE
B01AD04	UROKINASE
M01AX22	MORNIFLUMATE
C10AA05	ATORVASTATIN 
G03AA04	ETHINYLESTRADIOL
A01AC02	DEXAMETHASONE 
J05AR07	NEVIRAPINE 
G01AD03	ASCORBIC ACID
C09AA01	CAPTOPRIL
C07AA02	OXPRENOLOL
M05BA06	IBANDRONIC ACID
B05CB04	SODIUM BICARBONATE
L03AB06	INTERFERON ALFA
S01ED04	METIPRANOLOL
L01DB02	DAUNORUBICIN
V04CG30	CAFFEINE 
J04AK05	BEDAQUILINE
L03AB01	INTERFERON ALFA
A07EA04	BETAMETHASONE
C02AB	METHYLDOPA 
C01CA04	DOPAMINE
A07AA10	COLISTIN
L01AD05	FOTEMUSTINE 
C02CA02	INDORAMIN
C01DA08	ISOSORBIDE DINITRATE 
C09DA01	LOSARTAN
A11CC04	CALCITRIOL 
A05AA01	CHENODEOXYCHOLIC ACID
J05AE12	BOCEPREVIR 
G04CA51	ALFUZOSIN
C09DB02	AMLODIPINE
J05AR05	ZIDOVUDINE
J05AR02	LAMIVUDINE
L01AA02	CHLORAMBUCIL
CODE	STRONG INHIBITORS OF CYP3A4
N05AD05	PIPAMPERONE
A02AD02	MAGALDRATE
G01AF04	MICONAZOLE
C10BA04	FENOFIBRATE
C02KX02	AMBRISENTAN
C02CA06	URAPIDIL
J01FA02	SPIRAMYCIN
J02AA01	AMPHOTERICIN B 
N07AX01	PILOCARPINE
C03EA06	CHLORTALIDONE
C07AA12	NADOLOL
G04CA52	TAMSULOSINE
BA01	METHOTREXATE
S01FA06	TROPICAMIDE
N04BA01	LEVODOPA 
V08AB04	IOPAMIDOL
B02BX05	ELTROMBOPAG
A07AA12	FIDAXOMICIN
ACID	MYCOPHENOLATE MOFETIL
CLASS	DOPAMINERGIC ALKALOIDS OF 
G03AC02	LYNESTRENOL
H05BA01	CALCITONIN
M01AB16	ACECLOFENAC
A11CA02	VITAMIN A
A07AA10	COLISTINE
H01CB02	OCTREOTIDE
D06BA04	SULFAMETHIZOLE
N05BA13	HALAZEPAM
N05AA06	CYAMEMAZINE
A01AB22	DOXYCYCLINE 
B01AD07	RETEPLASE
C09CA01	LOSARTAN
N05CM16	NIAPRAZINE
N03AD01	ETHOSUXIMIDE
C03BA03	CLOPAMIDE
N06DA52	DONEPEZIL
C01CA02	ISOPRENALINE
J01CA02	PIVAMPICILLIN
L01DB07	MITOXANTRONE
S01AB01	SULFAMETHIZOLE
A04AD12	APREPITANT
C02AB02	METHYLDOPA 
C03CB01	FUROSEMIDE
N01AF02	HEXOBARBITAL
B01AB06	NADROPARIN
S01CA08	METHYLPREDNISOLONE
N07XX07	FAMPRIDINE
C07AB57	BISOPROLOL
H03AA02	LIOTHYRONINE SODIUM
N05CA02	AMOBARBITAL
N06AA10	NORTRIPTYLINE
A03BA01	ATROPINE
L01XE03	ERLOTINIB
N05CA10	CYCLOBARBITAL
L04AA03	ANTILYMPHOCYTE IMMUNOGLOBULIN (HORSE)
(99mTc)	MEDRONIC ACID
R06AE05	MECLOZINE
C10BA03	FENOFIBRATE
G04BD04	OXYBUTYNIN
N02AB72	PETHIDINE 
S01EC01	ACETAZOLAMIDE
L01XX3	ANAGRELIDE
M05BB01	ETIDRONIC ACID
N03AD51	ETHOSUXIMIDE
B01AC17	TIROFIBAN
J01FA07	JOSAMYCIN
D07BB04	HYDROCORTISONE
N05AD08	DROPERIDOL
MOFETIL	MYCOPHENOLATE MOFETIL
H02AB04	METHYLPREDNISOLONE
D07AA01	METHYLPREDNISOLONE
C01CA24	ADRENALINE (ORAL-DENTAL OR SUB-CUTANEOUS)
S01AD06	VIDARABINE
A07AA04	STREPTOMYCIN 
C09XA52	HYDROCHLOROTHIAZIDE
L02BG01	AMINOGLUTETHIMIDE
N02CA04	METHYSERGIDE
D01AE21	FLUCYTOSINE
N04AA12	TROPATEPINE
C02AC05	MOXONIDINE
L01BA01	METHOTREXATE
R06AA59	DOXYLAMINE
S01AA17	ERYTHROMYCIN
L01XA01	CISPLATIN
V04CD01	METYRAPONE
N07BB04	NALTREXONE
R01AD03	DEXAMETHASONE
J01EC02	SULFADIAZINE
N04BD01	SELEGILINE
C02LA51	RESERPINE
M01CB05	GOLD
L01AX02	PIPOBROMAN
J05AR05	ZIDOVUDINE 
A02BD05	 CLARITHROMYCIN
N02CC04	RIZATRIPTAN
H02AB04	METHYLPREDNISOLONE 
M03AC10	MIVACURIUM
A10AD01	INSULIN 
A11CC01	ERGOCALCIFEROL
D07BA01	PREDNISOLONE
L01BC05	GEMCITABINE
J01CF01	DICLOXACILLIN
J04AM04	ISONIAZID
L01XE04	SUNITINIB
J05AB03	VIDARABINE
1037042	DABIGATRAN
technetium	OXIDRONIC ACID
D10AD04	ISOTRETINOIN
C04AD03	PENTOXIFYLLINE
N05AB06	TRIFLUOPERAZINE
N06AA21	MAPROTILINE
L01AX03	TEMOZOLOMIDE
J07BE	MUMPS VACCINE
C08CA06	NIMODIPINE
N02AB03	FENTANYL
J05AR05	NEVIRAPINE 
P01BC01	QUININE 
C09BB02	ENALAPRIL
M01AX17	NIMESULIDE
J01DD62	CEFOPERAZONE
J04AC01	ISONIAZID
R01AA05	OXYMETAZOLINE
B03A	IRON
N05CD03	FLUNITRAZEPAM
S01ED54	METIPRANOLOL
A11GA01	ASCORBIC ACID
N04BB01	AMANTADINE 
N07BC01	BUPRENORPHINE
J01CA10	MEZLOCILLIN
L04AB01	ETANERCEPT
G04BE03	SILDENAFIL
A10AE04	INSULIN
D11AH04	ALITRETINOIN
N05BA18	LOFLAZEPATE
B01AB	HEPARIN
R05DA04	CODEINE
C02AA02	RESERPINE
L04AA18	EVEROLIMUS
C09CA09	AZILSARTAN
D07CA03	PREDNISOLONE
acid	MEDRONIC ACID
M01CC01	PENICILLAMINE
B03BA51	CYANOCOBALAMIN
J05AE01	SAQUINAVIR
C10BX04	ACETYLSALICYLIC ACID
S02AA11	POLYMYXIN B
J04BA02	DAPSONE
ATCL	SODIUM OXYBATE
P01AB01	METRONIDAZOLE
J01MA	FLUOROQUINOLONES
N02AX5	TRAMADOL
J01FF01	CLINDAMYCIN
L02BA02	TOREMIFENE
N02BE51	PARACETAMOL
J07BK01	VARICELLA-ZOSTER VIRUS
A11GB01	ASCORBIC ACID
D11AX04	LITHIUM 
N04BC01	BROMOCRIPTINE
D07XA02	PREDNISOLONE
L01BC53	TEGAFUR 
R02AA12	HEXYLRESORCINOL
J05AR04	ZIDOVUDINE 
C09AA04	PERINDOPRIL TERT-BUTYLAMINE
M03AC03	VECURONIUM
L01XX35	ANAGRELIDE
N03AB52	PHENYTOIN
S01ED06	BEFUNOLOL
L01XX27	ARSENIC TRIOXIDE
S01AE02	NORFLOXACINE
G03DA03	HYDROXYPROGESTERONE
J04AB04	RIFABUTIN
C02AA52	RESERPINE
C07CG01	LABETALOL
C02DD01	NITROPRUSSIDE
N05CF02	ZOLPIDEM
D07XA01	HYDROCORTISONE
C09CA02	EPROSARTAN
C03AB01	BENDROFLUMETHIAZIDE
J05AR05	ZIDOVUDINE (AZT)
N04BC07	APOMORPHINE
G03AA14	NOMEGESTROL
R01BA02	PSEUDOEPHEDRINE
N03AX17	STIRIPENTOL
C01CA23	THEODRENALINE
A10BX03	NATEGLINIDE
B01AB05	ENOXAPARIN
G03AA08	ETHINYLESTRADIOL
J05AG01	NEVIRAPINE 
C02AB01	METHYLDOPA 
C01BB01	LIDOCAINE
V03AB05	PREDNISOLONE
A10A	INSULIN
N06AA09	AMITRIPTYLINE
N02CA02	METHYLERGOMETRINE
M05BA05	TILUDRONIC ACID
N01AH51	FENTANYL
A10AD05	INSULIN
N05CD02	NITRAZEPAM
H02AA03	DESOXYCORTONE
L02BX03	ABIRATERONE
A10AE01	INSULIN 
A01AB23	MINOCYCLINE 
N05BA17	FLUDIAZEPAM
A02BC05	ESOMEPRAZOLE
D10AA03	DEXAMETHASONE
N05CD04	ESTAZOLAM
N06BC01	CAFFEINE 
J05AR03	TENOFOVIR DISOPROXIL
N07XX04	SODIUM OXYBATE
N07AA30	AMBENONIUM
J04AM	RIFAMPICIN
R06AD01	ALIMEMAZINE
G04BX03	ACETOHYDROXAMIC ACID
M03CA01	DANTROLENE
N05CD08	MIDAZOLAM 
J05AF02	DIDANOSINE
R06AX25	MIZOLASTINE
N07AA51	NEOSTIGMINE
R05DA05	MORPHINE
H01BA02	DESMOPRESSIN
N07BC02	METHADONE
B05XA02	SODIUM BICARBONATE
A07AA05	POLYMYXIN B
J01MA12	LEVOFLOXACINE
C09BB02	LERCANIDIPINE
G01AF11	KETOCONAZOLE
A02BD05	CLARITHROMYCIN
P01BC01	QUININE
J01EB05	SULFAFURAZOL
L01BB07	NELARABINE
C02DB01	DIHYDRALAZINE
H02BX01	METHYLPREDNISOLONE 
M04AA03	FEBUXOSTAT
A02BC06	DEXLANSOPRAZOLE
M04AC01	COLCHICINE
D09AA09	POVIDONE-IODINE
M01AE14	IBUPROFEN
R03AK02	ISOPRENALINE
N06AA10	NORTRIPTYLINE 
A07EA01	PREDNISOLONE
B03BA02	CYANOCOBALAMIN
L01CB01	ETOPOSIDE
M01BA01	PHENYLBUTAZONE
A02BD02	LANSOPRAZOLE
J01DC03	CEFAMANDOLE
D04AA34	CHLORPHENOXAMINE
J05AR06	EFAVIRENZ
L01BC06	CAPECITABINE
M01AH05	ETORICOXIB 
D07BA04	HYDROCORTISONE
B01AC11	ILOPROST
A02BC03	LANSOPRAZOLE
J01MA01	OFLOXACIN
N02CC03	ZOLMITRIPTAN
D11AH01	TACROLIMUS
J05AE04	NELFINAVIR
S03CA02	PREDNISOLONE
J05AR01	ZIDOVUDINE 
C02LC51	CLONIDINE 
D10AF51	CLINDAMYCIN
V08AB08	IOPENTOL
D10AF52	ERYTHROMYCIN
C05AA04	PREDNISOLONE
J05AB12	CIDOFOVIR
(99mTc)	OXIDRONIC ACID
S01AA13	FUSIDIC ACID
A04AD01	SCOPOLAMINE
N05AH04	QUETIAPINE 
V08AB11	IOBITRIDOL
N02AB02	PETHIDINE 
J05AR04	ZIDOVUDINE (AZT)
N05AB03	PERPHENAZINE
G04CA04	SILODOSIN
A06AA02	DOCUSATE SODIUM
A10BD06	GLIMEPIRIDE
acid	OXIDRONIC ACID
C07AA05	PROPRANALOL
N03AB05	FOSPHENYTOIN
R06AE06	OXATOMIDE
R03DB01	DIPROPHYLLINE
M09AA72	QUININE
G03AB03	ETHINYLESTRADIOL
B01AA11	TIOCLOMAROL
A10BD10	METFORMIN
N01BB04	PRILOCAINE
L04AB04	ADALIMUMAB
J04AM06	ISONIAZID
C10AX12	LOMITAPIDE
C01DX16	NICORANDIL
N04BA02	LEVODOPA
D01AC03	ECONAZOLE
L04AD01	CICLOSPORIN 
N06AX22	AGOMELATINE
C01EB03	INDOMETACIN
A11C	VITAMIN A
L01XB01	PROCARBAZINE
N07AA01	NEOSTIGMINE
G03DA04	PROGESTERONE
L01XX08	PENTOSTATIN
S01EB01	PILOCARPINE
D07CA02	METHYLPREDNISOLONE
J01MA02	CIPROFLOXACIN
A03FA03	DOMPERIDONE
A07EC01	SULFASALAZINE
C03BA10	XIPAMIDE
C02KX01	BOSENTAN
L01XX02	ASPARAGINASE
M01AG01	MEFENAMIC ACID
S01CB02	PREDNISOLONE
J04AK06	DELAMANID
C09AA15	ZOFENOPRIL
M05BA07	RISEDRONIC ACID
L01BB04	CLADRIBINE
C07AB12	NEBIVOLOL
N05CA09	VINBARBITAL
C07AG02	CARVEDILOL
N04BC04	ROPINIROLE
B01AC05	TICLOPIDINE
D08AG02	POVIDONE-IODINE
R05CA13	CINEOLE
A10BA02	METFORMIN
C01BD01	AMIODARONE 
J04AM03	ISONIAZID
N06AB06	SERTRALINE
S01BA02	HYDROCORTISONE
R06AX02	CYPROHEPTADINE
L01XX32	BORTEZOMIB 
S01BA01	DEXAMETHASONE
C04AC07	NICOTINIC ACID
MYCOPHEN	MYCOPHENOLATE MOFETIL
S01CA02	PREDNISOLONE
J01MA06	NORFLOXACIN
A03FA05	ALIZAPRIDE
D07AA01	METHYLPREDNISOLONE 
B05CA04	SULFAMETHIZOLE
1431112	INTERFERON ALFA
J01XX08	LINEZOLID
B01AC07	DIPYRIDAMOLE
5880	INTERFERON ALFA
G02CB01	BROMOCRIPTINE 
C08C03	ISRADIPINE 
N06BA07	MODAFINIL
C05AA09	DEXAMETHASONE
L02BB01	FLUTAMIDE
J01XD02	TINIDAZOLE 
46680	SODIUM AUROTHIO-PROPANOL-SULFONATE
C10AA04	FLUVASTATIN
R05DA09	DEXTROMETHORPHAN
N07BB01	DISULFIRAM
B01AB04	DALTEPARIN SODIUM
C03AA01	BENDROFLUMETHIAZIDE
C03BA11	INDAPAMIDE
R03DC03	MONTELUKAST
N01AX11	SODIUM OXYBATE
V04CG01	CATION EXCHANGE RESINS
S01EB06	NEOSTIGMINE
D10AF02	ERYTHROMYCIN
V08AA05	IOXITALAMIC ACID
V03AC01	DEFEROXAMINE
L01XE11	PAZOPANIB
C02LA71	RESERPINE 
N06AB05	PAROXETINE 
J01DH02	MEROPENEM
G03FA17	DROSPIRENONE
J01EE07	TRIMETHOPRIM
R03DA04	THEOPHYLLINE 
D01AA08	GRISEOFULVIN
A07EA01	PREDNISOLONE 
J05AB14	VALGANCICLOVIR
N05BA04	OXAZEPAM
N05BB51	HYDROXYZINE
A10BB01	GLIBENCLAMIDE
C09AA08	CILAZAPRIL
N05BA22	CLOXAZOLAM
R03AC12	SALMETEROL
J05AF04	STAVUDINE
J02AC04	POSACONAZOLE
N05AH01	LOXAPINE
C10AB02	BEZAFIBRATE
A03FA01	METOCLOPRAMIDE
M01CB03	GOLD
G01AX11	POVIDONE-IODINE
J01XX05	METHENAMINE
L01XX17	TOPOTECAN
G04CA53	TAMSULOSIN
A02BX02	SUCRALFATE
C03EB02	BUMETANIDE
J01FA02	SPIRAMYCIN 
V03AE01	POLYSTYRENE SULFONATE
D04AA32	DIPHENHYDRAMINE
A10BD03	METFORMIN
B01AC06	ACETYLSALICYLIC ACID
R06AE01	BUCLIZINE
S03CA04	HYDROCORTISONE
N05CA04	BARBITAL
A10BD05	METFORMIN
S02DA01	LIDOCAINE
L01BB06	CLOFARABINE
D08AK06	THIOMERSAL
C03EA04	ALTIZIDE
N06AX16	VENLAFAXINE
A02BD07	LANSOPRAZOLE
J05AR07	NEVIRAPINE
J01FA06	ROXITHROMYCIN
J01EB05	SULFAFURAZOLE
G02CB03	CABERGOLINE
N03AF02	OXCARBAZEPINE
N05BA11	PRAZEPAM
N05BA01	DIAZEPAM 
C10AB05	FENOFIBRATE
V08AA01	AMIDOTRIZOIC ACID
P01BA01	CHLOROQUINE
G04CA53	TAMSULOSINE
A05AA03	CHOLIC ACID
L01BC02	FLUOROURACILE
V03AF05	AMIFOSTINE
L01AD04	STREPTOZOCIN
L01XX33	CELECOXIB
A11CA01	VITAMIN A
R01AA13	TYMAZOLINE
M03AC09	ROCURONIUM
C03BB04	CHLORTALIDONE
N05AH03	OLANZAPINE
C08CA13	LERCANIDIPINE
M09AA	QUININE
L01AA03	MELPHALAN
C07AB09	ESMOLOL
N03AA03	PRIMIDONE
G03DB03	MEDROGESTONE
H02AB10	CORTISONE
J05AG03	EFAVIRENZ 
L04AC03	ANAKINRA
N05AX08	RISPERIDONE 
M01AE04	FENOPROFEN
N06AA02	IMIPRAMINE
D06AA01	DEMECLOCYCLINE 
A02BA02	RANITIDINE
H05BA03	CALCITONIN
B01AA03	WARFARIN
R06AD07:	MEQUITAZINE 
C09AA05	RAMIPRIL
N06AX03	MIANSERIN 
J01XB01	COLISTIN
L01BA03	RALTITREXED
A10BD07	METFORMIN
A01AC02	DEXAMETHASONE
N01AH02	ALFENTANIL
D11AX18	DICLOFENAC
N06AB04	CITALOPRAM
J05AR04	LAMIVUDINE
J05AB06	GANCICLOVIR 
C08DB01	DILTIAZEM
N06CA03	FLUOXETINE
J01EC01	SULFAMETHOXAZOLE
D04AB04	BENZOCAINE
V08AB03	IOXAGLIC ACID
L03AB11	PEG-INTERFERON ALFA-2A
INGREDIE	ALCOHOL 
G03CA07	ESTRONE
L03AC01	ALDESLEUKIN
C07FB02	METOPROLOL
N02BG09	METHOXYFLURANE
G01AF01	METRONIDAZOLE
J01CA04	AMOXICILLIN
C03AB08	METHYCLOTHIAZIDE
V08AB02	IOHEXOL
R01AD52	PREDNISOLONE
B01AE01	DESIRUDIN
N05CM18	DEXMEDETOMIDINE
G03AB04	ETHINYLESTRADIOL
C01CA26	EPHEDRINE
N05AH02	CLOZAPINE
J02AB02	KETOCONAZOLE
L01DB11	PIXANTRONE
C02LB01	METHYLDOPA 
C01CA06	PHENYLEPHRINE
M03AA01	ALCURONIUM
J05AF01	ZIDOVUDINE 
L01DB06	IDARUBICIN
R06AE03	CYCLIZINE
R02AA15	POVIDONE-IODINE
J05AR05	LAMIVUDINE
G01AX12	CICLOPIROX
R05DA07	NOSCAPINE
J05AF08	ADEFOVIR
N05CD11	LOPRAZOLAM
G04CA52	TAMSULOSIN
D05BB02	ACITRETIN
J05AR07	LAMIVUDINE
J02AB01	MICONAZOLE 
S02BA01	HYDROCORTISONE
C07BB12	NEBIVOLOL
C03DB02	TRIAMTERENE
J05AX15	SOFOSBUVIR
L01CA05	VINFLUNINE
J05AE08	ATAZANAVIR
R05DA08	PHOLCODINE
J05AF11	TELBIVUDINE
A10BB02	CHLORPROPAMIDE
L02BB04	ENZALUTAMIDE
P01CX01	PENTAMIDIN 
G03AB05	ETHINYLESTRADIOL
A12AA	CALCIUM
M05BX03	STRONTIUM
R06AX28	RUPATADINE
N02BG06	NEFOPAM
N06AX22	AGOMELATINE 
M01AH02	ROFECOXIB
C09BB04	AMLOPIDINE 
P01BX01	HALOFANTRINE
A01AD05	ACETYLSALICYLIC ACID
B03BB51	FOLINIC ACID
N06AB08	FLUVOXAMINE
L01CD04	CABAZITAXEL 
A10BB03	TOLBUTAMIDE
C09BB06	ENALAPRIL
J01EC03	SULFAMOXOLE
C01CA03	NOREPINEPHRINE
C07AA06	TIMOLOL 
G04BE04	YOHIMBINE
N05CD0	MIDAZOLAM
C02LC51	CLONIDINE
D01BA01	GRISEOFULVIN
C02AB	METHYLDOPA
L04AB05	CERTOLIZUMAB
G03DB07	PROMEGESTONE
L04AX02	THALIDOMIDE
J01GB11	ISEPAMICIN
N05BA21	CLOTIAZEPAM
as	ALTEPLASE RECOMBINANT
B05XA12	ZINC
C10BA05	EZETIMIBE
N04BD02	RASAGILINE 
N04BA01	LEVODOPA
N02AB52	PETHIDINE 
C02LA01	RESERPINE
A10BD02	METFORMIN
N02CX02	CLONIDINE 
C09AA06	QUINAPRIL
C09BB03	AMLODIPINE
B05CB01	SODIUM CHLORIDE
DRINK	ALCOHOL
A11HA03	ALPHA-TOCOPHEROL
oxidronic	OXIDRONIC ACID
J01XX09	DAPTOMYCIN
B05CA04	SULFAMETHIZOLE 
AUROTIOP	SODIUM AUROTHIO-PROPANOL-SULFONATE
L01DB08	PIRARUBICIN
OLATE	MYCOPHENOLATE MOFETIL
J04AK01	PYRAZINAMIDE
S01AB02	SULFAFURAZOLE
J04AM06	RIFAMPICIN
N05BB02	CAPTODIAME
