1,Active ingredient,tenofovir ,DB00300,consensus set annotator team,Active ingredient,didanosine ,DB00900,consensus set annotator team,,Positive,117466,3364,Qualitative,Exposure to didanosine is increased ,consensus set annotator team
7,Active ingredient,clozapine ,DB00363,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,2626,35636,Qualitative,may decrease the clearance ,consensus set annotator team
7,Active ingredient,Fluoxetine ,DB00472,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,4493,35636,Quantitative,increase the plasma concentration of risperidone 2.5 to 2.8 fold and 3 to 9 fold ,consensus set annotator team
7,Active ingredient,Fluoxetine ,DB00472,consensus set annotator team,Metabolite,9-hydroxyrisperidone ,DB01267,consensus set annotator team,risperidone ,Negative,4493,679314,Qualitative,did not affect the plasma concentration ,consensus set annotator team
7,Active ingredient,paroxetine ,DB00715,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,32937,35636,Quantitative,increase the plasma concentration of risperidone 2.5 to 2.8 fold and 3 to 9 fold ,consensus set annotator team
7,Active ingredient,Paroxetine ,DB00715,consensus set annotator team,Metabolite,9-hydroxyrisperidone ,DB01267,consensus set annotator team,risperidone ,Positive,32937,679314,Quantitative,lowered the concentration of 9-hydroxyrisperidone by about 10% ,consensus set annotator team
7,Active ingredient,phenobarbital ,DB01174,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,8134,35636,Qualitative,may cause similar decreases in the combined plasma concentrations ,consensus set annotator team
7,Active ingredient,phenytoin ,DB00252,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,8183,35636,Qualitative,may cause similar decreases in the combined plasma concentrations ,consensus set annotator team
7,Active ingredient,ranitidine ,DB00863,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,9143,35636,Quantitative,increased the AUC of risperidone and 9-hydroxyrisperidone combined by 20% ,consensus set annotator team
7,Active ingredient,ranitidine ,DB00863,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,9143,35636,Quantitative,increased the bioavailability of risperidone by 64% and 26 ,consensus set annotator team
7,Active ingredient,rifampin ,DB01045,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,9384,35636,Qualitative,may cause similar decreases in the combined plasma concentrations ,consensus set annotator team
7,Active ingredient,risperidone ,DB00734,consensus set annotator team,Active ingredient,carbamazepine ,DB00564,consensus set annotator team,,Negative,35636,2002,Quantitative,concentrations of carbamazepine did not appear to be affected ,consensus set annotator team
7,Active ingredient,Risperidone ,DB00734,consensus set annotator team,Active ingredient,digoxin ,DB00390,consensus set annotator team,,Negative,35636,3407,Qualitative,did not show a clinically relevant effect on the pharmacokinetics ,consensus set annotator team
7,Active ingredient,risperidone ,DB00734,consensus set annotator team,Active ingredient,donepezil ,DB00843,consensus set annotator team,,Negative,35636,135447,Qualitative,did not significantly affect the pharmacokinetics ,consensus set annotator team
7,Active ingredient,risperidone ,DB00734,consensus set annotator team,Active ingredient,erythromycin ,DB00199,consensus set annotator team,,Negative,35636,4053,Qualitative,There were no significant interactions ,consensus set annotator team
7,Active ingredient,risperidone ,DB00734,consensus set annotator team,Active ingredient,galantamine ,DB00674,consensus set annotator team,,Negative,35636,4637,Qualitative,did not significantly affect the pharmacokinetics ,consensus set annotator team
7,Active ingredient,risperidone ,DB00734,consensus set annotator team,Active ingredient,lithium ,DB01356,consensus set annotator team,,Negative,35636,6448,Qualitative,did not affect the exposure (AUC) or peak plasma concentrations (Cmax ,consensus set annotator team
7,Active ingredient,risperidone ,DB00734,consensus set annotator team,Active ingredient,valproate ,DB00313,consensus set annotator team,,Negative,35636,40254,Qualitative,did not affect the pre-dose or average plasma concentrations and exposure (AUC ,consensus set annotator team
7,Active ingredient,risperidone ,DB00734,consensus set annotator team,Active ingredient,valproate ,DB00313,consensus set annotator team,,Positive,35636,40254,Quantitative,there was a 20% increase in valproate peak plasma concentration (Cmax ,consensus set annotator team
8,Active ingredient,carbamazepine ,DB00564,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,2002,35636,Qualitative,may cause a decrease in the combined plasma concentrations ,consensus set annotator team
8,Active ingredient,phenobarbital ,DB01174,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,8134,35636,Qualitative,may cause a decrease in the combined plasma concentrations ,consensus set annotator team
8,Active ingredient,phenytoin ,DB00252,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,8183,35636,Qualitative,may cause a decrease in the combined plasma concentrations ,consensus set annotator team
8,Active ingredient,rifampin ,DB01045,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,9384,35636,Qualitative,may cause a decrease in the combined plasma concentrations ,consensus set annotator team
9,Active ingredient,ethanol ,DB00898,consensus set annotator team,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,,Negative,448,42355,Qualitative,no effect of either drug on the pharmacokinetics or pharmacodynamics of the other ,consensus set annotator team
9,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Active ingredient,amitriptyline ,DB00321,consensus set annotator team,,Positive,42355,704,Qualitative,Significantly increased plasma TCA levels have been reported ,consensus set annotator team
9,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Active ingredient,atenolol ,DB00335,consensus set annotator team,,Negative,42355,1202,Qualitative,did not affect the plasma concentrations ,consensus set annotator team
9,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Active ingredient,carbamazepine ,DB00564,consensus set annotator team,,Positive,42355,2002,Qualitative,Elevated carbamazepine levels ,consensus set annotator team
9,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Active ingredient,clomipramine ,DB01242,consensus set annotator team,,Positive,42355,2597,Qualitative,Significantly increased plasma TCA levels ,consensus set annotator team
9,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Active ingredient,clomipramine ,DB01242,consensus set annotator team,,Positive,42355,2597,Qualitative,Significantly increased plasma TCA levels have been reported ,consensus set annotator team
9,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Active ingredient,digoxin ,DB00390,consensus set annotator team,,Negative,42355,3407,Qualitative,did not significantly affect the pharmacokinetics ,consensus set annotator team
9,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Active ingredient,ethanol ,DB00898,consensus set annotator team,,Negative,42355,448,Qualitative,no effect of either drug on the pharmacokinetics or pharmacodynamics of the other ,consensus set annotator team
9,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Active ingredient,ethanol ,DB00898,consensus set annotator team,,Negative,42355,448,Quantitative,revealed no effect of either drug on the pharmacokinetics ,consensus set annotator team
9,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Active ingredient,imipramine ,DB00458,consensus set annotator team,,Positive,42355,5691,Qualitative,Significantly increased plasma TCA levels have been reported ,consensus set annotator team
9,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Active ingredient,lorazepam ,DB00186,consensus set annotator team,,Negative,42355,6470,Qualitative,no significant pharmacokinetic interaction ,consensus set annotator team
9,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Active ingredient,propranolol ,DB00571,consensus set annotator team,,Positive,42355,8787,Quantitative,resulted in a mean five-fold increase (range 2 to 17) in minimum propranolol plasma concentrations ,consensus set annotator team
9,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Active ingredient,tacrine ,DB00382,consensus set annotator team,,Positive,42355,10318,Quantitative,five- and eight-fold increases in tacrine Cmax and AUC ,consensus set annotator team
9,Active ingredient,lorazepam ,DB00186,consensus set annotator team,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,,Negative,6470,42355,Qualitative,no significant pharmacokinetic interaction ,consensus set annotator team
9,Active ingredient,omeprazole ,DB00338,consensus set annotator team,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,,Positive,7646,42355,Qualitative,A clinically significant fluvoxamine interaction ,consensus set annotator team
9,Active ingredient,phenytoin ,DB00252,consensus set annotator team,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,,Positive,8183,42355,Qualitative,A clinically significant fluvoxamine interaction ,consensus set annotator team
9,Active ingredient,pimozide ,DB01100,consensus set annotator team,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,,Positive,8331,42355,Qualitative,A clinically significant fluvoxamine interaction ,consensus set annotator team
9,Active ingredient,theophylline ,DB00277,consensus set annotator team,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,,Positive,10438,42355,Qualitative,A clinically significant fluvoxamine interaction ,consensus set annotator team
9,Active ingredient,warfarin ,DB00682,consensus set annotator team,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,,Positive,11289,42355,Qualitative,A clinically significant fluvoxamine interaction ,consensus set annotator team
11,Active ingredient,cimetidine ,DB00501,consensus set annotator team,Active ingredient,sertraline ,DB01104,consensus set annotator team,,Positive,2541,36437,Quantitative,increases in sertraline mean AUC (50%), C max (24%) and half-life (26 ,consensus set annotator team
12,Active ingredient,sertraline ,DB01104,consensus set annotator team,Active ingredient,diazepam ,DB00829,consensus set annotator team,,Positive,36437,3322,Quantitative,32% decrease relative to baseline in diazepam clearance ,consensus set annotator team
12,Active ingredient,sertraline ,DB01104,consensus set annotator team,Metabolite,desmethyldiazepam ,DB00829,consensus set annotator team,diazepam ,Positive,36437,3155,Quantitative,23% increase in T max ,consensus set annotator team
13,Active ingredient,sertraline ,DB01104,consensus set annotator team,Active ingredient,lithium ,DB01356,consensus set annotator team,,Negative,36437,6448,Qualitative,did not significantly alter steady-state lithium levels or the renal clearance ,consensus set annotator team
14,Active ingredient,sertraline ,DB01104,consensus set annotator team,Active ingredient,pimozide ,DB01100,consensus set annotator team,,Positive,36437,8331,Quantitative,increase in pimozide AUC and C max of about 40% ,consensus set annotator team
15,Active ingredient,sertraline ,DB01104,consensus set annotator team,Active ingredient,phenytoin ,DB00252,consensus set annotator team,,Negative,36437,8183,Qualitative,does not produce clinically important inhibition of phenytoin metabolism ,consensus set annotator team
16,Active ingredient,sertraline ,DB01104,consensus set annotator team,Active ingredient,carbamazepine ,DB00564,consensus set annotator team,,Negative,36437,2002,Qualitative,did not increase plasma concentrations ,consensus set annotator team
16,Active ingredient,sertraline ,DB01104,consensus set annotator team,Active ingredient,cisapride ,DB00604,consensus set annotator team,,Negative,36437,35255,Qualitative,did not increase plasma concentrations ,consensus set annotator team
16,Active ingredient,sertraline ,DB01104,consensus set annotator team,Active ingredient,cisapride ,DB00604,consensus set annotator team,,Positive,36437,35255,Quantitative,induces the metabolism of cisapride (cisapride AUC and Cmax were reduced by about 35% ,consensus set annotator team
16,Active ingredient,sertraline ,DB01104,consensus set annotator team,Active ingredient,terfenadine ,DB00342,consensus set annotator team,,Negative,36437,42330,Qualitative,did not increase plasma concentrations ,consensus set annotator team
17,Active ingredient,sertraline ,DB01104,consensus set annotator team,Active ingredient,tolbutamide ,DB01124,consensus set annotator team,,Positive,36437,10635,Quantitative,16% decrease from baseline in the clearance ,consensus set annotator team
19,Active ingredient,sertraline ,DB01104,consensus set annotator team,Active ingredient,digoxin ,DB00390,consensus set annotator team,,Negative,36437,3407,Qualitative,did not change serum digoxin levels ,consensus set annotator team
21,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,ethinyl estradiol ,DB00977,consensus set annotator team,,Positive,4450,4124,Qualitative,resulted in small increases in the mean AUCs ,consensus set annotator team
21,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,norethindrone ,DB00717,consensus set annotator team,,Positive,4450,7514,Qualitative,resulted in small increases in the mean AUCs ,consensus set annotator team
22,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,ethinyl estradiol ,DB00977,consensus set annotator team,,Negative,4450,4124,Qualitative,no significant difference in ethinyl estradiol or levonorgestrel AUC ,consensus set annotator team
22,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,levonorgestrel ,DB00367,consensus set annotator team,,Negative,4450,6373,Qualitative,no significant difference in ethinyl estradiol or levonorgestrel AUC ,consensus set annotator team
23,Active ingredient,cimetidine ,DB00501,consensus set annotator team,Active ingredient,fluconazole ,DB00196,consensus set annotator team,,Negative,2541,4450,Qualitative,did not affect the bioavailability or pharmacokinetics ,consensus set annotator team
23,Active ingredient,cimetidine ,DB00501,consensus set annotator team,Active ingredient,fluconazole ,DB00196,consensus set annotator team,,Positive,2541,4450,Quantitative,decrease in fluconazole AUC of 13% ? 11% (range: -3.4 to -31%) and Cmax decreased 19% ? 14% (range: -5 to -40% ,consensus set annotator team
24,Active ingredient,rifampin ,DB01045,consensus set annotator team,Active ingredient,fluconazole ,DB00196,consensus set annotator team,,Positive,9384,4450,Qualitative,significant decrease in fluconazole AUC ,consensus set annotator team
24,Active ingredient,rifampin ,DB01045,consensus set annotator team,Active ingredient,Fluconazole ,DB00196,consensus set annotator team,,Positive,9384,4450,Quantitative,half-life decreased from 33.4 ? 4.4 hours to 26.8 ? 3.9 hours ,consensus set annotator team
25,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,phenytoin ,DB00252,consensus set annotator team,,Positive,4450,8183,Quantitative,increase in phenytoin AUC was 88% ,consensus set annotator team
26,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,cyclosporine ,DB00091,consensus set annotator team,,Positive,4450,3008,Qualitative,significant increase in cyclosporine AUC, Cmax, Cmin ,consensus set annotator team
27,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,zidovudine ,DB00495,consensus set annotator team,,Positive,4450,11413,Qualitative,significant increase in zidovudine AUC ,consensus set annotator team
28,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,theophylline ,DB00277,consensus set annotator team,,Positive,4450,10438,Qualitative,significant increases in theophylline AUC, Cmax, and half-life ,consensus set annotator team
29,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,tolbutamide ,DB01124,consensus set annotator team,,Positive,4450,10635,Quantitative,increase in tolbutamide AUC of 26% ,consensus set annotator team
29,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,Tolbutamide ,DB01124,consensus set annotator team,,Positive,4450,10635,Quantitative,Tolbutamide Cmax increased 11% ,consensus set annotator team
30,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,glipizide ,DB01067,consensus set annotator team,,Positive,4450,4821,Qualitative,The AUC and Cmax of glipizide (2.5 mg single dose) were significantly increased ,consensus set annotator team
31,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,glyburide ,DB01016,consensus set annotator team,,Positive,4450,4815,Qualitative,The AUC and Cmax of glyburide (5 mg single dose) were significantly increased ,consensus set annotator team
32,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,midazolam ,DB00683,consensus set annotator team,,Positive,4450,6960,Quantitative,increased the midazolam AUC and Cmax by 259% and 150% ,consensus set annotator team
32,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,midazolam ,DB00683,consensus set annotator team,,Positive,4450,6960,Quantitative,increased the midazolam AUC and Cmax by 259% and 74% ,consensus set annotator team
32,Active ingredient,Fluconazole ,DB00196,consensus set annotator team,Active ingredient,midazolam ,DB00683,consensus set annotator team,,Positive,4450,6960,Quantitative,reduced the clearance of IV midazolam by 51% ,consensus set annotator team
33,Active ingredient,azithromycin ,DB00207,consensus set annotator team,Active ingredient,fluconazole ,DB00196,consensus set annotator team,,Negative,18631,4450,Qualitative,no significant pharmacokinetic interaction ,consensus set annotator team
33,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,azithromycin ,DB00207,consensus set annotator team,,Negative,4450,18631,Qualitative,no significant pharmacokinetic interaction ,consensus set annotator team
35,Active ingredient,magnesium ,DB01378,consensus set annotator team,Active ingredient,nitrofurantoin ,DB00698,consensus set annotator team,,Positive,6574,7454,Qualitative,reduce both the rate and extent of absorption ,consensus set annotator team
36,Active ingredient,probenecid ,DB01032,consensus set annotator team,Active ingredient,nitrofurantoin ,DB00698,consensus set annotator team,,Positive,8698,7454,Qualitative,increase in nitrofurantoin serum levels ,consensus set annotator team
36,Active ingredient,sulfinpyrazone ,DB01138,consensus set annotator team,Active ingredient,nitrofurantoin ,DB00698,consensus set annotator team,,Positive,10205,7454,Qualitative,increase in nitrofurantoin serum levels ,consensus set annotator team
38,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Active ingredient,thioridazine ,DB00679,consensus set annotator team,,Positive,42355,10502,Quantitative,Concentrations of thioridazine and its two active metabolites, mesoridazine and sulforidazine, increased 3-fold ,consensus set annotator team
38,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Metabolite,mesoridazine ,DB00933,consensus set annotator team,thioridazine ,Positive,42355,6779,Quantitative,Concentrations of thioridazine and its two active metabolites, mesoridazine and sulforidazine, increased 3-fold ,consensus set annotator team
38,Active ingredient,fluvoxamine ,DB00176,consensus set annotator team,Metabolite,sulforidazine ,DB00679,consensus set annotator team,thioridazine ,Positive,42355,,Quantitative,Concentrations of thioridazine and its two active metabolites, mesoridazine and sulforidazine, increased 3-fold ,consensus set annotator team
40,Active ingredient,fluconazole ,DB00196,consensus set annotator team,Active ingredient,glipizide ,DB01067,consensus set annotator team,,Positive,4450,4821,Quantitative,percentage increase in the glipizide AUC after fluconazole administration was 56.9% ,consensus set annotator team
42,Active ingredient,allopurinol ,DB00437,consensus set annotator team,Active ingredient,azathioprine ,DB00993,consensus set annotator team,,Positive,519,1256,Quantitative,a reduction in dose to approximately one-third to one-fourth of the usual dose ,consensus set annotator team
