Drug Name	RxNorm	Source File	Clinical Source	Class Name	Class Code
VINBLASTINE	11198	42	ANSM	VINCA ALKALOIDS	L01CA
VINCRISTINE	11202	42	ANSM	VINCA ALKALOIDS	L01CA
VINDESINE	11204	42	ANSM	VINCA ALKALOIDS	L01CA
VINFLUNINE	194315	42	ANSM	VINCA ALKALOIDS	L01CA
VINORELBINE	39541	42	ANSM	VINCA ALKALOIDS	L01CA
BIPERIDEN	1589	22	ANSM	ANTIPARKINSONIAN ANTICHOLINERGICS	N04AA-001
TRIHEXYPHENIDYL	10811	22	ANSM	ANTIPARKINSONIAN ANTICHOLINERGICS	N04AA-001
TROPATEPINE	38876	22	ANSM	ANTIPARKINSONIAN ANTICHOLINERGICS	N04AA-001
URSODESOXYCHOLIC ACID	62427	36	ANSM	BILE ACIDS	A05AA-001
AMANTADINE 	620	23	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
APOMORPHINE	1043	23	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
BROMOCRIPTINE 	1760	23	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
ENTACAPONE 	60307	23	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
LISURIDE	6446	23	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
PERGOLIDE	8047	23	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
PIRIBEDIL 	8353	23	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
PRAMIPEXOLE	746741	23	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
RASAGILINE 	134748	23	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
ROPINIROLE 	72302	23	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
ROTIGOTINE	616739	23	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
SELEGILINE	9639	23	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
TOLCAPONE	72937	23	ANSM	ANTIPARKINSONIAN DOPAMINERGICS	N04B-001
ANTILYMPHOCYTE IMMUNOGLOBULIN (HORSE)	1431182	20	ANSM	ANTI-LYMPHOCYTE GLOBULINS	L04AA0-001
ANTITHYMOCYTE IMMUNOGLOBULIN (RABBIT) 	1429944	20	ANSM	ANTI-LYMPHOCYTE GLOBULINS	L04AA0-001
ALPRAZOLAM	596	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
AVIZAFONE		31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
BROMAZEPAM	1749	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
CHLORDIAZEPOXIDE	2356	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
CLOBAZAM	21241	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
CLONAZEPAM	2598	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
CLORAZEPATE	2353	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
CLOTIAZEPAM	2622	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
DIAZEPAM	3322	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
ESTAZOLAM	4077	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
FLUNITRAZEPAM	4460	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
FLURAZEPAM	4501	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
LOFLAZEPATE 		31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
LOPRAZOLAM	38555	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
LORAZEPAM	6470	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
LORMETAZEPAM	28894	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
MIDAZOLAM	6960	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
NITRAZEPAM	7440	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
NORDAZEPAM	3155	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
OXAZEPAM	7781	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
PRAZEPAM	8627	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
TETRAZEPAM	37985	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
ZOLPIDEM	39993	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
ZOPICLONE	40001	31	ANSM	BENZODIAZEPINES AND RELATED	N05-001
ACEBUTOLOL 	149	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
AMBENONIUM	623	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
AMIODARONE	703	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
ATENOLOL	1202	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
BETAXOLOL	1520	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
BISOPROLOL	19484	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
CARTEOLOL	2116	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
CARVEDILOL	20352	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
CELIPROLOL	20498	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
CLONIDINE	2599	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
CRIZOTINIB	1148495	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
DIGOXIN	3407	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
DILTIAZEM 	3443	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
DISOPYRAMIDE	3541	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
DONEPEZIL	135447	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
DRONEDARONE	233698	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
ESMOLOL 	49737	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
FAMPRIDINE	897018	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
FINGOLIMOD	1012892	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
GALANTAMINE	4637	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
HYDROQUINIDINE	27220	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
IVABRADINE 	77417	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
LABETALOL	6185	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
LEVOBUNOLOL	1813	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
MEFLOQUINE	6694	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
METOPROLOL	6918	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
MIDODRINE	6963	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
NADOLOL	7226	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
NEBIVOLOL	31555	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
NEOSTIGMINE	7315	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
PASIREOTIDE	1364105	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
PILOCARPINE	8328	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
PINDOLOL	8332	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
PROPRANOLOL	8787	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
PYRIDOSTIGMINE	9000	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
QUINIDINE	9068	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
RIVASTIGMINE	183379	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
SOTALOL	9947	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
TERTATOLOL	37840	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
THALIDOMIDE	10432	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
TIMOLOL	10600	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
VERAPAMIL	11170	39	ANSM	BRADYCARDIA INDUCING DRUGS	C0N0S0
ETILEFRINE	4169	6	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
MIDODRINE	6963	6	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
NAPHAZOLINE	7247	6	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
OXYMETAZOLINE	7812	6	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
PHENYLEPHRINE	8163	6	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
SYNEPHRINE	10288	6	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
TETRYZOLINE	37935	6	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
TUAMINOHEPTANE	179753	6	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
CEFAMANDOLE	2178	13	ANSM	ANTABUSE (REACTION)	123-ANT
DISULFIRAM	3554	13	ANSM	ANTABUSE (REACTION)	123-ANT
GLIBENCLAMIDE	4815	13	ANSM	ANTABUSE (REACTION)	123-ANT
GLIPIZIDE	4821	13	ANSM	ANTABUSE (REACTION)	123-ANT
GRISEOFULVIN	5021	13	ANSM	ANTABUSE (REACTION)	123-ANT
KETOCONAZOLE	6135	13	ANSM	ANTABUSE (REACTION)	123-ANT
METRONIDAZOLE	6922	13	ANSM	ANTABUSE (REACTION)	123-ANT
ORNIDAZOLE	7701	13	ANSM	ANTABUSE (REACTION)	123-ANT
PROCARBAZINE	8702	13	ANSM	ANTABUSE (REACTION)	123-ANT
SECNIDAZOLE 	36314	13	ANSM	ANTABUSE (REACTION)	123-ANT
TENONITROZOLE	236186	13	ANSM	ANTABUSE (REACTION)	123-ANT
TINIDAZOLE 	10612	13	ANSM	ANTABUSE (REACTION)	123-ANT
DOXAZOSIN	49276	18	ANSM	ANTIHYPERTENSIVE ALPHA BLOCKERS	C02CA0-001
PRAZOSIN	8629	18	ANSM	ANTIHYPERTENSIVE ALPHA BLOCKERS	C02CA0-001
URAPIDIL	39230	18	ANSM	ANTIHYPERTENSIVE ALPHA BLOCKERS	C02CA0-001
ACETYLSULFAFURAZOL		15	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
SULFADIAZINE	10171	15	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
SULFADOXINE	10173	15	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
SULFAFURAZOLE 	10207	15	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
SULFAGUANIDINE	10174	15	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
SULFAMETHIZOLE 	10179	15	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
SULFAMETHOXAZOLE	10180	15	ANSM	ANTIBACTERIAL SULFONAMIDES	JO1E
AMIODARONE	703	14	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
CIBENZOLINE	21099	14	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
DILTIAZEM 	3443	14	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
DISOPYRAMIDE	3541	14	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
DRONEDARONE	233698	14	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
FLECAINIDE	4441	14	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
HYDROQUINIDINE	27220	14	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
LIDOCAINE	6387	14	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
MEXILETINE	6926	14	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
PROPAFENONE	8754	14	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
QUINIDINE	9068	14	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
SOTALOL	9947	14	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
VERAPAMIL	11170	14	ANSM	ANTIARRHYTHMIC AGENTS	C01B-001
BCG VACCINE	1344	28	ANSM	ATTENUATED LIVE VIRUS VACCINES	J07B-001
ROTAVIRUS VACCINE, LIVE ATTENUATED	805573	28	ANSM	ATTENUATED LIVE VIRUS VACCINES	J07B-001
YELLOW FEVER VACCINE	89890	28	ANSM	ATTENUATED LIVE VIRUS VACCINES	J07B-001
MEASLES VACCINE	235574	28	ANSM	ATTENUATED LIVE VIRUS VACCINES	J07B-001
MUMPS VACCINE	68487	28	ANSM	ATTENUATED LIVE VIRUS VACCINES	J07B-001
RUBELLA VACCINE	9486	28	ANSM	ATTENUATED LIVE VIRUS VACCINES	J07B-001
VARICELLA-ZOSTER VIRUS	11131	28	ANSM	ATTENUATED LIVE VIRUS VACCINES	J07B-001
LIVE ATTENUATED INFLUENZA VACCINE [LAIV] 		28	ANSM	ATTENUATED LIVE VIRUS VACCINES	J07B-001
CHLOROQUIN	2393	21	ANSM	ANTIPARASITICS THAT TEND TO INDUCE TORSADES DE POINTES	P01B-001
HALOFANTRINE	50749	21	ANSM	ANTIPARASITICS THAT TEND TO INDUCE TORSADES DE POINTES	P01B-001
LUMEFANTRINE	847728	21	ANSM	ANTIPARASITICS THAT TEND TO INDUCE TORSADES DE POINTES	P01B-001
PENTAMIDINE	7994	21	ANSM	ANTIPARASITICS THAT TEND TO INDUCE TORSADES DE POINTES	P01B-001
ALFUZOSIN	17300	5	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
DOXAZOSIN	49276	5	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
PRAZOSIN	8629	5	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
SILODOSIN	720825	5	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
TAMSULOSIN	77492	5	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
TERAZOSIN	37798	5	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
AMLODIPINE	17767	40	ANSM	CALCIUM CHANNEL BLOCKERS	CO8CA-001
CLEVIDIPINE	233603	40	ANSM	CALCIUM CHANNEL BLOCKERS	CO8CA-001
DILTIAZEM 	3443	40	ANSM	CALCIUM CHANNEL BLOCKERS	CO8CA-001
FELODIPINE 	4316	40	ANSM	CALCIUM CHANNEL BLOCKERS	CO8CA-001
ISRADIPINE 	33910	40	ANSM	CALCIUM CHANNEL BLOCKERS	CO8CA-001
LACIDIPINE 	28382	40	ANSM	CALCIUM CHANNEL BLOCKERS	CO8CA-001
LERCANIDIPINE	135056	40	ANSM	CALCIUM CHANNEL BLOCKERS	CO8CA-001
MANIDIPINE 	29275	40	ANSM	CALCIUM CHANNEL BLOCKERS	CO8CA-001
NICARDIPINE	7396	40	ANSM	CALCIUM CHANNEL BLOCKERS	CO8CA-001
NIFEDIPINE	7417	40	ANSM	CALCIUM CHANNEL BLOCKERS	CO8CA-001
NIMODIPINE	7426	40	ANSM	CALCIUM CHANNEL BLOCKERS	CO8CA-001
NITRENDIPINE 	7441	40	ANSM	CALCIUM CHANNEL BLOCKERS	CO8CA-001
VERAPAMIL	11170	40	ANSM	CALCIUM CHANNEL BLOCKERS	CO8CA-001
BUPRENORPHINE	1819	2	ANSM	AGONIST-ANTAGONIST OPIOIDS	NO2A-001
NALBUPHINE	7238	2	ANSM	AGONIST-ANTAGONIST OPIOIDS	NO2A-001
CARBAMAZEPINE	2002	16	ANSM	ANTICONVULSANT ENZYMATIC INDUCERS	N03A-001
FOSPHENYTOIN	72236	16	ANSM	ANTICONVULSANT ENZYMATIC INDUCERS	N03A-001
PHENOBARBITAL	8134	16	ANSM	ANTICONVULSANT ENZYMATIC INDUCERS	N03A-001
PHENYTOIN	8183	16	ANSM	ANTICONVULSANT ENZYMATIC INDUCERS	N03A-001
PRIMIDONE	8691	16	ANSM	ANTICONVULSANT ENZYMATIC INDUCERS	N03A-001
BAMBUTEROL	18751	32	ANSM	BETA-2 MIMETICS or BETA2 ADRENERGIC AGONISTS	R03C-001
INDACATEROL	1114326	32	ANSM	BETA-2 MIMETICS or BETA2 ADRENERGIC AGONISTS	R03C-001
OLODATEROL	1546059	32	ANSM	BETA-2 MIMETICS or BETA2 ADRENERGIC AGONISTS	R03C-001
SALBUTAMOL	435	32	ANSM	BETA-2 MIMETICS or BETA2 ADRENERGIC AGONISTS	R03C-001
TERBUTALINE 	10368	32	ANSM	BETA-2 MIMETICS or BETA2 ADRENERGIC AGONISTS	R03C-001
VILANTEROL	1424884	32	ANSM	BETA-2 MIMETICS or BETA2 ADRENERGIC AGONISTS	R03C-001
ADALIMUMAB	327361	26	ANSM	ANTI-TNF ALPHA	4ABO
CERTOLIZUMAB PEGOL	709271	26	ANSM	ANTI-TNF ALPHA	4ABO
ETANERCEPT 	214555	26	ANSM	ANTI-TNF ALPHA	4ABO
GOLIMUMAB	819300	26	ANSM	ANTI-TNF ALPHA	4ABO
INFLIXIMAB	191831	26	ANSM	ANTI-TNF ALPHA	4ABO
ACENOCOUMAROL	154	44	ANSM	VITAMIN K ANTAGONISTS	B01AA-001
FLUINDIONE	50097	44	ANSM	VITAMIN K ANTAGONISTS	B01AA-001
WARFARIN	11289	44	ANSM	VITAMIN K ANTAGONISTS	B01AA-001
ALIZAPRIDE	17311	17	ANSM	ANTIEMITIC NEUROLEPTICS	A03FA-001
METOCLOPRAMIDE	6915	17	ANSM	ANTIEMITIC NEUROLEPTICS	A03FA-001
AMBENONIUM	623	0	ANSM	ACETYLCHOLINESTERASE INHIBITORS	NO6DA-001
DONEPEZIL	135447	0	ANSM	ACETYLCHOLINESTERASE INHIBITORS	NO6DA-001
GALANTAMINE	4637	0	ANSM	ACETYLCHOLINESTERASE INHIBITORS	NO6DA-001
NEOSTIGMINE	7315	0	ANSM	ACETYLCHOLINESTERASE INHIBITORS	NO6DA-001
PYRIDOSTIGMINE	9000	0	ANSM	ACETYLCHOLINESTERASE INHIBITORS	NO6DA-001
RIVASTIGMINE	183379	0	ANSM	ACETYLCHOLINESTERASE INHIBITORS	NO6DA-001
AMIKACIN 	641	8	ANSM	AMINOGLYCOSIDES	J01GB-001
GENTAMICIN	142438	8	ANSM	AMINOGLYCOSIDES	J01GB-001
ISEPAMICIN	51522	8	ANSM	AMINOGLYCOSIDES	J01GB-001
NETILMICIN	7337	8	ANSM	AMINOGLYCOSIDES	J01GB-001
STREPTOMYCIN 	10109	8	ANSM	AMINOGLYCOSIDES	J01GB-001
TOBRAMYCIN	10627	8	ANSM	AMINOGLYCOSIDES	J01GB-001
ALIMEMAZINE	10825	27	ANSM	ATROPINIC MEDICATIONS	R06AA
AMITRIPTYLINE	704	27	ANSM	ATROPINIC MEDICATIONS	R06AA
AMOXAPINE	722	27	ANSM	ATROPINIC MEDICATIONS	R06AA
ATROPINE	1223	27	ANSM	ATROPINIC MEDICATIONS	R06AA
AZELASTINE	18603	27	ANSM	ATROPINIC MEDICATIONS	R06AA
BIPERIDEN	1589	27	ANSM	ATROPINIC MEDICATIONS	R06AA
BROMPHENIRAMINE	1767	27	ANSM	ATROPINIC MEDICATIONS	R06AA
CHLORPHENAMINE	2400	27	ANSM	ATROPINIC MEDICATIONS	R06AA
CHLORPROMAZINE 	2403	27	ANSM	ATROPINIC MEDICATIONS	R06AA
CLIDINIUM	1429809	27	ANSM	ATROPINIC MEDICATIONS	R06AA
CLOMIPRAMINE	2597	27	ANSM	ATROPINIC MEDICATIONS	R06AA
CLOZAPINE 	2626	27	ANSM	ATROPINIC MEDICATIONS	R06AA
CYAMEMAZINE	21877	27	ANSM	ATROPINIC MEDICATIONS	R06AA
CYCLOPENTOLATE	3001	27	ANSM	ATROPINIC MEDICATIONS	R06AA
CYPROHEPTADINE 	3013	27	ANSM	ATROPINIC MEDICATIONS	R06AA
DARIFENACIN 	136198	27	ANSM	ATROPINIC MEDICATIONS	R06AA
DEXCHLORPHENIRAMINE	22697	27	ANSM	ATROPINIC MEDICATIONS	R06AA
DIPHENHYDRAMINE DIACEFYLLINE		27	ANSM	ATROPINIC MEDICATIONS	R06AA
DIMENHYDRINATE	3444	27	ANSM	ATROPINIC MEDICATIONS	R06AA
DIPHENHYDRAMINE	3498	27	ANSM	ATROPINIC MEDICATIONS	R06AA
DISOPYRAMIDE 	3541	27	ANSM	ATROPINIC MEDICATIONS	R06AA
DOSULEPIN	3634	27	ANSM	ATROPINIC MEDICATIONS	R06AA
DOXEPIN	3638	27	ANSM	ATROPINIC MEDICATIONS	R06AA
DOXYLAMINE	3642	27	ANSM	ATROPINIC MEDICATIONS	R06AA
FESOTERODINE 	797195	27	ANSM	ATROPINIC MEDICATIONS	R06AA
FLUNARIZINE	4459	27	ANSM	ATROPINIC MEDICATIONS	R06AA
FLUPENTIXOL	4495	27	ANSM	ATROPINIC MEDICATIONS	R06AA
FLUPHENAZINE	4496	27	ANSM	ATROPINIC MEDICATIONS	R06AA
GLYCOPYRRONIUM	1546438	27	ANSM	ATROPINIC MEDICATIONS	R06AA
HOMATROPINE	27084	27	ANSM	ATROPINIC MEDICATIONS	R06AA
HYDROXYZINE	5553	27	ANSM	ATROPINIC MEDICATIONS	R06AA
IMIPRAMINE	5691	27	ANSM	ATROPINIC MEDICATIONS	R06AA
IPRATROPIUM	7213	27	ANSM	ATROPINIC MEDICATIONS	R06AA
ISOTHIPENDYL	28012	27	ANSM	ATROPINIC MEDICATIONS	R06AA
LEVOMEPROMAZINE	6852	27	ANSM	ATROPINIC MEDICATIONS	R06AA
LOXAPINE	6475	27	ANSM	ATROPINIC MEDICATIONS	R06AA
MAPROTILINE	6646	27	ANSM	ATROPINIC MEDICATIONS	R06AA
MECLOZINE	6676	27	ANSM	ATROPINIC MEDICATIONS	R06AA
MEPYRAMINE	9009	27	ANSM	ATROPINIC MEDICATIONS	R06AA
MEQUITAZINE 	29528	27	ANSM	ATROPINIC MEDICATIONS	R06AA
METOPIMAZINE	29954	27	ANSM	ATROPINIC MEDICATIONS	R06AA
MIZOLASTINE 	61455	27	ANSM	ATROPINIC MEDICATIONS	R06AA
NEFOPAM	7285	27	ANSM	ATROPINIC MEDICATIONS	R06AA
OXOMEMAZINE	234528	27	ANSM	ATROPINIC MEDICATIONS	R06AA
OXYBUTYNIN	32675	27	ANSM	ATROPINIC MEDICATIONS	R06AA
PHENIRAMINE	8132	27	ANSM	ATROPINIC MEDICATIONS	R06AA
PHENYLTOLOXAMINE	33408	27	ANSM	ATROPINIC MEDICATIONS	R06AA
PIMETHIXENE	33712	27	ANSM	ATROPINIC MEDICATIONS	R06AA
PIPOTIAZINE	8348	27	ANSM	ATROPINIC MEDICATIONS	R06AA
PIZOTIFEN	8373	27	ANSM	ATROPINIC MEDICATIONS	R06AA
PROMETHAZINE	8745	27	ANSM	ATROPINIC MEDICATIONS	R06AA
PROPERICIAZINE 	8766	27	ANSM	ATROPINIC MEDICATIONS	R06AA
QUETIAPINE	51272	27	ANSM	ATROPINIC MEDICATIONS	R06AA
QUINIDINE	9068	27	ANSM	ATROPINIC MEDICATIONS	R06AA
SCOPOLAMINE	9601	27	ANSM	ATROPINIC MEDICATIONS	R06AA
SOLIFENACIN 	322167	27	ANSM	ATROPINIC MEDICATIONS	R06AA
TOLTERODINE  		27	ANSM	ATROPINIC MEDICATIONS	R06AA
TRIHEXYPHENIDYL	10811	27	ANSM	ATROPINIC MEDICATIONS	R06AA
TRIMIPRAMINE	10834	27	ANSM	ATROPINIC MEDICATIONS	R06AA
TROPATEPINE	38876	27	ANSM	ATROPINIC MEDICATIONS	R06AA
TROPICAMIDE	10869	27	ANSM	ATROPINIC MEDICATIONS	R06AA
TROSPIUM	236778	27	ANSM	ATROPINIC MEDICATIONS	R06AA
ZUCLOPENTHIXOL	114176	27	ANSM	ATROPINIC MEDICATIONS	R06AA
ALENDRONIC ACID	236083	37	ANSM	BISPHOSPHONATES	M05B-001
CLODRONIC ACID	3350	37	ANSM	BISPHOSPHONATES	M05B-001
ETIDRONIC ACID	1356715	37	ANSM	BISPHOSPHONATES	M05B-001
