Drug Interaction ID	Drug 1 Name	Drug 1 RxCUI	Drug 1 Class Name	Drug 1 Code	Drug 2 Name	Drug 2 RxCUI	Drug 2 Class Name	Drug 2 Code	Clinical Source	Source File	Description	Severity	Comment
11	TELAPREVIR	1102261			ATORVASTATIN	83367			ANSM	494-TELAPREVIR.html	Increased risk of undesirable effects (concentration dependant) of the rhabdomyolysis type (decrease of the hepatic metabolism of the atorvastatin)	Contraindication	
12	TELAPREVIR	1102261			COLCHICINE	2683			ANSM	494-TELAPREVIR.html	Risk of increase of the undesirable effects of the colchicine, due to decrease of its metabolism	Not recommended	In particular with renal and hepatic insufficiency.
13	TELAPREVIR	1102261			DIGOXIN	3407			ANSM	494-TELAPREVIR.html	Increase of the digoxinemia	Precaution for use	Clinical monitoring, laboratory tests, and adjustment, if needed, of the dosage of the digoxin during the treatment with the telaprevir and after it is stopped.
14	TELAPREVIR	1102261					NON-CONTRACEPTIVE ESTROGENS	G03C-001	ANSM	494-TELAPREVIR.html	Decrease of the effectiveness of the estrogen	Precaution for use	Clinical monitoring and possible adjustment of the dosage of the hormonal treatment during the administration of the telaprevir and after it is stopped.
15	TELAPREVIR	1102261					COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001	ANSM	494-TELAPREVIR.html	Risk of decrease of the contraceptive effectiveness due to increase of the hepatic metabolism of the hormonal contraceptive by the telaprevir	Precaution for use	Use an additional or alternative, reliable contraceptive method during the administration of the substances together and two cycles after.
16	TELAPREVIR	1102261					IMMUNOSUPPRESSANTS	L04A	ANSM	494-TELAPREVIR.html	Increase of the plasma concentrations of the immunosuppressant due to inhibition of its hepatic metabolism by the telaprevir	Precaution for use	Blood concentration dosage of the immunosuppressant, testing of the renal function, and adjustment of its dosage during the administration of the substances together and afterit is stopped.
17	TELAPREVIR	1102261					TYPE 5 PHOSPHODIESTERASE INHIBITORS	G04BE	ANSM	494-TELAPREVIR.html	Large increase of the plasma concentrations of the PDE5 inhibitor, with risk of severe hypotension	Contraindication	-in cases of pulmonary artery hypertension
18	TELAPREVIR	1102261					RITONAVIR BOOSTED PROTEASE INHIBITORS	J05AE-002	ANSM	494-TELAPREVIR.html	Decrease of the concentrations of the telaprevir and of the darunavir or of the fosamprenavir, with risk of therapeutic failure	Not recommended	
19	TELAPREVIR	1102261			MIDAZOLAM	6960			ANSM	494-TELAPREVIR.html	Increase of the plasma concentrations of medazolam due to decrease of its hepatic metabolism, with increase of sedation	Contraindication	-with the midazolam by mouth
20	TELAPREVIR	1102261			ST JOHNS WORT	258326			ANSM	494-TELAPREVIR.html	Risk of very large decrease of the concentrations of telaprevir	Contraindication	
21	TELAPREVIR	1102261			RIFAMPICIN	9384			ANSM	494-TELAPREVIR.html	Very large decrease of the concentrations of telaprevir	Contraindication	
22	TELAPREVIR	1102261			SIMVASTATIN	36567			ANSM	494-TELAPREVIR.html	Increased risk of undesirable effects (concentration dependant) of the rhabdomyolysis type (decrease of the hepatic metabolism of the simvastatin	Contraindication	
23			PROGESTIN CONTRACEPTIVES	G03-001	APREPITANT	358255			ANSM	424-PROGESTIN-CONTRACEPTIVES.html	(Except IUD), decrease of the progestin, with risk of lower contraceptive effectiveness	Precaution for use	Use another method of contraception, in particular a barrier method or IUD, during the length of time that these are administered togetherand one cycle after.
24			PROGESTIN CONTRACEPTIVES	G03-001	BOCEPREVIR	1102129			ANSM	424-PROGESTIN-CONTRACEPTIVES.html	Aside from the combination ethinylestradiol (0.035mg)/norethisterone (1 mg), risk of decrease of the contraceptive effectiveness due to increase of the hepatic metabolism of the hormonal contraceptive by the boceprevir	Precaution for use	Use an additional or alternative, reliable contraceptive method during the administration of these medications together.
25			PROGESTIN CONTRACEPTIVES	G03-001	BOSENTAN	75207			ANSM	424-PROGESTIN-CONTRACEPTIVES.html	Risk of decrease of the effectiveness of the hormonal contraceptive due to increase of its hepatic metabolism	Precaution for use	Use an additional or alternative, reliable contraceptive method during the administration of these medications together and a cycle after.
26			PROGESTIN CONTRACEPTIVES	G03-001	GRISEOFULVIN	5021			ANSM	424-PROGESTIN-CONTRACEPTIVES.html	Risk of decrease of the effectiveness of the hormonal contraceptive due to increase of its hepatic metabolism	Precaution for use	Use an additional or alternative, reliable contraceptive method during the administration of these medications together and a cycle after.
27			PROGESTIN CONTRACEPTIVES	G03-001			ENZYMATIC INDUCERS	N03-J05-001	ANSM	424-PROGESTIN-CONTRACEPTIVES.html	Decrease of the contraceptive effectiveness of the hormonal contraceptive, due to increase of its metabolism by the inducer	Not recommended	Use an additional or alternative, reliable contraceptive method, in particular a barrier type, during the administration of these medications together and a cycle after.
28			PROGESTIN CONTRACEPTIVES	G03-001			RITONAVIR BOOSTED PROTEASE INHIBITORS	J05AE-002	ANSM	424-PROGESTIN-CONTRACEPTIVES.html	Risk of decrease of the contraceptive effectiveness because of decrease of the concentrations of hormonal contraceptive, due to the increase of its hepatic metabolism by the ritonavir	Not recommended	Another method of contraception, in particular a condom or IUD, should be used during the time the substances are administered together and one cycle following.
29			PROGESTIN CONTRACEPTIVES	G03-001	ST JOHNS WORT	258326			ANSM	424-PROGESTIN-CONTRACEPTIVES.html	Decrease of the plasma concentrations of the hormonal contraceptive, by reason of the enzymatic inducer effect of the St Johns wort, with risk of reduction of effectiveness, even complete loss of the effect, which can have possibly serious consequences (pregnancy)	Contraindication	
30			PROGESTIN CONTRACEPTIVES	G03-001	NELFINAVIR	134527			ANSM	424-PROGESTIN-CONTRACEPTIVES.html	Risk of decrease of the contraceptive effectiveness due to decrease of the concentrations of hormonal contraceptive	Not recommended	Another contraceptive method, in particular of the barrier type (condom or IUD), should be used during the length of the administration of the substances together and one cycle following.
31			PROGESTIN CONTRACEPTIVES	G03-001	PERAMPANEL	1356552			ANSM	424-PROGESTIN-CONTRACEPTIVES.html	For doses of perampanel >=12 mg/day: Risk of decrease of the contraceptive effectiveness	Not recommended	Another method of contraception, in particular a barrier method or IUD, should be used.
32			PROGESTIN CONTRACEPTIVES	G03-001	ULIPRISTAL	1005921			ANSM	424-PROGESTIN-CONTRACEPTIVES.html	Risk of antagonism of the effects of the progestin contraceptive	Not recommended	Do not restart the progestin contraceptive treatment fewer than 12 days after stopping the ulipristal.
33	CLONIDINE	2599					TRICYCLIC ANTIDEPRESSANTS	N06AA-001	ANSM	132-CLONIDINE.html	Described for desipramine, imipramine:inhibition of the antihypertensive effect of the clonidine (antagonism at the level of the adrenergic receptors)	Not recommended	
34	CLONIDINE	2599			DILTIAZEM	3443			ANSM	132-CLONIDINE.html	Disorders of autoregulation (disorders of atrioventricular conduction due to addition of the negative effects on conduction)	Take into account	
35	CLONIDINE	2599			VERAPAMIL	11170			ANSM	132-CLONIDINE.html	Disorders of autoregulation (disorders of atrioventricular conduction due to the addition of the negative effects on conduction)	Take into account	
36	CLONIDINE	2599			YOHIMBINE	220982			ANSM	132-CLONIDINE.html	Possible inhibition of the antihypertensive activity due to antagonism at the level of the receptors	Not recommended	
37	DANTROLENE	3105					DIHYDROPYRIDINES	C08CA-002	ANSM	152-DANTROLENE.html	With the dantrolene administered via IV: cases of fatal ventricular fibrillations are constantly observed in animals when verapamil and dantrolene are administered via IV. The administration of a calcium channel blocker and dantrolene is thus potentially dangerous. However, some patients have received nifedipine and dantrolene together without incident	Not recommended	
38	DANTROLENE	3105			DILTIAZEM	3443			ANSM	152-DANTROLENE.html	With the dantrolene administered by IV: with animals, fatal cases of ventricular fibrillations are constantly observed when verapamil and dantrolene are administered by IV route. The administration of a calcium channel blocker and dantrolene together is thus potentially dangerous. However, some patients have received nifedipine and dantrolene together without incident	Contraindication	
39	DANTROLENE	3105			VERAPAMIL	11170			ANSM	152-DANTROLENE.html	With the dantrolene administered by IV: with animals, fatal cases of ventricular fibrillations are constantly observed when verapamil and dantrolene are administered by IV route. The administration of a calcium channel blocker and dantrolene together is thus potentially dangerous. However, some patients have received nifedipine and dantrolene together without incident	Contraindication	
40	LENALIDOMIDE	342369					HMG-COA REDUCTASE INHIBITORS (STATINS)	C10AA	ANSM	303-LENALIDOMIDE.html	Increased risk of onset of rhabdomyolysis	Precaution for use	Strengthen clinical monitoring and laboratory tests, especially during the first weeks of treatment.
41			LINCOSANIDES	J01FF0			CURARES	M03A-001	ANSM	308-LINCOSANIDES.html	Increase of the effects of the curares when the antibiotic is administered by parenteral and/or peritoneal route before, during, or after the curarizing agent	Precaution for use	Monitor the degree of curarisation at the end of anesthesia.
42			FLUOROQUINOLONES	J01MA-001			VITAMIN K ANTAGONISTS	B01AA-001	ANSM	232-FLUOROQUINOLONES.html	Increase of the effect of the vitamin K antagonist and of the risk of hemorrhage	Precaution for use	More frequent testing of the INR. Possible adjustment of the dosage of the vitamin K antagonist during the treatment with the fluoroquinolone and after it is stopped.
43			FLUOROQUINOLONES	J01MA-001	IRON	1431589			ANSM	232-FLUOROQUINOLONES.html	Decrease of the digestive absorption of the fluoroquinolones	Precaution for use	Take the iron salts at a different time from the fluoroquinolones (more that 2 hours apart if possible).
44			FLUOROQUINOLONES	J01MA-001			GLUCOCORTICOIDS (EXCEPT HYDROCORTISONE)	A0-H0-001	ANSM	232-FLUOROQUINOLONES.html	Possible increase of the risk of tendinitis, even of rupture of the tendon (exceptional), particularly in patients receiving prolonged corticotherapy	Take into account	
45			FLUOROQUINOLONES	J01MA-001	MYCOPHENOLATE MOFETIL				ANSM	232-FLUOROQUINOLONES.html	Decrease of the concentrations of the mycophenolic acid by about a third, with potential risk of reduction of effectiveness.	Take into account	
46			FLUOROQUINOLONES	J01MA-001	STRONTIUM	81638			ANSM	232-FLUOROQUINOLONES.html	Decrease of the digestive absorption of the strontium	Precaution for use	Take the strontium at a different time from the fluoroquinolones (more than two hours apart if possible).
47			FLUOROQUINOLONES	J01MA-001	SUCRALFATE	10156			ANSM	232-FLUOROQUINOLONES.html	Decrease of the digestive absorption of the fluoroquinolones	Precaution for use	Take the sucralfate at a different time from the fluoroquinolone (more than 2 hours apart if possible).
48			FLUOROQUINOLONES	J01MA-001	ZINC	1431163			ANSM	232-FLUOROQUINOLONES.html	Decrease of the digestive absorption of the fluoroquinolones	Precaution for use	Take the zinc salts at a different time from the fluoroquinlones (more than 2 hours apart if possible).
49	DEXAMETHASONE	3264			AMINOGLUTETHIMIDE	677			ANSM	166-DEXAMETHASONE.html	Decrease of the effectiveness of the dexamethasone, due to increase of its hepatic metabolism	Precaution for use	Adjustment of the dosage of the dexamethasone.
50	DEXAMETHASONE	3264			CLARITHROMYCIN	21212			ANSM	166-DEXAMETHASONE.html	Increase of the plasma concentrations of the dexamethasone due to decrease of its hepatic metabolism by the enzyme inhibitor, with risk of appearance of Cushing's syndrome	Take into account	
51	DEXAMETHASONE	3264			DACLATASVIR	1606218			ANSM	166-DEXAMETHASONE.html	With the dexamethasone for systemic use, risk of significant decrease of the plasma concentrations of daclatasvir due to increase of it hepatic metabolism by the inducer	Contraindication	With the exception of dexamethasone administered in a single dose.
52	DEXAMETHASONE	3264			ERYTHROMYCIN	4053			ANSM	166-DEXAMETHASONE.html	Increase of the plasma concentrations of the dexamethasone due to decrease of its hepatic metabolism by the enzyme inhibitor, with risk of appearance of Cushing's syndrome	Take into account	
53	DEXAMETHASONE	3264					RITONAVIR BOOSTED PROTEASE INHIBITORS	J05AE-002	ANSM	166-DEXAMETHASONE.html	Increase of the plasma concentrations of the dexamethasone due to decrease of its hepatic metabolism by the protease inhibitor, with risk of appearance of Cushing's syndrome	Take into account	
54	DEXAMETHASONE	3264			ITRACONAZOLE	28031			ANSM	166-DEXAMETHASONE.html	Increase of the plasma concentrations of the dexamethasone due to decrease of its hepatic metabolism by the enzyme inhibitor, with risk of appearance of Cushing's syndrome	Take into account	
55	DEXAMETHASONE	3264			KETOCONAZOLE	6135			ANSM	166-DEXAMETHASONE.html	Increase of the plasma concentrations of the dexamethasone due to decrease of its hepatic metabolism by the enzyme inhibitor, with risk of appearance of Cushing's syndrome	Take into account	
56	DEXAMETHASONE	3264			NELFINAVIR	134527			ANSM	166-DEXAMETHASONE.html	Increase of the plasma concentrations of the dexamethasone due to decrease of its hepatic metabolism by the enzyme inhibitor, with risk of appearance of Cushing's syndrome	Take into account	
57	DEXAMETHASONE	3264			POSACONAZOLE	282446			ANSM	166-DEXAMETHASONE.html	Increase of the plasma concentrations of the dexamethasone due to decrease of its hepatic metabolism by the enzyme inhibitor, with risk of appearance of Cushing's syndrome	Take into account	
58	DEXAMETHASONE	3264			PRAZIQUANTEL	8628			ANSM	166-DEXAMETHASONE.html	Decrease of the plasma concentrations of the praziquantel, with risk of failure of the treatment, due to increase of the hepatic metabolism of the praziquantel by the dexamethasone.	Precaution for use	Separate the administration of the two medications by at least a week.
59	DEXAMETHASONE	3264			RILPIVIRINE	1102270			ANSM	166-DEXAMETHASONE.html	With the dexmethasone for systemic use, risk of decrease of the plasma concentrations of rilpivirine due to increase of its hepatic metaolism by the dexamethasone	Contraindication	With the exception of dexamethasone administered in a single dose.
60	DEXAMETHASONE	3264			SIMEPREVIR	1482790			ANSM	166-DEXAMETHASONE.html	With the dexmethasone for systemic use, risk of decrease of the plasma concentrations of simeprevir due to increase of its hepatic metaolism by the dexamethasone	Not recommended	With the exception of dexamethasone administered in a single dose.
61	DEXAMETHASONE	3264			TELITHROMYCIN	274786			ANSM	166-DEXAMETHASONE.html	Increase of the plasma concentrations of the dexamethasone due to decrease of its hepatic metabolism by the enzyme inhibitor, with risk of appearance of Cushing's syndrome	Take into account	
62	DEXAMETHASONE	3264			VORICONAZOLE	121243			ANSM	166-DEXAMETHASONE.html	Increase of the plasma concentrations of the dexamethasone due to decrease of its hepatic metabolism by the enzyme inhibitor, with risk of appearance of Cushing's syndrome	Take into account	
63			LOW MOLECULAR WEIGHT HEPARINS AND RELATED DRUGS (PREVENTIVE DOSES)	B01AB-002	ACETYLSALICYLIC ACID	1191			ANSM	258-LOW-MOLECULAR-WEIGHT-HEPARINS-AND-RELATED-DRUGS-(PREVENTIVE-DOSES).html	The combination of medications acting at different levels of hemeostasis increases the risk of bleeding. Thus, with patients under 65 years of age, adding heparin or similar substances in preventive doses to acetylsalicylic acid, whatever the dosage, must be taken into account by maintaining clinical monitoring and possibly laboratory tests.	Take into account	
64			LOW MOLECULAR WEIGHT HEPARINS AND RELATED DRUGS (PREVENTIVE DOSES)	B01AB-002			NON STEROIDAL ANTI-INFLAMMATORY DRUGS	M01A-002	ANSM	258-LOW-MOLECULAR-WEIGHT-HEPARINS-AND-RELATED-DRUGS-(PREVENTIVE-DOSES).html	Increase of the risk of hemorrhage	Take into account	
65	DOCETAXEL	72962			DRONEDARONE	233698			ANSM	186-DOCETAXEL.html	Risk of increase of the toxicity of the docetaxel due to decrease of its metabolism	Precaution for use	Clinical monitoring and possible adjustment of the dosage of the docetaxel during the treatment with the enzyme inhibitor.
66	DOCETAXEL	72962					ENZYMATIC INDUCERS	N03-J05-001	ANSM	186-DOCETAXEL.html	Decrease of the concentrations of the cytotoxic due to increase of its metabolism by the inducer, with risk of lower effectiveness	Take into account	
67	DOCETAXEL	72962					STRONG INHIBITORS OF CYP3A4	J02-J05	ANSM	186-DOCETAXEL.html	Risk of increase of the undesirable dose-dependent effects of the docetaxel due to inhibition of its metabolism by the enzyme inhibitor	Precaution for use	Clinical monitoring and possible adjustment of the dosage of the docetaxel during the treatment with the enzyme inhibitor.
68			AGONIST-ANTAGONIST OPIOIDS	NO2A-001			STEP II OPIOID ANALGESICS	N02A-003	ANSM	360-AGONIST-ANTAGONIST-OPIOIDS.html	Decrease of the antalgic effect due to competitive blocking of the receptors, with risk of appearance of a withdrawal syndrome.	Not recommended	
69			AGONIST-ANTAGONIST OPIOIDS	NO2A-001			STEP III OPIOID ANALGESICS	N02A-002	ANSM	360-AGONIST-ANTAGONIST-OPIOIDS.html	Decrease of the antalgic effect due to competitive blocking of the receptors, with risk of appearance of a withdrawal syndrome	Contraindication	
70			AGONIST-ANTAGONIST OPIOIDS	NO2A-001			TRUE MORPHINE ANTITUSSIVES	R0GDA0-002	ANSM	360-AGONIST-ANTAGONIST-OPIOIDS.html	Decrease of the antalgic or antitussive effect of the opioid, due to competitive blocking of the receptors, with risk of appearance of a withdrawal syndrome	Not recommended	
71			AGONIST-ANTAGONIST OPIOIDS	NO2A-001	METHADONE	6813			ANSM	360-AGONIST-ANTAGONIST-OPIOIDS.html	Decrease of the effect of the methadone due to competitive blocking of the receptors	Contraindication	
72			AGONIST-ANTAGONIST OPIOIDS	NO2A-001			PARTIAL AGONIST OPIOIDS	PARAG	ANSM	360-AGONIST-ANTAGONIST-OPIOIDS.html	Risk of decrease of the antalgic effect and/or of appearance of a withdrawal syndrome	Contraindication	
73	IVACAFTOR	1243041			FLUCONAZOLE	4450			ANSM	296-IVACAFTOR.html	Increase of the concentrations of ivacaftor, with risks of increase of its undesirable effects	Precaution for use	Reduce the dose by half, that is 150 mg/day.
74	IVACAFTOR	1243041					ENZYMATIC INDUCERS	N03-J05-001	ANSM	296-IVACAFTOR.html	Large decrease of the concentrations of the ivacaftor, with risk of loss of effectiveness	Not recommended	
75	IVACAFTOR	1243041					STRONG INHIBITORS OF CYP3A4	J02-J05	ANSM	296-IVACAFTOR.html	Large increase of the concentrations of ivacaftor, with risks of increase of its undesirable effects	Precaution for use	Reduce the dose by a fourth, that is 150 mg every other day.
76	GUANETHIDINE	5036					IRREVERSIBLE MONOAMINE OXIDASE INHIBITORS (MAOI)	N06AF0	ANSM	252-GUANETHIDINE.html	With the guanethidine used by IV route: risk of unforeseeable vascular reactions, especially hypotension	Contraindication	Interrupt the treatment with the MAOI two weeks before the treatment with guanethidine.
77			SUBSTRATES AT RISK OF CYP3A4	L01N01	CRIZOTINIB	1148495			ANSM	474-SUBSTRATES-AT-RISK-OF-CYP3A4.html	Risk of increase of the toxicity of these molecules due to decrease of their metabolism and/or increase of their bioavailability by the crizotinib	Not recommended	
78			SUBSTRATES AT RISK OF CYP3A4	L01N01	IDELALISIB	1544460			ANSM	474-SUBSTRATES-AT-RISK-OF-CYP3A4.html	Increase of the plasma concentrations of the substrate due to decrease of its hepatic metabolism by the idealisib	Not recommended	
79			SUBSTRATES AT RISK OF CYP3A4	L01N01			STRONG INHIBITORS OF CYP3A4	J02-J05	ANSM	474-SUBSTRATES-AT-RISK-OF-CYP3A4.html	Increase of the undesirable effects particular to each substrate, with frequently severe consequences	Take into account	
80	YOHIMBINE	220982			CLONIDINE	2599			ANSM	537-YOHIMBINE.html	Possible inhibition of the antihypertensive activity due to antagonism at the level of the receptors	Not recommended	
81			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001	APREPITANT	358255			ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	Decrease of the concentrations of the estrogen-progestin or of the progestatif, with risk of lower contraceptive effectiveness.	Precaution for use	Another method of contraception, in particular a barrier method, should be used during the treatment with the aprepitant and a cycle after.
82			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001	BOCEPREVIR	1102129			ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	Except for the combination with ethinylestradiol (0.035 mg)/norethisterone (1mg), risk of decrease of the contraceptive effectiveness due to increase of the hepatic metabolism of the hormonal contraceptive by the boceprevir.	Precaution for use	Use an additional or alternative reliable contraceptive method during the length of the administration of boceprevir.
83			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001	BOSENTAN	75207			ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	Risk of decrease of the contraceptive effectiveness due to increase of the hepatic metabolism of the hormonal contraceptive	Precaution for use	Use a reliable contraceptive method, additional or alternative, during the length of time that the two substances are administered together and for a cycle after.
84			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001	ELVITEGRAVIR	1306286			ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	Decrease of the concentrations of ethinylestradiol, with risk of lower contraceptive effectiveness. In addition, increase of the concentrations of the progestin	Precaution for use	Use a combined estrogen-progestin contraceptive with at least 30ug of ethinylestradiol
85			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001	GRISEOFULVIN	5021			ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	Risk of decrease of the contraceptive effectiveness due to increase of its hepatic metabolism	Precaution for use	Another method of contraception, in particular a barrier method or IUD, should be used during the time the two substances are administered together and a cycle after.
86			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001			ENZYMATIC INDUCERS	N03-J05-001	ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	Decrease of the contraceptive effectiveness, due to increase of the hepatic metabolism of the hormonal contraceptive by the inducer	Not recommended	Another method of contraception, in particular a barrier method or IUD, should be used during the time the substances are administered together and a cycle after.
87			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001			RITONAVIR BOOSTED PROTEASE INHIBITORS	J05AE-002	ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	Risk of decrease of the contraceptive effectiveness due to decrease of the concentrations of the hormonal contraceptive because of the increase of its hepatic metabolism by the ritonavir.	Not recommended	Another method of contraception, in particular a barrier method (condom or IUD), should be used during the length of the treatment with these medications together and a cycle following.
88			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001	LAMOTRIGINE	28439			ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	Risk of decrease of the concentrations and of the effectiveness of the lamotrigine due to increase of its hepatic metabolism	Not recommended	-avoid starting an oral contraceptive during the period of adjustment of the dosage of the lamotrigine.
89			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001	ST JOHNS WORT	258326			ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	Decrease of the plasma concentrations of the hormonal contraceptive, by reason of the enzymatic inducer effect of the St Johns Wort, with risk of reduction of effectiveness, even complete loss of the effect, of the contraceptive, which can have possibly serious consequences (pregnancy).	Contraindication	
90			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001	MODAFINIL	30125			ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	Risk of decrease of the contraceptive effectiveness, during the treatment and one cycle after the end of the treatment with the modafinil, due to its enzymatic inducer potential	Not recommended	Use oral contraceptives containing estrogens and progestins which have 50 micrograms of estrogen or another method of contraception.
91			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001	NELFINAVIR	134527			ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	Risk of decrease of the contraceptive effectiveness due to decrease of the concentrations of the hormonal contraceptive	Not recommended	Another method of contraception, in particular a barrier method (condom or IUD), should be used during the length of the treatment with these substances together and a cycle after.
92			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001	RUFINAMIDE	69036			ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	Moderate decrease of the concentrations of ethinylestradiol	Precaution for use	Another contraceptive method, in particular a barrier type or IUD, should be used.
93			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001	TELAPREVIR	1102261			ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	Risk of decrease of the contraceptive effectiveness by increase of the hepatic metabolism of the hormonal contraceptive by the telaprevir	Precaution for use	Use a reliable contraceptive method, additional or alternative, during the time these are administered together and two cycles following.
94			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001	TOPIRAMATE	38404			ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	For doses of topiramate >=200 mg/day: Risk of decrease of the contraceptive effectiveness due to decrease of the concentrations of estrogen	Not recommended	Another method of contraception, in particular a barrier method or IUD, should be used.
95			COMBINED ESTROGEN-PROGESTIN CONTRACEPTIVES	G03AB-001	VEMURAFENIB	1147220			ANSM	211-COMBINED-ESTROGEN-PROGESTIN-CONTRACEPTIVES.html	Risk of decrease of the concentrations of the combined estrogen-progestin contraceptive with the consequence of a risk of ineffectiveness	Not recommended	
96	CLADRIBINE	44157			LAMIVUDINE	68244			ANSM	126-CLADRIBINE.html	Risk of decrease of the effectiveness of the cladribine by the lamivudine	Not recommended	
97	CIMETIDINE	2541			ALFENTANIL	480			ANSM	122-CIMETIDINE.html	With the cimetidine used in doses greater than or equal to 800mg/day: increase of the opioid analgesic's effect of respiratory depression due to decrease of its hepatic metabolism	Precaution for use	Adjust the dosage of the alfentanil when administered with the cimetidine.
