object_drugbank,object,precipitant_drugbank,precipitant
DB00047,Insulin Glargine,DB00052,Somatropin recombinant
DB00047,Insulin Glargine,DB00489,Sotalol
DB00047,Insulin Glargine,DB00373,Timolol
DB00051,Adalimumab,DB06168,Canakinumab
DB00051,Adalimumab,DB06372,Rilonacept
DB00051,Adalimumab,DB08895,Tofacitinib
DB00051,Adalimumab,DB00072,Trastuzumab
DB00052,Somatropin recombinant,DB00284,Acarbose
DB00052,Somatropin recombinant,DB00672,Chlorpropamide
DB00052,Somatropin recombinant,DB01276,Exenatide
DB00052,Somatropin recombinant,DB01120,Gliclazide
DB00052,Somatropin recombinant,DB00222,Glimepiride
DB00052,Somatropin recombinant,DB01067,Glipizide
DB00052,Somatropin recombinant,DB01016,Glyburide
DB00052,Somatropin recombinant,DB01306,Insulin Aspart
DB00052,Somatropin recombinant,DB01307,Insulin Detemir
DB00052,Somatropin recombinant,DB00047,Insulin Glargine
DB00052,Somatropin recombinant,DB01309,Insulin Glulisine
DB00052,Somatropin recombinant,DB06655,Liraglutide
DB00052,Somatropin recombinant,DB00331,Metformin
DB00052,Somatropin recombinant,DB00491,Miglitol
DB00052,Somatropin recombinant,DB00731,Nateglinide
DB00052,Somatropin recombinant,DB01132,Pioglitazone
DB00052,Somatropin recombinant,DB00412,Rosiglitazone
DB00052,Somatropin recombinant,DB06335,Saxagliptin
DB00052,Somatropin recombinant,DB01261,Sitagliptin
DB00052,Somatropin recombinant,DB00839,Tolazamide
DB00052,Somatropin recombinant,DB01124,Tolbutamide
DB00054,Abciximab,DB01381,Ginkgo biloba
DB00054,Abciximab,DB00775,Tirofiban
DB00054,Abciximab,DB00072,Trastuzumab
DB00054,Abciximab,DB00374,Treprostinil
DB00055,Drotrecogin alfa,DB00758,Clopidogrel
DB00055,Drotrecogin alfa,DB06779,Dalteparin
DB00055,Drotrecogin alfa,DB01225,Enoxaparin
DB00055,Drotrecogin alfa,DB00569,Fondaparinux sodium
DB00055,Drotrecogin alfa,DB01109,Heparin
DB00055,Drotrecogin alfa,DB01009,Ketoprofen
DB00055,Drotrecogin alfa,DB08813,Nadroparin
DB00055,Drotrecogin alfa,DB00031,Tenecteplase
DB00055,Drotrecogin alfa,DB06822,Tinzaparin
DB00055,Drotrecogin alfa,DB00500,Tolmetin
DB00055,Drotrecogin alfa,DB00374,Treprostinil
DB00055,Drotrecogin alfa,DB00013,Urokinase
DB00055,Drotrecogin alfa,DB06684,Vilazodone
DB00055,Drotrecogin alfa,DB00682,Warfarin
DB00059,Pegaspargase,DB00072,Trastuzumab
DB00063,Eptifibatide,DB01381,Ginkgo biloba
DB00063,Eptifibatide,DB00775,Tirofiban
DB00063,Eptifibatide,DB00374,Treprostinil
DB00065,Infliximab,DB06674,golimumab
DB00065,Infliximab,DB06372,Rilonacept
DB00065,Infliximab,DB08895,Tofacitinib
DB00065,Infliximab,DB00072,Trastuzumab
DB00068,Interferon beta-1b,DB00495,Zidovudine
DB00072,Trastuzumab,DB01281,Abatacept
DB00072,Trastuzumab,DB00054,Abciximab
DB00072,Trastuzumab,DB00051,Adalimumab
DB00072,Trastuzumab,DB00087,Alemtuzumab
DB00072,Trastuzumab,DB00488,Altretamine
DB00072,Trastuzumab,DB00276,Amsacrine
DB00072,Trastuzumab,DB00026,Anakinra
DB00072,Trastuzumab,DB00023,Asparaginase
DB00072,Trastuzumab,DB00928,Azacitidine
DB00072,Trastuzumab,DB00993,Azathioprine
DB00072,Trastuzumab,DB00074,Basiliximab
DB00072,Trastuzumab,DB00443,Betamethasone
DB00072,Trastuzumab,DB00290,Bleomycin
DB00072,Trastuzumab,DB01008,Busulfan
DB00072,Trastuzumab,DB01101,Capecitabine
DB00072,Trastuzumab,DB00958,Carboplatin
DB00072,Trastuzumab,DB00262,Carmustine
DB00072,Trastuzumab,DB00291,Chlorambucil
DB00072,Trastuzumab,DB00515,Cisplatin
DB00072,Trastuzumab,DB00242,Cladribine
DB00072,Trastuzumab,DB00631,Clofarabine
DB00072,Trastuzumab,DB01285,Corticotropin
DB00072,Trastuzumab,DB01380,Cortisone acetate
DB00072,Trastuzumab,DB00531,Cyclophosphamide
DB00072,Trastuzumab,DB00091,Cyclosporine
DB00072,Trastuzumab,DB00987,Cytarabine
DB00072,Trastuzumab,DB00851,Dacarbazine
DB00072,Trastuzumab,DB00111,Daclizumab
DB00072,Trastuzumab,DB00970,Dactinomycin
DB00072,Trastuzumab,DB00694,Daunorubicin
DB00072,Trastuzumab,DB00004,Denileukin diftitox
DB00072,Trastuzumab,DB01234,Dexamethasone
DB00072,Trastuzumab,DB01248,Docetaxel
DB00072,Trastuzumab,DB00997,Doxorubicin
DB00072,Trastuzumab,DB00095,Efalizumab
DB00072,Trastuzumab,DB00445,Epirubicin
DB00072,Trastuzumab,DB00530,Erlotinib
DB00072,Trastuzumab,DB01196,Estramustine
DB00072,Trastuzumab,DB00005,Etanercept
DB00072,Trastuzumab,DB00773,Etoposide
DB00072,Trastuzumab,DB00322,Floxuridine
DB00072,Trastuzumab,DB01073,Fludarabine
DB00072,Trastuzumab,DB00687,Fludrocortisone
DB00072,Trastuzumab,DB00544,Fluorouracil
DB00072,Trastuzumab,DB00317,Gefitinib
DB00072,Trastuzumab,DB00441,Gemcitabine
DB00072,Trastuzumab,DB00741,Hydrocortisone
DB00072,Trastuzumab,DB01005,Hydroxyurea
DB00072,Trastuzumab,DB00078,Ibritumomab
DB00072,Trastuzumab,DB01177,Idarubicin
DB00072,Trastuzumab,DB01181,Ifosfamide
DB00072,Trastuzumab,DB00619,Imatinib
DB00072,Trastuzumab,DB00065,Infliximab
DB00072,Trastuzumab,DB00762,Irinotecan
DB00072,Trastuzumab,DB00480,Lenalidomide
DB00072,Trastuzumab,DB01206,Lomustine
DB00072,Trastuzumab,DB00888,Mechlorethamine
DB00072,Trastuzumab,DB01042,Melphalan
DB00072,Trastuzumab,DB01033,Mercaptopurine
DB00072,Trastuzumab,DB00563,Methotrexate
DB00072,Trastuzumab,DB00959,Methylprednisolone
DB00072,Trastuzumab,DB00305,Mitomycin
DB00072,Trastuzumab,DB01204,Mitoxantrone
DB00072,Trastuzumab,DB00075,Muromonab
DB00072,Trastuzumab,DB00688,Mycophenolate mofetil
DB00072,Trastuzumab,DB01024,Mycophenolic acid
DB00072,Trastuzumab,DB00108,Natalizumab
DB00072,Trastuzumab,DB01280,Nelarabine
DB00072,Trastuzumab,DB04868,Nilotinib
DB00072,Trastuzumab,DB00526,Oxaliplatin
DB00072,Trastuzumab,DB01229,Paclitaxel
DB00072,Trastuzumab,DB00059,Pegaspargase
DB00072,Trastuzumab,DB00552,Pentostatin
DB00072,Trastuzumab,DB00860,Prednisolone
DB00072,Trastuzumab,DB00635,Prednisone
DB00072,Trastuzumab,DB01168,Procarbazine
DB00072,Trastuzumab,DB06372,Rilonacept
DB00072,Trastuzumab,DB00073,Rituximab
DB00072,Trastuzumab,DB00877,Sirolimus
DB00072,Trastuzumab,DB00398,Sorafenib
DB00072,Trastuzumab,DB00428,Streptozocin
DB00072,Trastuzumab,DB01268,Sunitinib
DB00072,Trastuzumab,DB00864,Tacrolimus
DB00072,Trastuzumab,DB00853,Temozolomide
DB00072,Trastuzumab,DB06287,Temsirolimus
DB00072,Trastuzumab,DB00444,Teniposide
DB00072,Trastuzumab,DB01041,Thalidomide
DB00072,Trastuzumab,DB00352,Thioguanine
DB00072,Trastuzumab,DB04572,Thiotepa
DB00072,Trastuzumab,DB08895,Tofacitinib
DB00072,Trastuzumab,DB01030,Topotecan
DB00072,Trastuzumab,DB00081,Tositumomab
DB00072,Trastuzumab,DB00755,Tretinoin
DB00072,Trastuzumab,DB00620,Triamcinolone
DB00072,Trastuzumab,DB00385,Valrubicin
DB00072,Trastuzumab,DB00570,Vinblastine
DB00072,Trastuzumab,DB00541,Vincristine
DB00072,Trastuzumab,DB00361,Vinorelbine
DB00073,Rituximab,DB08822,Azilsartan medoxomil
DB00073,Rituximab,DB00195,Betaxolol
DB00073,Rituximab,DB08904,Certolizumab pegol
DB00073,Rituximab,DB00880,Chlorothiazide
DB00073,Rituximab,DB00966,Telmisartan
DB00073,Rituximab,DB01162,Terazosin
DB00073,Rituximab,DB08895,Tofacitinib
DB00073,Rituximab,DB00839,Tolazamide
DB00073,Rituximab,DB00214,Torasemide
DB00073,Rituximab,DB00519,Trandolapril
DB00073,Rituximab,DB00072,Trastuzumab
DB00073,Rituximab,DB01021,Trichlormethiazide
DB00073,Rituximab,DB00177,Valsartan
DB00073,Rituximab,DB00661,Verapamil
DB00074,Basiliximab,DB06168,Canakinumab
DB00074,Basiliximab,DB06372,Rilonacept
DB00074,Basiliximab,DB00072,Trastuzumab
DB00075,Muromonab,DB00091,Cyclosporine
DB00075,Muromonab,DB06372,Rilonacept
DB00075,Muromonab,DB00072,Trastuzumab
DB00076,Digoxin Immune Fab (Ovine),DB08810,Cinitapride
DB00078,Ibritumomab,DB00072,Trastuzumab
DB00081,Tositumomab,DB00108,Natalizumab
DB00081,Tositumomab,DB00072,Trastuzumab
DB00082,Pegvisomant,DB01551,Dihydrocodeine
DB00085,Pancrelipase,DB01592,Iron
DB00086,Streptokinase,DB00208,Ticlopidine
DB00087,Alemtuzumab,DB00072,Trastuzumab
DB00091,Cyclosporine,DB00819,Acetazolamide
DB00091,Cyclosporine,DB00437,Allopurinol
DB00091,Cyclosporine,DB01118,Amiodarone
DB00091,Cyclosporine,DB01351,Amobarbital
DB00091,Cyclosporine,DB00681,Amphotericin B
DB00091,Cyclosporine,DB00701,Amprenavir
DB00091,Cyclosporine,DB01352,Aprobarbital
DB00091,Cyclosporine,DB01072,Atazanavir
DB00091,Cyclosporine,DB01076,Atorvastatin
DB00091,Cyclosporine,DB00207,Azithromycin
DB00091,Cyclosporine,DB01393,Bezafibrate
DB00091,Cyclosporine,DB00559,Bosentan
DB00091,Cyclosporine,DB01156,Bupropion
DB00091,Cyclosporine,DB00237,Butabarbital
DB00091,Cyclosporine,DB00241,Butalbital
DB00091,Cyclosporine,DB01353,Butethal
DB00091,Cyclosporine,DB00564,Carbamazepine
DB00091,Cyclosporine,DB01136,Carvedilol
DB00091,Cyclosporine,DB00520,Caspofungin
DB00091,Cyclosporine,DB00439,Cerivastatin
DB00091,Cyclosporine,DB00446,Chloramphenicol
DB00091,Cyclosporine,DB00608,Chloroquine
DB00091,Cyclosporine,DB01597,Cilastatin
DB00091,Cyclosporine,DB00537,Ciprofloxacin
DB00091,Cyclosporine,DB01211,Clarithromycin
DB00091,Cyclosporine,DB01190,Clindamycin
DB00091,Cyclosporine,DB01394,Colchicine
DB00091,Cyclosporine,DB01406,Danazol
DB00091,Cyclosporine,DB00586,Diclofenac
DB00091,Cyclosporine,DB00390,Digoxin
DB00091,Cyclosporine,DB01341,Dihydroquinidine barbiturate
DB00091,Cyclosporine,DB00343,Diltiazem
DB00091,Cyclosporine,DB04855,Dronedarone
DB00091,Cyclosporine,DB00625,Efavirenz
DB00091,Cyclosporine,DB00199,Erythromycin
DB00091,Cyclosporine,DB00977,Ethinyl Estradiol
DB00091,Cyclosporine,DB00754,Ethotoin
DB00091,Cyclosporine,DB00749,Etodolac
DB00091,Cyclosporine,DB00773,Etoposide
DB00091,Cyclosporine,DB00973,Ezetimibe
DB00091,Cyclosporine,DB00573,Fenoprofen
DB00091,Cyclosporine,DB08874,Fidaxomicin
DB00091,Cyclosporine,DB00196,Fluconazole
DB00091,Cyclosporine,DB00472,Fluoxetine
DB00091,Cyclosporine,DB00712,Flurbiprofen
DB00091,Cyclosporine,DB01095,Fluvastatin
DB00091,Cyclosporine,DB01319,Fosamprenavir
DB00091,Cyclosporine,DB00529,Foscarnet
DB00091,Cyclosporine,DB01320,Fosphenytoin
DB00091,Cyclosporine,DB00222,Glimepiride
DB00091,Cyclosporine,DB01067,Glipizide
DB00091,Cyclosporine,DB01016,Glyburide
DB00091,Cyclosporine,DB00400,Griseofulvin
DB00091,Cyclosporine,DB01354,Heptabarbital
DB00091,Cyclosporine,DB01355,Hexobarbital
DB00091,Cyclosporine,DB01050,Ibuprofen
DB00091,Cyclosporine,DB00619,Imatinib
DB00091,Cyclosporine,DB01598,Imipenem
DB00091,Cyclosporine,DB00224,Indinavir
DB00091,Cyclosporine,DB00328,Indomethacin
DB00091,Cyclosporine,DB01167,Itraconazole
DB00091,Cyclosporine,DB01321,Josamycin
DB00091,Cyclosporine,DB01026,Ketoconazole
DB00091,Cyclosporine,DB01009,Ketoprofen
DB00091,Cyclosporine,DB00227,Lovastatin
DB00091,Cyclosporine,DB00939,Meclofenamic acid
DB00091,Cyclosporine,DB00784,Mefenamic acid
DB00091,Cyclosporine,DB01042,Melphalan
DB00091,Cyclosporine,DB00532,Mephenytoin
DB00091,Cyclosporine,DB01357,Mestranol
DB00091,Cyclosporine,DB00474,Methohexital
DB00091,Cyclosporine,DB00563,Methotrexate
DB00091,Cyclosporine,DB00422,Methylphenidate
DB00091,Cyclosporine,DB00849,Methylphenobarbital
DB00091,Cyclosporine,DB01233,Metoclopramide
DB00091,Cyclosporine,DB00745,Modafinil
DB00091,Cyclosporine,DB00075,Muromonab
DB00091,Cyclosporine,DB00461,Nabumetone
DB00091,Cyclosporine,DB00607,Nafcillin
DB00091,Cyclosporine,DB00788,Naproxen
DB00091,Cyclosporine,DB01149,Nefazodone
DB00091,Cyclosporine,DB00220,Nelfinavir
DB00091,Cyclosporine,DB00622,Nicardipine
DB00091,Cyclosporine,DB01115,Nifedipine
DB00091,Cyclosporine,DB01059,Norfloxacin
DB00091,Cyclosporine,DB00104,Octreotide
DB00091,Cyclosporine,DB00338,Omeprazole
DB00091,Cyclosporine,DB01083,Orlistat
DB00091,Cyclosporine,DB00991,Oxaprozin
DB00091,Cyclosporine,DB00776,Oxcarbazepine
DB00091,Cyclosporine,DB00312,Pentobarbital
DB00091,Cyclosporine,DB01174,Phenobarbital
DB00091,Cyclosporine,DB00252,Phenytoin
DB00091,Cyclosporine,DB00554,Piroxicam
DB00091,Cyclosporine,DB08860,Pitavastatin
DB00091,Cyclosporine,DB01263,Posaconazole
DB00091,Cyclosporine,DB00175,Pravastatin
DB00091,Cyclosporine,DB00794,Primidone
DB00091,Cyclosporine,DB01599,Probucol
DB00091,Cyclosporine,DB01182,Propafenone
DB00091,Cyclosporine,DB00339,Pyrazinamide
DB00091,Cyclosporine,DB01346,Quinidine barbiturate
DB00091,Cyclosporine,DB01369,Quinupristin
DB00091,Cyclosporine,DB00912,Repaglinide
DB00091,Cyclosporine,DB00615,Rifabutin
DB00091,Cyclosporine,DB01045,Rifampicin
DB00091,Cyclosporine,DB06372,Rilonacept
DB00091,Cyclosporine,DB00503,Ritonavir
DB00091,Cyclosporine,DB01098,Rosuvastatin
DB00091,Cyclosporine,DB00778,Roxithromycin
DB00091,Cyclosporine,DB01232,Saquinavir
DB00091,Cyclosporine,DB00418,Secobarbital
DB00091,Cyclosporine,DB00658,Sevelamer
DB00091,Cyclosporine,DB01105,Sibutramine
DB00091,Cyclosporine,DB00641,Simvastatin
DB00091,Cyclosporine,DB00877,Sirolimus
DB00091,Cyclosporine,DB01323,St. John's Wort
DB00091,Cyclosporine,DB00359,Sulfadiazine
DB00091,Cyclosporine,DB01582,Sulfamethazine
DB00091,Cyclosporine,DB01015,Sulfamethoxazole
DB00091,Cyclosporine,DB00795,Sulfasalazine
DB00091,Cyclosporine,DB01138,Sulfinpyrazone
DB00091,Cyclosporine,DB00605,Sulindac
DB00091,Cyclosporine,DB00864,Tacrolimus
DB00091,Cyclosporine,DB00306,Talbutal
DB00091,Cyclosporine,DB00706,Tamsulosin
DB00091,Cyclosporine,DB05521,Telaprevir
DB00091,Cyclosporine,DB00976,Telithromycin
DB00091,Cyclosporine,DB00469,Tenoxicam
DB00091,Cyclosporine,DB00857,Terbinafine
DB00091,Cyclosporine,DB00894,Testolactone
DB00091,Cyclosporine,DB00624,Testosterone
DB00091,Cyclosporine,DB01420,Testosterone Propionate
DB00091,Cyclosporine,DB00599,Thiopental
DB00091,Cyclosporine,DB01600,Tiaprofenic acid
DB00091,Cyclosporine,DB00208,Ticlopidine
DB00091,Cyclosporine,DB00932,Tipranavir
DB00091,Cyclosporine,DB00684,Tobramycin
DB00091,Cyclosporine,DB08895,Tofacitinib
DB00091,Cyclosporine,DB00500,Tolmetin
DB00091,Cyclosporine,DB01036,Tolterodine
DB00091,Cyclosporine,DB01030,Topotecan
DB00091,Cyclosporine,DB00193,Tramadol
DB00091,Cyclosporine,DB00519,Trandolapril
DB00091,Cyclosporine,DB05275,transdermal testosterone gel
DB00091,Cyclosporine,DB00072,Trastuzumab
DB00091,Cyclosporine,DB00656,Trazodone
DB00091,Cyclosporine,DB00197,Troglitazone
DB00091,Cyclosporine,DB01361,Troleandomycin
DB00091,Cyclosporine,DB01586,Ursodeoxycholic acid
DB00091,Cyclosporine,DB00661,Verapamil
DB00091,Cyclosporine,DB00582,Voriconazole
DB00092,Alefacept,DB06168,Canakinumab
DB00092,Alefacept,DB06372,Rilonacept
DB00095,Efalizumab,DB01253,Ergonovine
DB00095,Efalizumab,DB06372,Rilonacept
DB00095,Efalizumab,DB00072,Trastuzumab
DB00098,Antithymocyte globulin,DB06168,Canakinumab
DB00098,Antithymocyte globulin,DB06372,Rilonacept
DB00099,Filgrastim,DB01030,Topotecan
DB00104,Octreotide,DB06697,Artemether
DB00104,Octreotide,DB00091,Cyclosporine
DB00104,Octreotide,DB01551,Dihydrocodeine
DB00104,Octreotide,DB00046,Insulin Lispro
DB00104,Octreotide,DB06708,Lumefantrine
DB00104,Octreotide,DB01369,Quinupristin
DB00104,Octreotide,DB00864,Tacrolimus
DB00104,Octreotide,DB01623,Thiothixene
DB00104,Octreotide,DB00539,Toremifene
DB00104,Octreotide,DB00726,Trimipramine
DB00104,Octreotide,DB00582,Voriconazole
DB00104,Octreotide,DB02546,Vorinostat
DB00104,Octreotide,DB00246,Ziprasidone
DB00104,Octreotide,DB01624,Zuclopenthixol
DB00104,Octreotide,DB08919,Zuclopenthixol acetate
DB00104,Octreotide,DB08920,Zuclopenthixol decanoate
DB00105,Interferon Alfa-2b, Recombinant,DB01223,Aminophylline
DB00105,Interferon Alfa-2b, Recombinant,DB00651,Dyphylline
DB00105,Interferon Alfa-2b, Recombinant,DB01303,Oxtriphylline
DB00105,Interferon Alfa-2b, Recombinant,DB00277,Theophylline
DB00106,Abarelix,DB00864,Tacrolimus
DB00106,Abarelix,DB01623,Thiothixene
DB00106,Abarelix,DB00539,Toremifene
DB00106,Abarelix,DB00726,Trimipramine
DB00106,Abarelix,DB00582,Voriconazole
DB00106,Abarelix,DB02546,Vorinostat
DB00106,Abarelix,DB00246,Ziprasidone
DB00106,Abarelix,DB01624,Zuclopenthixol
DB00106,Abarelix,DB08919,Zuclopenthixol acetate
DB00106,Abarelix,DB08920,Zuclopenthixol decanoate
DB00107,Oxytocin,DB00668,Epinephrine
DB00107,Oxytocin,DB00388,Phenylephrine
DB00108,Natalizumab,DB05773,ado-trastuzumab emtansine
DB00108,Natalizumab,DB00290,Bleomycin
DB00108,Natalizumab,DB08870,Brentuximab vedotin
DB00108,Natalizumab,DB06168,Canakinumab
DB00108,Natalizumab,DB00958,Carboplatin
DB00108,Natalizumab,DB00262,Carmustine
DB00108,Natalizumab,DB08904,Certolizumab pegol
DB00108,Natalizumab,DB00291,Chlorambucil
DB00108,Natalizumab,DB00515,Cisplatin
DB00108,Natalizumab,DB00242,Cladribine
DB00108,Natalizumab,DB00631,Clofarabine
DB00108,Natalizumab,DB06674,golimumab
DB00108,Natalizumab,DB04865,Homoharringtonine
DB00108,Natalizumab,DB01229,Paclitaxel
DB00108,Natalizumab,DB00864,Tacrolimus
DB00108,Natalizumab,DB00853,Temozolomide
DB00108,Natalizumab,DB06287,Temsirolimus
DB00108,Natalizumab,DB00444,Teniposide
DB00108,Natalizumab,DB08880,Teriflunomide
DB00108,Natalizumab,DB01041,Thalidomide
DB00108,Natalizumab,DB00352,Thioguanine
DB00108,Natalizumab,DB04572,Thiotepa
DB00108,Natalizumab,DB08895,Tofacitinib
DB00108,Natalizumab,DB01030,Topotecan
DB00108,Natalizumab,DB00081,Tositumomab
DB00108,Natalizumab,DB00072,Trastuzumab
DB00108,Natalizumab,DB00755,Tretinoin
DB00108,Natalizumab,DB00385,Valrubicin
DB00108,Natalizumab,DB00570,Vinblastine
DB00108,Natalizumab,DB00541,Vincristine
DB00108,Natalizumab,DB00361,Vinorelbine
DB00111,Daclizumab,DB06372,Rilonacept
DB00111,Daclizumab,DB00072,Trastuzumab
DB00112,Bevacizumab,DB01268,Sunitinib
DB00118,S-Adenosylmethionine,DB06700,Desvenlafaxine
DB00118,S-Adenosylmethionine,DB01381,Ginkgo biloba
DB00118,S-Adenosylmethionine,DB01009,Ketoprofen
DB00118,S-Adenosylmethionine,DB00605,Sulindac
DB00118,S-Adenosylmethionine,DB00193,Tramadol
DB00118,S-Adenosylmethionine,DB00752,Tranylcypromine
DB00118,S-Adenosylmethionine,DB00656,Trazodone
DB00118,S-Adenosylmethionine,DB00726,Trimipramine
DB00118,S-Adenosylmethionine,DB00285,Venlafaxine
DB00118,S-Adenosylmethionine,DB00682,Warfarin
DB00118,S-Adenosylmethionine,DB00315,Zolmitriptan
DB00126,Vitamin C,DB00746,Deferoxamine
DB00126,Vitamin C,DB00224,Indinavir
DB00136,Calcitriol,DB00169,Cholecalciferol
DB00136,Calcitriol,DB00930,Colesevelam
DB00136,Calcitriol,DB00976,Telithromycin
DB00136,Calcitriol,DB00582,Voriconazole
DB00150,L-Tryptophan,DB06700,Desvenlafaxine
DB00150,L-Tryptophan,DB01247,Isocarboxazid
DB00150,L-Tryptophan,DB06684,Vilazodone
DB00150,L-Tryptophan,DB00315,Zolmitriptan
DB00153,Ergocalciferol,DB00169,Cholecalciferol
DB00153,Ergocalciferol,DB00930,Colesevelam
DB00158,Folic Acid,DB01351,Amobarbital
DB00158,Folic Acid,DB01352,Aprobarbital
DB00158,Folic Acid,DB00237,Butabarbital
DB00158,Folic Acid,DB00241,Butalbital
DB00158,Folic Acid,DB01353,Butethal
DB00158,Folic Acid,DB01341,Dihydroquinidine barbiturate
DB00158,Folic Acid,DB00754,Ethotoin
DB00158,Folic Acid,DB01320,Fosphenytoin
DB00158,Folic Acid,DB01354,Heptabarbital
DB00158,Folic Acid,DB01355,Hexobarbital
DB00158,Folic Acid,DB00532,Mephenytoin
DB00158,Folic Acid,DB00474,Methohexital
