drug pair    DDICorpus2013    KEGG
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00990    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00447-http://bio2rdf.org/drugbank:DB01032    [(None, None)]    [('http://rest.kegg.jp/ddi/D00475\r', None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00247-http://bio2rdf.org/drugbank:DB00669    [(None, None)]    [('http://rest.kegg.jp/ddi/D00451\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB01240    [(None, None)]    [('http://rest.kegg.jp/ddi/D00106\r', None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00943    [(None, None)]    [('http://rest.kegg.jp/ddi/D00412\r', None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00384    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00977    [(None, None)]    [('http://rest.kegg.jp/ddi/D00512\r', None)]
http://bio2rdf.org/drugbank:DB00495-http://bio2rdf.org/drugbank:DB00649    [(None, None)]    [('http://rest.kegg.jp/ddi/D00413\r', None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00501    [(None, None)]    [('http://rest.kegg.jp/ddi/D00295\r', None)]
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB01232    [(None, None)]    [('http://rest.kegg.jp/ddi/D00184\r', None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [('http://rest.kegg.jp/ddi/D00322\r', None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00625    [(None, None)]    [('http://rest.kegg.jp/ddi/D00506\r', None)]
http://bio2rdf.org/drugbank:DB00422-http://bio2rdf.org/drugbank:DB01151    [(None, None)]    [('http://rest.kegg.jp/ddi/D04999\r', None)]
http://bio2rdf.org/drugbank:DB00684-http://bio2rdf.org/drugbank:DB00695    [(None, None)]    [('http://rest.kegg.jp/ddi/D00063\r', None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00277    [(None, None)]    [('http://rest.kegg.jp/ddi/D00140\r', None)]
http://bio2rdf.org/drugbank:DB00701-http://bio2rdf.org/drugbank:DB00503    [(None, None)]    [('http://rest.kegg.jp/ddi/D00427\r', None)]
http://bio2rdf.org/drugbank:DB01059-http://bio2rdf.org/drugbank:DB00277    [(None, None)]    [('http://rest.kegg.jp/ddi/D00210\r', None)]
http://bio2rdf.org/drugbank:DB00427-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB00861-http://bio2rdf.org/drugbank:DB00563    [(None, None)]    [('http://rest.kegg.jp/ddi/D00130\r', None)]
http://bio2rdf.org/drugbank:DB00203-http://bio2rdf.org/drugbank:DB00224    [(None, None)]    [('http://rest.kegg.jp/ddi/D02229\r', None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [('http://rest.kegg.jp/ddi/D00322\r', None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00317    [(None, None)]    [('http://rest.kegg.jp/ddi/D00351\r', None)]
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB00224    [(None, None)]    [('http://rest.kegg.jp/ddi/D00424\r', None)]
http://bio2rdf.org/drugbank:DB00313-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [('http://rest.kegg.jp/ddi/D00399\r', None)]
http://bio2rdf.org/drugbank:DB00857-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00782-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00415    [(None, None)]    [('http://rest.kegg.jp/ddi/D00204\r', None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB01234    [(None, None)]    [('http://rest.kegg.jp/ddi/D00292\r', None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB01232    [(None, None)]    [('http://rest.kegg.jp/ddi/D00429\r', None)]
http://bio2rdf.org/drugbank:DB00987-http://bio2rdf.org/drugbank:DB01099    [(None, None)]    [('http://rest.kegg.jp/ddi/D00168\r', None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB01100    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB00537-http://bio2rdf.org/drugbank:DB00277    [(None, None)]    [('http://rest.kegg.jp/ddi/D00186\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00812    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00814    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [('http://rest.kegg.jp/ddi/D00351\r', None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00977    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00898-http://bio2rdf.org/drugbank:DB00652    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00415-http://bio2rdf.org/drugbank:DB00437    [(None, None)]    [('http://rest.kegg.jp/ddi/D00204\r', None)]
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB00277    [(None, None)]    [('http://rest.kegg.jp/ddi/D00355\r', None)]
http://bio2rdf.org/drugbank:DB00422-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [('http://rest.kegg.jp/ddi/D00506\r', None)]
http://bio2rdf.org/drugbank:DB00700-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [('http://rest.kegg.jp/ddi/D01115\r', None)]
http://bio2rdf.org/drugbank:DB00695-http://bio2rdf.org/drugbank:DB01240    [(None, None)]    [('http://rest.kegg.jp/ddi/D00106\r', None)]
http://bio2rdf.org/drugbank:DB00537-http://bio2rdf.org/drugbank:DB01016    [(None, None)]    [('http://rest.kegg.jp/ddi/D00186\r', None)]
http://bio2rdf.org/drugbank:DB00269-http://bio2rdf.org/drugbank:DB00091    [(None, None)]    [('http://rest.kegg.jp/ddi/D00184\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00712    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00575-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [('http://rest.kegg.jp/ddi/D00281\r', None)]
http://bio2rdf.org/drugbank:DB01229-http://bio2rdf.org/drugbank:DB00997    [(None, None)]    [('http://rest.kegg.jp/ddi/D00491\r', None)]
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB00715    [(None, None)]    [('http://rest.kegg.jp/ddi/D00283\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00031    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00695-http://bio2rdf.org/drugbank:DB00368    [(None, None)]    [('http://rest.kegg.jp/ddi/D00076\r', None)]
http://bio2rdf.org/drugbank:DB01015-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [('http://rest.kegg.jp/ddi/D00447\r', None)]
http://bio2rdf.org/drugbank:DB00734-http://bio2rdf.org/drugbank:DB01235    [(None, None)]    [('http://rest.kegg.jp/ddi/D00059\r', None)]
http://bio2rdf.org/drugbank:DB01097-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB00091    [(None, None)]    [('http://rest.kegg.jp/ddi/D00184\r', None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [('http://rest.kegg.jp/ddi/D00225\r', None)]
http://bio2rdf.org/drugbank:DB00184-http://bio2rdf.org/drugbank:DB00363    [(None, None)]    [('http://rest.kegg.jp/ddi/D00283\r', None)]
http://bio2rdf.org/drugbank:DB01170-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [('http://rest.kegg.jp/ddi/D02237\r', None)]
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB01232    [(None, None)]    [('http://rest.kegg.jp/ddi/D00320\r', None)]
http://bio2rdf.org/drugbank:DB00819-http://bio2rdf.org/drugbank:DB00091    [(None, None)]    [('http://rest.kegg.jp/ddi/D00184\r', None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00363    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00537-http://bio2rdf.org/drugbank:DB00201    [(None, None)]    [('http://rest.kegg.jp/ddi/D00186\r', None)]
http://bio2rdf.org/drugbank:DB00640-http://bio2rdf.org/drugbank:DB00201    [(None, None)]    [('http://rest.kegg.jp/ddi/D00045\r', None)]
http://bio2rdf.org/drugbank:DB00295-http://bio2rdf.org/drugbank:DB00996    [(None, None)]    [('http://rest.kegg.jp/ddi/D00332\r', None)]
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB00695    [(None, None)]    [('http://rest.kegg.jp/ddi/D00330\r', None)]
http://bio2rdf.org/drugbank:DB00572-http://bio2rdf.org/drugbank:DB00427    [(None, None)]    [('http://rest.kegg.jp/ddi/D00113\r', None)]
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00238    [(None, None)]    [('http://rest.kegg.jp/ddi/D00427\r', None)]
http://bio2rdf.org/drugbank:DB01037-http://bio2rdf.org/drugbank:DB01364    [(None, None)]    [('http://rest.kegg.jp/ddi/D03731\r', None)]
http://bio2rdf.org/drugbank:DB01238-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB00695-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00224-http://bio2rdf.org/drugbank:DB00238    [(None, None)]    [('http://rest.kegg.jp/ddi/D00435\r', None)]
http://bio2rdf.org/drugbank:DB00224-http://bio2rdf.org/drugbank:DB00625    [(None, None)]    [('http://rest.kegg.jp/ddi/D00896\r', None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00990    [(None, None)]    [('http://rest.kegg.jp/ddi/D00506\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00328    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB01601-http://bio2rdf.org/drugbank:DB00238    [(None, None)]    [('http://rest.kegg.jp/ddi/D00435\r', None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [('http://rest.kegg.jp/ddi/D00295\r', None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00951    [(None, None)]    [('http://rest.kegg.jp/ddi/D00225\r', None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB01232    [(None, None)]    [('http://rest.kegg.jp/ddi/D00225\r', None)]
http://bio2rdf.org/drugbank:DB00437-http://bio2rdf.org/drugbank:DB00900    [(None, None)]    [('http://rest.kegg.jp/ddi/D00224\r', None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB01268-http://bio2rdf.org/drugbank:DB01026    [(None, None)]    [('http://rest.kegg.jp/ddi/D00351\r', None)]
http://bio2rdf.org/drugbank:DB00811-http://bio2rdf.org/drugbank:DB00900    [(None, None)]    [('http://rest.kegg.jp/ddi/D00296\r', None)]
http://bio2rdf.org/drugbank:DB00863-http://bio2rdf.org/drugbank:DB00317    [(None, None)]    [('http://rest.kegg.jp/ddi/D00422\r', None)]
