drug pair    NDFRT    DrugBank
http://bio2rdf.org/drugbank:DB00514-http://bio2rdf.org/drugbank:DB01247    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033572', u'DEXTROMETHORPHAN/ISOCARBOXAZID [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00655-http://bio2rdf.org/drugbank:DB00252    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033944', u'ESTRONE/PHENYTOIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00199    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034118', u'ALPRAZOLAM/ERYTHROMYCIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00421-http://bio2rdf.org/drugbank:DB01197    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032602', u'CAPTOPRIL/SPIRONOLACTONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00458-http://bio2rdf.org/drugbank:DB01247    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033388', u'IMIPRAMINE/ISOCARBOXAZID [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB01345    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176608', u'POTASSIUM/TRANDOLAPRIL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00490-http://bio2rdf.org/drugbank:DB00343    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034938', u'BUSPIRONE/DILTIAZEM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01319-http://bio2rdf.org/drugbank:DB01100    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176416', u'FOSAMPRENAVIR/PIMOZIDE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00897-http://bio2rdf.org/drugbank:DB00976    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180516', u'TELITHROMYCIN/TRIAZOLAM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00202-http://bio2rdf.org/drugbank:DB00955    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034063', u'NETILMICIN/SUCCINYLCHOLINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00802    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180697', u'ALFENTANIL/KETOCONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00897-http://bio2rdf.org/drugbank:DB00625    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034310', u'EFAVIRENZ/TRIAZOLAM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01125-http://bio2rdf.org/drugbank:DB00945    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032936', u'ANISINDIONE/ASPIRIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01351-http://bio2rdf.org/drugbank:DB00783    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035099', u'AMOBARBITAL/ESTRADIOL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB01232    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033447', u'RIFAMPIN/SAQUINAVIR [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB01351    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035094', u'AMOBARBITAL/ETHINYL ESTRADIOL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01406-http://bio2rdf.org/drugbank:DB00227    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180332', u'DANAZOL/LOVASTATIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00196    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034390', u'FLUCONAZOLE/PHENYTOIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00669-http://bio2rdf.org/drugbank:DB06684    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182756', u'SUMATRIPTAN/VILAZODONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00897-http://bio2rdf.org/drugbank:DB00745    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034769', u'MODAFINIL/TRIAZOLAM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB00246    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182646', u'VORICONAZOLE/ZIPRASIDONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00656    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176438', u'KETOCONAZOLE/TRAZODONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01367-http://bio2rdf.org/drugbank:DB00344    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180792', u'PROTRIPTYLINE/RASAGILINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00852-http://bio2rdf.org/drugbank:DB01247    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032750', u'ISOCARBOXAZID/PSEUDOEPHEDRINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB08860    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000181593', u'PITAVASTATIN/RIFAMPIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB01023    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033145', u'CARBAMAZEPINE/FELODIPINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00812-http://bio2rdf.org/drugbank:DB01356    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033967', u'LITHIUM/PHENYLBUTAZONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00678-http://bio2rdf.org/drugbank:DB01345    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176597', u'LOSARTAN/POTASSIUM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00708-http://bio2rdf.org/drugbank:DB00752    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180488', u'SUFENTANIL/TRANYLCYPROMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00820-http://bio2rdf.org/drugbank:DB01319    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180499', u'FOSAMPRENAVIR/TADALAFIL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00227    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033990', u'KETOCONAZOLE/LOVASTATIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01201-http://bio2rdf.org/drugbank:DB00717    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034100', u'NORETHINDRONE/RIFAPENTINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00887-http://bio2rdf.org/drugbank:DB00955    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033861', u'BUMETANIDE/NETILMICIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB01377    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034333', u'KETOCONAZOLE/MAGNESIUM OXIDE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01166-http://bio2rdf.org/drugbank:DB00199    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034140', u'CILOSTAZOL/ERYTHROMYCIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00943-http://bio2rdf.org/drugbank:DB00709    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034777', u'LAMIVUDINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB06287-http://bio2rdf.org/drugbank:DB01234    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000179874', u'DEXAMETHASONE/TEMSIROLIMUS [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00864    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000181844', u'CARBAMAZEPINE/TACROLIMUS [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01250-http://bio2rdf.org/drugbank:DB01033    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034648', u'MERCAPTOPURINE/OLSALAZINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB01015    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033268', u'CYCLOSPORINE/SULFAMETHOXAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00545-http://bio2rdf.org/drugbank:DB00687    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033610', u'FLUDROCORTISONE/PYRIDOSTIGMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00872    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000178033', u'CONIVAPTAN/KETOCONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00559-http://bio2rdf.org/drugbank:DB00977    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176811', u'BOSENTAN/ETHINYL ESTRADIOL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00813    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035446', u'FENTANYL/RITONAVIR [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00286    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033943', u'ESTROGENS/PHENYTOIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00977    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033528', u'ETHINYL ESTRADIOL/RIFAMPIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB06204-http://bio2rdf.org/drugbank:DB01367    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000179973', u'RASAGILINE/TAPENTADOL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01263-http://bio2rdf.org/drugbank:DB06287    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000179917', u'POSACONAZOLE/TEMSIROLIMUS [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB01023    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033160', u'FELODIPINE/PHENYTOIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB06287    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000179916', u'PHENYTOIN/TEMSIROLIMUS [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB08860-http://bio2rdf.org/drugbank:DB00199    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000181543', u'ERYTHROMYCIN/PITAVASTATIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00246-http://bio2rdf.org/drugbank:DB06402    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182651', u'TELAVANCIN/ZIPRASIDONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB00529    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033559', u'CYCLOSPORINE/FOSCARNET [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00495    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034568', u'PROBENECID/ZIDOVUDINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00637    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033084', u'ASTEMIZOLE/KETOCONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00852-http://bio2rdf.org/drugbank:DB00780    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032699', u'PHENELZINE/PSEUDOEPHEDRINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB01247    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032749', u'ISOCARBOXAZID/MEPERIDINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00916-http://bio2rdf.org/drugbank:DB01008    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176388', u'BUSULFAN/METRONIDAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00794-http://bio2rdf.org/drugbank:DB00783    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035097', u'ESTRADIOL/PRIMIDONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB06702    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180083', u'FESOTERODINE/KETOCONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01367-http://bio2rdf.org/drugbank:DB00321    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180785', u'AMITRIPTYLINE/RASAGILINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00966-http://bio2rdf.org/drugbank:DB01356    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035355', u'LITHIUM/TELMISARTAN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB06287    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000179921', u'RIFAMPIN/TEMSIROLIMUS [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00573-http://bio2rdf.org/drugbank:DB00563    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033207', u'FENOPROFEN/METHOTREXATE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01367-http://bio2rdf.org/drugbank:DB01149    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182374', u'NEFAZODONE/RASAGILINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00604-http://bio2rdf.org/drugbank:DB01242    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034131', u'CISAPRIDE/CLOMIPRAMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00495-http://bio2rdf.org/drugbank:DB01004    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033562', u'GANCICLOVIR/ZIDOVUDINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00918    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035084', u'ALMOTRIPTAN/KETOCONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB00625    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034539', u'EFAVIRENZ/SAQUINAVIR [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB01125    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033705', u'ANISINDIONE/CARBAMAZEPINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00780-http://bio2rdf.org/drugbank:DB01577    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032920', u'METHAMPHETAMINE/PHENELZINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB01174    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033931', u'ETHINYL ESTRADIOL/PHENOBARBITAL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00726-http://bio2rdf.org/drugbank:DB00503    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176728', u'RITONAVIR/TRIMIPRAMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00582    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176732', u'AMIODARONE/VORICONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00726-http://bio2rdf.org/drugbank:DB00501    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176782', u'CIMETIDINE/TRIMIPRAMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00266-http://bio2rdf.org/drugbank:DB00550    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033676', u'DICUMAROL/PROPYLTHIOURACIL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB01356    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033177', u'LITHIUM/QUINAPRIL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00490-http://bio2rdf.org/drugbank:DB00615    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033904', u'BUSPIRONE/RIFABUTIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00199    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035301', u'ERYTHROMYCIN/RITONAVIR [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00246-http://bio2rdf.org/drugbank:DB00976    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182650', u'TELITHROMYCIN/ZIPRASIDONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00321    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034730', u'AMITRIPTYLINE/KETOCONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB01100    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034207', u'PIMOZIDE/SAQUINAVIR [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01125-http://bio2rdf.org/drugbank:DB00199    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033710', u'ANISINDIONE/ERYTHROMYCIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01215-http://bio2rdf.org/drugbank:DB00501    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035076', u'CIMETIDINE/ESTAZOLAM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01037-http://bio2rdf.org/drugbank:DB00715    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033200', u'PAROXETINE/SELEGILINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00794-http://bio2rdf.org/drugbank:DB01125    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033661', u'ANISINDIONE/PRIMIDONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00313-http://bio2rdf.org/drugbank:DB00945    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000179850', u'ASPIRIN/VALPROIC ACID [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00759-http://bio2rdf.org/drugbank:DB00578    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033869', u'CARBENICILLIN/TETRACYCLINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00876-http://bio2rdf.org/drugbank:DB01345    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176588', u'EPROSARTAN/POTASSIUM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01576-http://bio2rdf.org/drugbank:DB01247    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032914', u'DEXTROAMPHETAMINE/ISOCARBOXAZID [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00573-http://bio2rdf.org/drugbank:DB01125    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032944', u'ANISINDIONE/FENOPROFEN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01037-http://bio2rdf.org/drugbank:DB00656    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182282', u'SELEGILINE/TRAZODONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB00615    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033538', u'ETHINYL ESTRADIOL/RIFABUTIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB00615    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033906', u'AMITRIPTYLINE/RIFABUTIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00246-http://bio2rdf.org/drugbank:DB00477    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035279', u'CHLORPROMAZINE/ZIPRASIDONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00897-http://bio2rdf.org/drugbank:DB00363    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033260', u'CLOZAPINE/TRIAZOLAM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00615    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034613', u'CLARITHROMYCIN/RIFABUTIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB06201    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000179971', u'PHENYTOIN/RUFINAMIDE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00543-http://bio2rdf.org/drugbank:DB01045    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033909', u'AMOXAPINE/RIFAMPIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB01125    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033660', u'ANISINDIONE/PHENOBARBITAL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00697-http://bio2rdf.org/drugbank:DB00537    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176376', u'CIPROFLOXACIN/TIZANIDINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01406-http://bio2rdf.org/drugbank:DB01125    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033708', u'ANISINDIONE/DANAZOL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00953-http://bio2rdf.org/drugbank:DB00780    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034479', u'PHENELZINE/RIZATRIPTAN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB03585-http://bio2rdf.org/drugbank:DB01125    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033658', u'ANISINDIONE/OXYPHENBUTAZONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00315-http://bio2rdf.org/drugbank:DB00601    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000177993', u'LINEZOLID/ZOLMITRIPTAN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00717-http://bio2rdf.org/drugbank:DB00555    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000171903', u'LAMOTRIGINE/NORETHINDRONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB00501    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034375', u'AMITRIPTYLINE/CIMETIDINE [VA Drug Interaction]')]    [(None, None)]
