Drug_Interaction_ID	Drug_1_Name	Drug_1_RxCUI	Drug_2_Name	Drug_2_RxCUI	Description	Severity	Comment
1183	CITALOPRAM	2556	APIXABAN	1364430	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
1183	ESCITALOPRAM	321988	APIXABAN	1364430	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
1183	FLUOXETINE	4493	APIXABAN	1364430	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
1183	FLUVOXAMINE	42355	APIXABAN	1364430	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
1183	PAROXETINE	32937	APIXABAN	1364430	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
1183	SERTRALINE	36437	APIXABAN	1364430	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
1183	VORTIOXETINE	1455099	APIXABAN	1364430	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
1184	CITALOPRAM	2556	AMITRIPTYLINE	704	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	ESCITALOPRAM	321988	AMITRIPTYLINE	704	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	FLUOXETINE	4493	AMITRIPTYLINE	704	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	FLUVOXAMINE	42355	AMITRIPTYLINE	704	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	PAROXETINE	32937	AMITRIPTYLINE	704	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	SERTRALINE	36437	AMITRIPTYLINE	704	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	VORTIOXETINE	1455099	AMITRIPTYLINE	704	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	CITALOPRAM	2556	AMOXAPINE	722	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	ESCITALOPRAM	321988	AMOXAPINE	722	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	FLUOXETINE	4493	AMOXAPINE	722	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	FLUVOXAMINE	42355	AMOXAPINE	722	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	PAROXETINE	32937	AMOXAPINE	722	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	SERTRALINE	36437	AMOXAPINE	722	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	VORTIOXETINE	1455099	AMOXAPINE	722	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1435	AMOXAPINE	722	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	CHLORPROMAZINE 	2403	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	CITALOPRAM	2556	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	CLOMIPRAMINE	2597	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	DOXEPIN	3638	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	ESCITALOPRAM	321988	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	FLUOXETINE	4493	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	FLUPHENAZINE	4496	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	FLUVOXAMINE	42355	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	HALOPERIDOL 	5093	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	IMIPRAMINE	5691	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	MAPROTILINE	6646	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	PAROXETINE	32937	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	SERTRALINE	36437	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	TRIMIPRAMINE	10834	AMITRIPTYLINE	704	Accrued risk of convulsions	Take into account	
1435	AMITRIPTYLINE	704	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1435	CHLORPROMAZINE 	2403	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1435	CITALOPRAM	2556	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1435	CLOMIPRAMINE	2597	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1435	DOXEPIN	3638	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1435	ESCITALOPRAM	321988	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1435	FLUOXETINE	4493	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1435	FLUPHENAZINE	4496	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1435	FLUVOXAMINE	42355	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1435	HALOPERIDOL 	5093	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1435	IMIPRAMINE	5691	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1435	MAPROTILINE	6646	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1435	PAROXETINE	32937	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1435	SERTRALINE	36437	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1435	TRIMIPRAMINE	10834	AMOXAPINE	722	Accrued risk of convulsions	Take into account	
1436	AMOXAPINE	722	AMITRIPTYLINE	704	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CHLORPROMAZINE 	2403	AMITRIPTYLINE	704	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CLOMIPRAMINE	2597	AMITRIPTYLINE	704	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CLOZAPINE 	2626	AMITRIPTYLINE	704	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	DOXEPIN	3638	AMITRIPTYLINE	704	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	FLUPHENAZINE	4496	AMITRIPTYLINE	704	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	IMIPRAMINE	5691	AMITRIPTYLINE	704	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	LOXAPINE	6475	AMITRIPTYLINE	704	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	MAPROTILINE	6646	AMITRIPTYLINE	704	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	QUETIAPINE	51272	AMITRIPTYLINE	704	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	TRIMIPRAMINE	10834	AMITRIPTYLINE	704	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	AMITRIPTYLINE	704	AMOXAPINE	722	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CHLORPROMAZINE 	2403	AMOXAPINE	722	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CLOMIPRAMINE	2597	AMOXAPINE	722	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CLOZAPINE 	2626	AMOXAPINE	722	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	DOXEPIN	3638	AMOXAPINE	722	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	FLUPHENAZINE	4496	AMOXAPINE	722	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	IMIPRAMINE	5691	AMOXAPINE	722	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	LOXAPINE	6475	AMOXAPINE	722	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	MAPROTILINE	6646	AMOXAPINE	722	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	QUETIAPINE	51272	AMOXAPINE	722	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	TRIMIPRAMINE	10834	AMOXAPINE	722	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	AMITRIPTYLINE	704	CHLORPROMAZINE 	2403	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	AMOXAPINE	722	CHLORPROMAZINE 	2403	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CLOMIPRAMINE	2597	CHLORPROMAZINE 	2403	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CLOZAPINE 	2626	CHLORPROMAZINE 	2403	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	DOXEPIN	3638	CHLORPROMAZINE 	2403	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	FLUPHENAZINE	4496	CHLORPROMAZINE 	2403	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	IMIPRAMINE	5691	CHLORPROMAZINE 	2403	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	LOXAPINE	6475	CHLORPROMAZINE 	2403	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	MAPROTILINE	6646	CHLORPROMAZINE 	2403	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1439	AMITRIPTYLINE	704	APIXABAN	1364430	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after it is stopped.
1439	CLOMIPRAMINE	2597	APIXABAN	1364430	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after it is stopped.
1439	DULOXETINE	72625	APIXABAN	1364430	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after it is stopped.
1439	IMIPRAMINE	5691	APIXABAN	1364430	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after it is stopped.
1439	MILNACIPRAN	588250	APIXABAN	1364430	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after it is stopped.
1439	VENLAFAXINE	39786	APIXABAN	1364430	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after it is stopped.
1447	ARIPIPRAZOLE	89013	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	CHLORPROMAZINE 	2403	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	CLOZAPINE 	2626	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	DOXEPIN	3638	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ESTAZOLAM	4077	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	FLUPHENAZINE	4496	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	FLURAZEPAM	4501	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	HALOPERIDOL	5093	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	LOXAPINE	6475	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MAPROTILINE	6646	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MIRTAZAPINE	15996	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	OLANZAPINE 	61381	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	PALIPERIDONE	679314	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	QUETIAPINE 	51272	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	RISPERIDONE 	35636	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	TRIMIPRAMINE	10834	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ZOLPIDEM	39993	AMITRIPTYLINE	704	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	AMITRIPTYLINE	704	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	CHLORPROMAZINE 	2403	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	CLOZAPINE 	2626	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	DOXEPIN	3638	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ESTAZOLAM	4077	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	FLUPHENAZINE	4496	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	FLURAZEPAM	4501	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	HALOPERIDOL	5093	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	LOXAPINE	6475	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MAPROTILINE	6646	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MIRTAZAPINE	15996	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	OLANZAPINE 	61381	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	PALIPERIDONE	679314	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	QUETIAPINE 	51272	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	RISPERIDONE 	35636	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	TRIMIPRAMINE	10834	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ZOLPIDEM	39993	ARIPIPRAZOLE	89013	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
2410	RIVAROXABAN	1114195	APIXABAN	1364430	Risk of increase of hemorrhagic events when one oral anticoagulant is replaced with another.	Take into account	Take into account the half-life of the oral anticoagulant and observe, if the situation requires, a delay for clearance before the start of treatment with another. Be sure to inform the patient.
2410	WARFARIN	11289	APIXABAN	1364430	Risk of increase of hemorrhagic events when one oral anticoagulant is replaced with another.	Take into account	Take into account the half-life of the oral anticoagulant and observe, if the situation requires, a delay for clearance before the start of treatment with another. Be sure to inform the patient.
2419	APIXABAN	1364430	AMITRIPTYLINE	704	Increase of the risk of hermorrhage.	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after they are stopped.
2419	RIVAROXABAN	1114195	AMITRIPTYLINE	704	Increase of the risk of hermorrhage.	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after they are stopped.
2419	WARFARIN	11289	AMITRIPTYLINE	704	Increase of the risk of hermorrhage.	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after they are stopped.
2783	WARFARIN	11289	ATORVASTATIN	83367	Increase of the effect of the Vitamin K antagonist and of the risk of hemorrhage	Precaution for use	More frequent testing of the INR. Possible adjustment of the dosage of the Vitamin K antagonist.
880	ESCITALOPRAM	321988	CITALOPRAM	2556	Increase of the risk of hyponatremia	Take into account	
880	FLUOXETINE	4493	CITALOPRAM	2556	Increase of the risk of hyponatremia	Take into account	
880	FLUVOXAMINE	42355	CITALOPRAM	2556	Increase of the risk of hyponatremia	Take into account	
880	PAROXETINE	32937	CITALOPRAM	2556	Increase of the risk of hyponatremia	Take into account	
880	SERTRALINE	36437	CITALOPRAM	2556	Increase of the risk of hyponatremia	Take into account	
1184	CITALOPRAM	2556	CLOMIPRAMINE	2597	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	ESCITALOPRAM	321988	CLOMIPRAMINE	2597	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	FLUOXETINE	4493	CLOMIPRAMINE	2597	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	FLUVOXAMINE	42355	CLOMIPRAMINE	2597	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1435	AMITRIPTYLINE	704	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	AMOXAPINE	722	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	CITALOPRAM	2556	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	CLOMIPRAMINE	2597	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	DOXEPIN	3638	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	ESCITALOPRAM	321988	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	FLUOXETINE	4493	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	FLUPHENAZINE	4496	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	FLUVOXAMINE	42355	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	HALOPERIDOL 	5093	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	IMIPRAMINE	5691	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	MAPROTILINE	6646	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	PAROXETINE	32937	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	SERTRALINE	36437	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	TRIMIPRAMINE	10834	CHLORPROMAZINE 	2403	Accrued risk of convulsions	Take into account	
1435	AMITRIPTYLINE	704	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	AMOXAPINE	722	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	CHLORPROMAZINE 	2403	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	CLOMIPRAMINE	2597	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	DOXEPIN	3638	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	ESCITALOPRAM	321988	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	FLUOXETINE	4493	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	FLUPHENAZINE	4496	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	FLUVOXAMINE	42355	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	HALOPERIDOL 	5093	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	IMIPRAMINE	5691	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	MAPROTILINE	6646	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	PAROXETINE	32937	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	SERTRALINE	36437	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	TRIMIPRAMINE	10834	CITALOPRAM	2556	Accrued risk of convulsions	Take into account	
1435	AMITRIPTYLINE	704	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
1435	AMOXAPINE	722	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
1435	CHLORPROMAZINE 	2403	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
1435	CITALOPRAM	2556	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
1435	DOXEPIN	3638	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
