Drug 1 Name	Drug 2 Name	Summary	Description
Adefovir	Amphotericin B	Caution is advised as co-administration of adefovir may increase serum concentrations of either drug via competition for renal excretion pathways or affecting renal function. Close monitoring of renal function is required. 	Caution is advised in patients receiving other medicinal products that may affect renal function or are excreted renally (e.g. cyclosporin and tacrolimus, intravenous aminoglycosides, amphotericin B, foscarnet, pentamidine, vancomycin, or medicinal products which are secreted by the same renal transporter, human Organic Anion Transporter 1 (hOAT1), such as cidofovir). Co-administration of 10 mg adefovir dipivoxil with medicinal products in these patients may lead to an increase in serum concentrations of either adefovir or a co-administered medicinal product. The renal function of these patients should be closely monitored with a frequency tailored to the individual patient's medical condition.Hepsera Summary of Product Characteristics, Gilead Sciences Ltd, August 2009.
Adefovir	Ampicillin	Not Available	Not Available
Adefovir	Anagrelide	Not Available	Not Available
Adefovir	Anastrozole	Not Available	Not Available
Adefovir	Anidulafungin	Not Available	Not Available
Adefovir	Antacids	Not Available	Not Available
Adefovir	Apixaban	Not Available	Not Available
Adefovir	Aprepitant	Not Available	Not Available
Adefovir	Aripiprazole	Not Available	Not Available
Adefovir	Artemether	Not Available	Not Available
Adefovir	Artemisinin	Not Available	Not Available
Adefovir	Artesunate	Not Available	Not Available
Adefovir	Ascorbic acid (Vitamin C)	Not Available	Not Available
Adefovir	Aspirin	Not Available	Not Available
Adefovir	Astemizole	Not Available	Not Available
Adefovir	Atazanavir	Not Available	Not Available
Adefovir	Atenolol	Not Available	Not Available
Adefovir	Atomoxetine	Not Available	Not Available
Adefovir	Atorvastatin	Not Available	Not Available
Adefovir	Atovaquone	Not Available	Not Available
Adefovir	Atropine	Not Available	Not Available
Adefovir	Azathioprine	Not Available	Not Available
Adefovir	Azilsartan	Not Available	Not Available
Adefovir	Azithromycin	Not Available	Not Available
Adefovir	Aztreonam	Not Available	Not Available
Adefovir	Baclofen	Not Available	Not Available
Adefovir	Basilixumab	Not Available	Not Available
Adefovir	Beclometasone	Not Available	Not Available
Adefovir	Benazepril	Not Available	Not Available
Adefovir	Bendroflumethiazide	Not Available	Not Available
Adefovir	Benztropine	Not Available	Not Available
Adefovir	Benzylpenicillin	Not Available	Not Available
Adefovir	Bepridil	Not Available	Not Available
Adefovir	Betamethasone	Not Available	Not Available
Adefovir	Bezafibrate	Not Available	Not Available
Adefovir	Bilastine	Not Available	Not Available
Adefovir	Bisacodyl	Not Available	Not Available
Adefovir	Bisoprolol	Not Available	Not Available
Adefovir	Boceprevir	Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adefovir undergoes renal excretion and does not affect any of the CYP isoforms.	(See Summary)
Adefovir	Bortezomib	Not Available	Not Available
Adefovir	Bosentan	Not Available	Not Available
Adefovir	Brivudine	Not Available	Not Available
Adefovir	Bromazepam	Not Available	Not Available
Adefovir	Bromocriptine	Not Available	Not Available
Adefovir	Bromperidol	Not Available	Not Available
Adefovir	Budesonide	Not Available	Not Available
Adefovir	Bumetanide	Not Available	Not Available
Adefovir	Bupivacaine	Not Available	Not Available
Adefovir	Buprenorphine	Not Available	Not Available
Adefovir	Bupropion	Not Available	Not Available
Adefovir	Buspirone	Not Available	Not Available
Adefovir	Calcitonin	Not Available	Not Available
Adefovir	Calcium resonium	Not Available	Not Available
Adefovir	Canagliflozin	Not Available	Not Available
Adefovir	Candesartan	Not Available	Not Available
Adefovir	Cannabis	Not Available	Not Available
Adefovir	Capecitabine	Not Available	Not Available
Adefovir	Capreomycin	Not Available	Not Available
Adefovir	Captopril	Not Available	Not Available
Adefovir	Carbamazepine	Not Available	Not Available
Adefovir	Carbidopa	Not Available	Not Available
Adefovir	Carbimazole	Not Available	Not Available
Adefovir	Carboplatin	Not Available	Not Available
Adefovir	Carisoprodol	Not Available	Not Available
Adefovir	Carvedilol	Not Available	Not Available
Adefovir	Caspofungin	Not Available	Not Available
Adefovir	Cefaclor	Not Available	Not Available
Adefovir	Cefadroxil	Not Available	Not Available
Adefovir	Cefalexin	Not Available	Not Available
Adefovir	Cefazolin	Not Available	Not Available
Adefovir	Cefixime	Not Available	Not Available
Adefovir	Cefotaxime	Not Available	Not Available
Adefovir	Cefradine	Not Available	Not Available
Adefovir	Ceftaroline	Not Available	Not Available
Adefovir	Ceftazidime	Not Available	Not Available
Adefovir	Ceftriaxone	Not Available	Not Available
Adefovir	Cefuroxime	Not Available	Not Available
Adefovir	Celecoxib	Not Available	Not Available
Adefovir	Celiprolol	Not Available	Not Available
Adefovir	Cetirizine	Not Available	Not Available
Adefovir	Chlorambucil	Not Available	Not Available
Adefovir	Chloramphenicol	Not Available	Not Available
Adefovir	Chloroquine	Not Available	Not Available
Adefovir	Chlorothiazide	Not Available	Not Available
Adefovir	Chlorphenamine	Not Available	Not Available
Adefovir	Chlorpromazine	Not Available	Not Available
Adefovir	Chlortalidone	Not Available	Not Available
Adefovir	Ciclesonide	Not Available	Not Available
Adefovir	Ciclosporin	A pharmacokinetic interaction between adefovir and ciclosporin is considered unlikely. As ciclosporin can affect renal function, close monitoring is recommended.	A clinical study in liver transplant patients has shown that no pharmacokinetic interaction occurs when adefovir dipivoxil 10 mg once daily is administered concomitantly with tacrolimus. A pharmacokinetic interaction between adefovir and ciclosporin is also considered unlikely as ciclosporin shares the same metabolic pathway as tacrolimus. Nevertheless, given that tacrolimus and ciclosporin can affect renal function, close monitoring is recommended when either of these agents is coadministered with adefovir dipivoxil.Hepsera Summary of Product Characteristics, Gilead Sciences Ltd, August 2009.
Adefovir	Cidofovir	Caution is advised as co-administration of adefovir may increase serum concentrations of either drug via competition for renal excretion pathways or affecting renal function. Close monitoring of renal function is required.	Caution is advised in patients receiving other medicinal products that may affect renal function or are excreted renally (e.g. cyclosporin and tacrolimus, intravenous aminoglycosides, amphotericin B, foscarnet, pentamidine, vancomycin, or medicinal products which are secreted by the same renal transporter, human Organic Anion Transporter 1 (hOAT1), such as cidofovir). Co-administration of 10 mg adefovir dipivoxil with medicinal products in these patients may lead to an increase in serum concentrations of either adefovir or a co-administered medicinal product. The renal function of these patients should be closely monitored with a frequency tailored to the individual patient's medical condition.Hepsera Summary of Product Characteristics, Gilead Sciences Ltd, August 2009.
Adefovir	Cilazapril	Not Available	Not Available
Adefovir	Cilostazol	Not Available	Not Available
Adefovir	Cimetidine	Not Available	Not Available
Adefovir	Ciprofloxacin	Not Available	Not Available
Adefovir	Cisapride	Not Available	Not Available
Adefovir	Cisatracurium	Not Available	Not Available
Adefovir	Cisplatin	Not Available	Not Available
Adefovir	Citalopram	Not Available	Not Available
Adefovir	Clarithromycin	Not Available	Not Available
Adefovir	Clavulanic acid	Not Available	Not Available
Adefovir	Clevidipine	Not Available	Not Available
Adefovir	Clindamycin	Not Available	Not Available
Adefovir	Clobazam	Not Available	Not Available
Adefovir	Clobetasol (topical)	Not Available	Not Available
Adefovir	Clobetasone (topical)	Not Available	Not Available
Adefovir	Clomifene	Not Available	Not Available
Adefovir	Clomipramine	Not Available	Not Available
Adefovir	Clonazepam	Not Available	Not Available
Adefovir	Clonidine	Not Available	Not Available
Adefovir	Clopidogrel	Not Available	Not Available
Adefovir	Clorazepate	Not Available	Not Available
Adefovir	Cloxacillin	Not Available	Not Available
Adefovir	Clozapine	Not Available	Not Available
Adefovir	Cobicistat (with ATV or DRV)	Coadministration has not been studied but based on the metabolism and clearance a clinically significant drug-drug interaction is unlikely. Adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1 and cobicistat is unlikely to inhibit OATs at clinically relevant concentrations. Note, cobicistat has been shown to decrease estimated creatinine clearance due to inhibition of tubular secretion of creatinine and should not be initiated in patients with creatinine clearance less than 70 ml/min if adefovir requires dose adjustment based on creatinine clearance.	(See Summary)
Adefovir	Cocaine	Not Available	Not Available
Adefovir	Codeine	Not Available	Not Available
Adefovir	Colchicine	Not Available	Not Available
Adefovir	Colestyramine	Coadministration has not been studied. Colestyramine may delay or reduce the absorption of drugs. Administration of other drugs should be at least 1 hour before or 4-6 hours after colestyramine.	(See Summary)
Adefovir	Conivaptan	Not Available	Not Available
Adefovir	Cyclobenzaprine	Not Available	Not Available
Adefovir	Cytisine	Not Available	Not Available
Adefovir	Dabigatran	Not Available	Not Available
Adefovir	Daclatasvir	Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adefovir is largely excreted unchanged via renal glomerular filtration and active renal secretion by OAT1.	(See Summary)
Adefovir	Dalteparin	Not Available	Not Available
Adefovir	Danaparoid	Not Available	Not Available
Adefovir	Dantron	Not Available	Not Available
Adefovir	Dapagliflozin	Not Available	Not Available
Adefovir	Dapsone	Not Available	Not Available
Adefovir	Darbepoetin	Not Available	Not Available
Adefovir	Darunavir	Not Available	Not Available
Adefovir	Dasatinib	Not Available	Not Available
Adefovir	Delavirdine	In a pharmacokinetic substudy of a randomised clinical trial, delavirdine concentrations were reduced by approximately 50% in the delavirdine plus adefovir arms compared with the delavirdine arms. The AUC of adefovir was not significantly changed.	In a pharmacokinetic substudy of a randomized, partially double-blinded, multicenter study in a population of indinavir-experienced subjects with virologic failure (ACTG 884), 12-hour pharmacokinetics was conducted after 2 weeks administration of saquinavir/ritonavir with delavirdine (group A, n=6), adefovir dipivoxil (group B, n=7), or both (group C, n=5), and saquinavir plus nelfinavir with delavirdine (group D, n=7), adefovir dipivoxil (group E, n=6), or both (group F, n=6). Delavirdine concentrations were reduced by approximately 50%, in the delavirdine plus adefovir dipivoxil arms compared with the delavirdine arms. The AUC of adefovir dipivoxil were not significantly different among the different groups. This drug-drug interaction was not expected, the mechanism(s) is (are) not clear, and additional studies are warranted.Competing drug-drug interactions among multidrug antiretroviral regimens used in the treatment of HIV infected subjects: ACTG 884 Fletcher C, Acosta E, Cheng H et al. AIDS 2000; 14: 2495-2501.
Adefovir	Desipramine	Not Available	Not Available
Adefovir	Desloratidine	Not Available	Not Available
Adefovir	Desmopressin	Not Available	Not Available
Adefovir	Desogestrel	Not Available	Not Available
Adefovir	Desvenlafaxine	Not Available	Not Available
Adefovir	Dexamethasone	Not Available	Not Available
Adefovir	Dextromethorphan	Not Available	Not Available
Adefovir	Dextropropoxyphene	Not Available	Not Available
Adefovir	Diamorphine	Not Available	Not Available
Adefovir	Diazepam	Not Available	Not Available
Adefovir	Diclofenac	Not Available	Not Available
Adefovir	Didanosine	The pharmacokinetics of adefovir and didanosine were unchanged following multiple dose co-administration to healthy volunteers.	The pharmacokinetics of adefovir have been evaluated in healthy adult volunteers following multiple dose administration of adefovir 10mg once daily in combination with enteric coated didanosine (400 mg) (n=21). The pharmacokinetics of adefovir and didanosine were unchanged.Hepsera US Prescribing Information, Gilead Sciences Inc, October 2009.
Adefovir	Dienogest	Not Available	Not Available
Adefovir	Diflunisal	Not Available	Not Available
Adefovir	Digoxin	Not Available	Not Available
Adefovir	Dihydroartemisinin	Not Available	Not Available
Adefovir	Dihydrocodeine	Not Available	Not Available
Adefovir	Dihydroergotamine	Not Available	Not Available
Adefovir	Diltiazem	Not Available	Not Available
Adefovir	Diphenhydramine	Not Available	Not Available
Adefovir	Dipyridamole	Not Available	Not Available
Adefovir	Disopyramide	Not Available	Not Available
Adefovir	Disulfiram	Not Available	Not Available
Adefovir	Dofetilide	Not Available	Not Available
Adefovir	Dolutegravir	Coadministration has not been studied but based on the metabolism and clearance a clinically significant drug-drug interaction is unlikely, Adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1, however, dolutegravir is not expected to inhibit this renal transporter. 	(See Summary)
Adefovir	Domperidone	Not Available	Not Available
Adefovir	Dorzolamide	Not Available	Not Available
Adefovir	Doxazosin	Not Available	Not Available
Adefovir	Doxepin	Not Available	Not Available
Adefovir	Doxorubicin	Not Available	Not Available
Adefovir	Doxycycline	Not Available	Not Available
Adefovir	Dronedarone	Not Available	Not Available
Adefovir	Droperidol	Not Available	Not Available
Adefovir	Drospirenone	Not Available	Not Available
Adefovir	Dulaglutide	Not Available	Not Available
Adefovir	Duloxetine	Not Available	Not Available
Adefovir	Dutasteride	Not Available	Not Available
Adefovir	Echinacea	Not Available	Not Available
Adefovir	Eculizumab	Not Available	Not Available
Adefovir	Edoxaban	Not Available	Not Available
Adefovir	Efavirenz	No interaction observed at doses of adefovir 6- to 12-fold higher than the 10 mg dose recommended for the treatment of chronic hepatitis B.	A previous version (October 2007) of the Hepsera Summary of Product Characteristics stated that at doses of adefovir dipivoxil 6- to 12-fold higher than the 10 mg dose recommended for the treatment of chronic hepatitis B, there was no interaction with efavirenz. These details are not in the current version of the SPC.
Adefovir	Elbasvir/Grazoprevir	Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adefovir is largely excreted unchanged via renal glomerular filtration and active renal secretion by OAT1, which are not expected to be affected by elbasvir/grazoprevir.	(See Summary)
Adefovir	Eletriptan	Not Available	Not Available
Adefovir	Eltrombopag	Not Available	Not Available
