object  	object_drugbank	precipitant	precipitant_drugbank	Effect	Mechanism	Related Drugs	Options	
WARFARIN	DB00682	IBUPROFEN	DB01050	Additive risk of bleeding	�Antiplatelet effects and GI erosion associated with NSAIDs and the anticoagulant effect of warfarin. �Some individual NSAIDs may also alter the pharmacokinetics of warfarin	"�Opioid analgesics are not known to interact with warfarin �Acetaminophen (Tylenol�) may alter the warfarin response but the effect is relatively small. �Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding �Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs �COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk"	"Usually Avoid �Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. �Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."	
WARFARIN	DB00682	INDOMETHACIN	DB00328	Additive risk of bleeding	�Antiplatelet effects and GI erosion associated with NSAIDs and the anticoagulant effect of warfarin. �Some individual NSAIDs may also alter the pharmacokinetics of warfarin	"�Opioid analgesics are not known to interact with warfarin �Acetaminophen (Tylenol�) may alter the warfarin response but the effect is relatively small. �Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding �Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs �COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk"	"Usually Avoid �Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. �Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."	
WARFARIN	DB00682	KETOPROFEN	DB01009	Additive risk of bleeding	�Antiplatelet effects and GI erosion associated with NSAIDs and the anticoagulant effect of warfarin. �Some individual NSAIDs may also alter the pharmacokinetics of warfarin	"�Opioid analgesics are not known to interact with warfarin �Acetaminophen (Tylenol�) may alter the warfarin response but the effect is relatively small. �Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding �Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs �COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk"	"Usually Avoid �Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. �Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."	
WARFARIN	DB00682	KETOROLAC	DB00465	Additive risk of bleeding	�Antiplatelet effects and GI erosion associated with NSAIDs and the anticoagulant effect of warfarin. �Some individual NSAIDs may also alter the pharmacokinetics of warfarin	"�Opioid analgesics are not known to interact with warfarin �Acetaminophen (Tylenol�) may alter the warfarin response but the effect is relatively small. �Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding �Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs �COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk"	"Usually Avoid �Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. �Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."	
WARFARIN	DB00682	MEFENAMIC ACID	DB00784	Additive risk of bleeding	�Antiplatelet effects and GI erosion associated with NSAIDs and the anticoagulant effect of warfarin. �Some individual NSAIDs may also alter the pharmacokinetics of warfarin	"�Opioid analgesics are not known to interact with warfarin �Acetaminophen (Tylenol�) may alter the warfarin response but the effect is relatively small. �Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding �Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs �COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk"	"Usually Avoid �Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. �Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."	
WARFARIN	DB00682	MELOXICAM	DB00814	Additive risk of bleeding	�Antiplatelet effects and GI erosion associated with NSAIDs and the anticoagulant effect of warfarin. �Some individual NSAIDs may also alter the pharmacokinetics of warfarin	"�Opioid analgesics are not known to interact with warfarin �Acetaminophen (Tylenol�) may alter the warfarin response but the effect is relatively small. �Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding �Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs �COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk"	"Usually Avoid �Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. �Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."	
WARFARIN	DB00682	NABUMETONE	DB00461	Additive risk of bleeding	�Antiplatelet effects and GI erosion associated with NSAIDs and the anticoagulant effect of warfarin. �Some individual NSAIDs may also alter the pharmacokinetics of warfarin	"�Opioid analgesics are not known to interact with warfarin �Acetaminophen (Tylenol�) may alter the warfarin response but the effect is relatively small. �Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding �Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs �COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk"	"Usually Avoid �Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. �Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."	
WARFARIN	DB00682	NAPROXEN	DB00788	Additive risk of bleeding	�Antiplatelet effects and GI erosion associated with NSAIDs and the anticoagulant effect of warfarin. �Some individual NSAIDs may also alter the pharmacokinetics of warfarin	"�Opioid analgesics are not known to interact with warfarin �Acetaminophen (Tylenol�) may alter the warfarin response but the effect is relatively small. �Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding �Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs �COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk"	"Usually Avoid �Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. �Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."	
WARFARIN	DB00682	OXAPROZIN	DB00991	Additive risk of bleeding	�Antiplatelet effects and GI erosion associated with NSAIDs and the anticoagulant effect of warfarin. �Some individual NSAIDs may also alter the pharmacokinetics of warfarin	"�Opioid analgesics are not known to interact with warfarin �Acetaminophen (Tylenol�) may alter the warfarin response but the effect is relatively small. �Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding �Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs �COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk"	"Usually Avoid �Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. �Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."	
WARFARIN	DB00682	PIROXICAM	DB00554	Additive risk of bleeding	�Antiplatelet effects and GI erosion associated with NSAIDs and the anticoagulant effect of warfarin. �Some individual NSAIDs may also alter the pharmacokinetics of warfarin	"�Opioid analgesics are not known to interact with warfarin �Acetaminophen (Tylenol�) may alter the warfarin response but the effect is relatively small. �Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding �Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs �COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk"	"Usually Avoid �Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. �Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."	
WARFARIN	DB00682	SULINDAC	DB00605	Additive risk of bleeding	�Antiplatelet effects and GI erosion associated with NSAIDs and the anticoagulant effect of warfarin. �Some individual NSAIDs may also alter the pharmacokinetics of warfarin	"�Opioid analgesics are not known to interact with warfarin �Acetaminophen (Tylenol�) may alter the warfarin response but the effect is relatively small. �Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding �Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs �COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk"	"Usually Avoid �Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. �Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."	
WARFARIN	DB00682	TOLMETIN	DB00500	Additive risk of bleeding	�Antiplatelet effects and GI erosion associated with NSAIDs and the anticoagulant effect of warfarin. �Some individual NSAIDs may also alter the pharmacokinetics of warfarin	"�Opioid analgesics are not known to interact with warfarin �Acetaminophen (Tylenol�) may alter the warfarin response but the effect is relatively small. �Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding �Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs �COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk"	"Usually Avoid �Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. �Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."	
WARFARIN	DB00682	FLUVASTATIN	DB01095	Increased warfarin concentrations and bleeding risk	Inhibition of warfarin metabolism by CYP2C9 is proposed	�See warfarin and fibrates �Atorvastatin (Lipitor�) and pravastatin (Pravachol�) are not known to interact with warfarin	"Take Precautions �Consider Alternatives: Atorvastatin and pravastatin appear to be safer alteratives �Monitor: If alternatives are not appropriate, carefully monitor the INR if these agents are started, stopped, or changed in dosage and adjust the warfarin dose accordingly. If warfarin is started in a patient receiving these agents conservative doses of warfarin should be used until response is established."	
WARFARIN	DB00682	LOVASTATIN	DB00227	Increased warfarin concentrations and bleeding risk	Inhibition of warfarin metabolism by CYP2C9 is proposed	�See warfarin and fibrates �Atorvastatin (Lipitor�) and pravastatin (Pravachol�) are not known to interact with warfarin	"Take Precautions �Consider Alternatives: Atorvastatin and pravastatin appear to be safer alteratives �Monitor: If alternatives are not appropriate, carefully monitor the INR if these agents are started, stopped, or changed in dosage and adjust the warfarin dose accordingly. If warfarin is started in a patient receiving these agents conservative doses of warfarin should be used until response is established."	
WARFARIN	DB00682	ROSUVASTATIN	DB01098	Increased warfarin concentrations and bleeding risk	Inhibition of warfarin metabolism by CYP2C9 is proposed	�See warfarin and fibrates �Atorvastatin (Lipitor�) and pravastatin (Pravachol�) are not known to interact with warfarin	"Take Precautions �Consider Alternatives: Atorvastatin and pravastatin appear to be safer alteratives �Monitor: If alternatives are not appropriate, carefully monitor the INR if these agents are started, stopped, or changed in dosage and adjust the warfarin dose accordingly. If warfarin is started in a patient receiving these agents conservative doses of warfarin should be used until response is established."	
WARFARIN	DB00682	SIMVASTATIN	DB00641	Increased warfarin concentrations and bleeding risk	Inhibition of warfarin metabolism by CYP2C9 is proposed	�See warfarin and fibrates �Atorvastatin (Lipitor�) and pravastatin (Pravachol�) are not known to interact with warfarin	"Take Precautions �Consider Alternatives: Atorvastatin and pravastatin appear to be safer alteratives �Monitor: If alternatives are not appropriate, carefully monitor the INR if these agents are started, stopped, or changed in dosage and adjust the warfarin dose accordingly. If warfarin is started in a patient receiving these agents conservative doses of warfarin should be used until response is established."	
WARFARIN	DB00682	SULFAMETHOXAZOLE/TRIMETHOPRIM  	DB01015	Increased warfarin concentrations and bleeding risk	Inhibition of warfarin metabolism by CYP2C9	"�Oral penicillin, amoxicillin, ampicillin, and oral cephalosporins and penicillins havenot been shown to interact with warfarin �Quinolones and macrolides have been reported to increase the anticoagulant effects of warfarin"	"Usually Avoid �Consider Alternatives: Oral penicillins and cephalosporins are preferred alternatives. Quinolones and macrolides may be relatively safer to use in combination with warfarin than sulfamethoxazole or metronidazole. �Monitor: When alternatives are not appropriate, carefully monitor the INR and for signs of bleeding. The warfarin dosage may need to be temporarily reduced. If warfarin is started in a patient receiving these agents conservative doses of warfarin should be used until response is established. Also monitor for decreased anticoagulant effect after antibiotic therapy is discontinued. �Note:Nearly all antibiotics have been reported in isolated cases to interact with warfarin; caution should be used when adding any antibiotic to a patient on warfarin therapy."	
WARFARIN	DB00682	METRONIDAZOLE	DB00916	Increased warfarin concentrations and bleeding risk	Inhibition of warfarin metabolism by CYP2C9	"�Oral penicillin, amoxicillin, ampicillin, and oral cephalosporins and penicillins havenot been shown to interact with warfarin �Quinolones and macrolides have been reported to increase the anticoagulant effects of warfarin"	"Usually Avoid �Consider Alternatives: Oral penicillins and cephalosporins are preferred alternatives. Quinolones and macrolides may be relatively safer to use in combination with warfarin than sulfamethoxazole or metronidazole. �Monitor: When alternatives are not appropriate, carefully monitor the INR and for signs of bleeding. The warfarin dosage may need to be temporarily reduced. If warfarin is started in a patient receiving these agents conservative doses of warfarin should be used until response is established. Also monitor for decreased anticoagulant effect after antibiotic therapy is discontinued. �Note:Nearly all antibiotics have been reported in isolated cases to interact with warfarin; caution should be used when adding any antibiotic to a patient on warfarin therapy."	
WARFARIN	DB00682	LEVOTHYROXINE	DB00451	Increased bleeding risk	An accelerated depletion of vitamin K-dependent clotting factors as a result of thyroid hormone administration has been proposed	"Take Precautions �Monitor: For patients on a therapeutic dose of warfarin, more frequent INR monitoring is required (e.g., day 4, day 7, and weekly thereafter or as clinically indicated) if thyroid hormone therapy is started. In such cases, adownward adjustment of the warfarin dosage will often be needed to avoid excessive anticoagulation and bleeding. The risk is probably minimal if warfarin therapy is started in a euthyroid patient stabilized on thyroid replacement therapy. However, conservative doses of warfarin should be used until response is established if warfarin is started in a patient receiving these agents."		
WARFARIN	DB00682	LIOTHYRONINE	DB00279	Increased bleeding risk	An accelerated depletion of vitamin K-dependent clotting factors as a result of thyroid hormone administration has been proposed	"Take Precautions �Monitor: For patients on a therapeutic dose of warfarin, more frequent INR monitoring is required (e.g., day 4, day 7, and weekly thereafter or as clinically indicated) if thyroid hormone therapy is started. In such cases, adownward adjustment of the warfarin dosage will often be needed to avoid excessive anticoagulation and bleeding. The risk is probably minimal if warfarin therapy is started in a euthyroid patient stabilized on thyroid replacement therapy. However, conservative doses of warfarin should be used until response is established if warfarin is started in a patient receiving these agents."		
WARFARIN	DB00682	LIOTRIX 	DB01583	Increased bleeding risk	An accelerated depletion of vitamin K-dependent clotting factors as a result of thyroid hormone administration has been proposed	"Take Precautions �Monitor: For patients on a therapeutic dose of warfarin, more frequent INR monitoring is required (e.g., day 4, day 7, and weekly thereafter or as clinically indicated) if thyroid hormone therapy is started. In such cases, adownward adjustment of the warfarin dosage will often be needed to avoid excessive anticoagulation and bleeding. The risk is probably minimal if warfarin therapy is started in a euthyroid patient stabilized on thyroid replacement therapy. However, conservative doses of warfarin should be used until response is established if warfarin is started in a patient receiving these agents."		
